date,open,high,low,close,volume
2025-03-14,141.5573,144.8015,141.1122,144.2871,1492500
2025-03-17,143.5453,146.0774,142.7837,145.1378,1160200
2025-03-18,145.3158,146.5521,143.753,145.2564,1092100
2025-03-19,146.0279,147.4126,144.9399,146.1466,2100900
2025-03-20,145.0883,146.1466,144.2575,144.6828,1923700
2025-03-21,142.8827,144.7421,142.1112,144.574,4288300
2025-03-24,145.9389,147.8478,145.2268,147.3533,1802100
2025-03-25,147.5214,149.1831,146.4137,149.1534,2867700
2025-03-26,149.3117,150.1623,145.7708,148.105,2166500
2025-03-27,147.65,147.7687,144.1586,145.5037,1903100
2025-03-28,144.4058,144.752,139.8857,140.5781,1544600
2025-03-31,139.1934,141.2803,138.1845,139.7769,2424600
2025-04-01,140.0539,140.5484,138.1153,139.1637,1341900
2025-04-02,137.8284,141.6562,137.8284,140.7363,1555000
2025-04-03,135.4546,136.6613,128.5311,128.5607,2922300
2025-04-04,125.6924,125.6924,119.6689,120.6679,4119600
2025-04-07,116.4742,126.5232,115.0301,122.1515,3531700
2025-04-08,126.1375,127.9277,119.0458,120.9844,3127600
2025-04-09,119.2832,133.8919,118.7491,132.3984,3126200
2025-04-10,130.707,130.707,121.9339,125.9595,2103800
2025-04-11,125.7419,127.6013,122.8933,126.5529,2465400
2025-04-14,129.6586,129.9949,126.4441,128.5311,2226400
2025-04-15,127.8585,129.9554,127.3739,128.1255,1811100
2025-04-16,126.0188,127.8288,124.0505,125.5144,1863100
2025-04-17,126.2067,129.0751,125.643,127.8288,2517700
2025-04-21,126.5134,127.6508,125.1484,127.3442,2159500
2025-04-22,128.175,132.6358,128.175,131.9929,3447000
2025-04-23,139.4406,142.398,134.06,134.5744,3325100
2025-04-24,137.0668,142.1211,136.3547,141.9529,2544600
2025-04-25,141.5375,143.031,140.9144,142.7936,1464500
2025-04-28,142.9914,144.1981,141.6858,143.3178,1485900
2025-04-29,142.6354,144.3366,142.0815,143.664,1368400
2025-04-30,141.5375,145.2366,140.8946,144.7817,2055200
2025-05-01,145.7807,146.6906,144.5542,144.7619,1504000
2025-05-02,146.7401,148.8072,146.206,148.2929,1370300
2025-05-05,146.8785,149.4996,146.8785,148.2138,1525800
2025-05-06,146.3147,148.0654,146.1367,146.9082,1348200
2025-05-07,147.2643,148.5896,146.1862,148.0555,1482100
2025-05-08,149.4699,152.3778,148.1446,150.459,1772900
2025-05-09,151.4877,152.5855,150.6074,151.2107,2077200
2025-05-12,154.0593,159.3904,153.1691,159.2223,2245200
2025-05-13,159.6278,161.6059,158.6387,160.6169,1715200
2025-05-14,160.1322,160.6564,158.8563,158.9849,1712800
2025-05-15,158.4409,161.8235,158.1639,161.3389,2049500
2025-05-16,161.5664,162.3181,160.2509,162.1994,1411900
2025-05-19,159.8553,162.1895,158.9552,161.0916,1185800
2025-05-20,160.9433,161.7642,159.9937,161.1114,1504800
2025-05-21,160.1875,161.6478,158.3497,158.459,1939400
2025-05-22,158.31,159.1444,157.555,157.8629,1244100
2025-05-23,154.3463,157.3563,154.3463,156.5218,1299000
2025-05-27,159.055,160.714,157.6345,160.3067,1369600
2025-05-28,161.0121,161.32,159.1147,159.2339,1094000
2025-05-29,160.2173,161.32,159.0948,160.4855,1988200
2025-05-30,159.5418,160.0683,157.7835,159.0153,2444700
2025-06-02,158.3,159.2637,157.0483,158.8166,1437100
2025-06-03,158.4987,161.8068,158.3597,160.8631,1471900
2025-06-04,161.926,162.1048,160.2372,161.0021,1187900
2025-06-05,161.4492,162.5817,160.4359,161.2505,1605900
2025-06-06,163.1181,164.0618,162.532,163.5651,1149100
2025-06-09,164.3996,165.5023,163.5751,164.9062,1647100
2025-06-10,165.6016,165.8997,163.7837,165.2937,3741700
2025-06-11,165.8897,166.8334,164.3201,164.6579,1431600
2025-06-12,164.7572,165.1546,163.128,164.9062,1380200
2025-06-13,162.1744,164.3201,161.2604,161.5485,1106500
2025-06-16,163.6247,164.8566,162.8797,164.3996,894600
2025-06-17,163.7241,164.4095,161.8266,162.5816,1579400
2025-06-18,163.2969,164.9261,162.2836,162.7009,1450000
2025-06-20,163.5552,164.1314,161.2703,162.1247,2765100
2025-06-23,161.4293,164.8267,161.1015,164.7274,1600300
2025-06-24,165.85,166.3864,165.0155,165.3831,1368800
2025-06-25,166.2473,167.3798,165.0155,166.7639,1465000
2025-06-26,167.6381,169.1084,166.6944,167.9361,2384700
2025-06-27,168.4229,168.8799,165.4824,165.7705,2756500
2025-06-30,167.3898,168.2143,165.6314,167.5586,2182800
2025-07-01,167.0917,170.3004,166.2672,169.1481,1418800
2025-07-02,168.9693,172.4363,168.3832,172.2674,1563000
2025-07-03,172.8535,173.8767,172.2873,173.1416,585000
2025-07-07,172.1681,173.2906,169.4561,170.0124,1341300
2025-07-08,171.2045,172.1979,169.8038,171.2939,1498300
2025-07-09,171.5522,172.178,170.1415,171.5124,1586200
2025-07-10,172.486,174.1549,171.5025,173.8767,1723100
2025-07-11,175.655,176.9265,173.837,175.943,1542500
2025-07-14,176.3901,176.3901,174.0754,175.0191,1227900
2025-07-15,176.3901,177.1053,174.2145,174.284,1656300
2025-07-16,174.3238,175.4066,172.3966,175.2178,1703100
2025-07-17,174.741,177.8901,174.1251,176.5093,1699800
2025-07-18,177.2543,178.5656,176.9166,177.7908,4341900
2025-07-21,177.3537,179.559,176.708,178.3272,2000200
2025-07-22,177.761,180.0955,176.0424,179.2809,2970900
2025-07-23,185.8771,200.9373,185.7679,200.7088,4808600
2025-07-24,199.6061,204.9904,198.2451,204.2453,3270100
2025-07-25,205.5268,206.7984,202.1194,206.6891,2069200
2025-07-28,205.3679,208.666,204.4042,207.9607,2291900
2025-07-29,210.4144,211.3581,206.7686,207.7918,1558000
2025-07-30,207.0566,208.0203,204.4539,205.3182,2662700
2025-07-31,204.7917,206.9871,203.3612,204.3943,1854000
2025-08-01,200.53,201.4936,197.9272,200.5995,2931400
2025-08-04,203.4009,203.4705,201.5333,202.6559,1819300
2025-08-05,203.4605,203.4605,199.2584,200.2021,2062200
2025-08-06,201.4042,201.7618,198.0365,198.7319,1798400
2025-08-07,200.5101,200.5101,197.9074,198.6027,1274900
2025-08-08,200.0531,201.9009,198.9802,200.6492,1435400
2025-08-11,200.7187,201.4936,198.0365,198.5431,1311300
2025-08-12,199.7849,202.9737,198.8809,202.7949,1334400
2025-08-13,203.997,205.8546,203.0632,204.9308,1391700
2025-08-14,202.6161,205.9142,201.1558,205.6063,1499700
2025-08-15,205.8944,207.3249,200.5598,201.3744,1870200
2025-08-18,201.3843,203.1029,201.1757,202.3578,1404200
2025-08-19,202.1492,203.1029,201.6128,202.0499,1118600
2025-08-20,200.6492,201.3346,196.6954,200.222,2273000
2025-08-21,199.6061,201.0564,198.5729,198.9802,1677700
2025-08-22,200.376,204.922,199.9373,204.3737,1818900
2025-08-25,204.5631,205.8791,204.1643,204.5033,1315700
2025-08-26,204.264,206.7165,203.7157,206.2779,2094500
2025-08-27,205.7096,207.3546,205.0118,206.9359,1573400
2025-08-28,207.9727,208.8599,206.4673,207.4044,1678000
2025-08-29,206.1981,207.4343,204.6728,205.8691,1331400
2025-09-02,202.1306,204.0148,200.4059,203.935,1946900
2025-09-03,204.8522,206.3676,203.3867,205.3507,1511400
2025-09-04,205.5102,208.0325,204.0048,207.9029,1512600
2025-09-05,208.7403,209.2787,206.0785,208.1023,1047900
2025-09-08,208.5709,209.169,206.5271,207.2349,1110600
2025-09-09,206.8262,208.3914,205.6398,208.0125,1232300
2025-09-10,208.6207,211.452,208.6207,209.7074,1359300
2025-09-11,210.4052,214.5625,208.86,211.7511,1699800
2025-09-12,210.7342,211.7013,208.86,209.179,1576700
2025-09-15,209.4182,212.2895,209.179,210.5049,1184000
2025-09-16,211.3125,212.6384,209.3584,211.9106,1487300
2025-09-17,212.0602,214.5126,210.6943,213.1767,2380100
2025-09-18,214.1836,218.0917,213.0571,216.6461,1898500
2025-09-19,217.1346,217.5434,213.8247,215.5096,4017200
2025-09-22,214.3531,218.0817,213.0372,217.9222,1019900
2025-09-23,218.8793,220.3248,217.3539,218.9889,1092800
2025-09-24,219.6569,219.8961,213.7051,214.9014,2294500
2025-09-25,211.1529,214.054,210.156,213.8148,2108300
2025-09-26,214.4429,216.7159,212.6384,216.3769,1673500
2025-09-29,218.8793,219.0786,215.8984,217.1147,1181300
2025-09-30,217.1147,218.9391,216.5364,218.8593,1317800
2025-10-01,216.9751,221.3317,216.6062,221.0127,1613200
2025-10-02,222.6976,223.0664,220.1554,220.4345,1213200
2025-10-03,220.4943,224.2827,220.0556,220.1653,1990700
2025-10-06,223.1063,224.5718,222.0097,222.2788,1694600
