date,open,high,low,close,volume
2025-03-14,38.1438,38.764,37.9053,38.6876,13626300
2025-03-17,38.4682,39.4604,38.4682,39.1647,8183600
2025-03-18,39.136,39.2982,38.6399,38.9739,10511600
2025-03-19,39.0311,39.718,38.764,39.3746,8021900
2025-03-20,38.9834,39.7562,38.8975,39.4318,6124300
2025-03-21,39.2219,39.5272,38.783,39.5177,16829400
2025-03-24,39.9947,40.3954,39.8516,40.2141,8635700
2025-03-25,40.3,40.4813,40.0042,40.071,9103600
2025-03-26,40.1664,40.7675,39.8421,40.052,6177000
2025-03-27,39.9756,39.9756,39.3555,39.4986,4854300
2025-03-28,39.2792,39.6226,38.4205,38.6018,7361300
2025-03-31,38.3728,39.4223,38.1343,39.2601,8679200
2025-04-01,38.9071,39.4509,38.5827,39.136,6561000
2025-04-02,38.4587,39.718,38.4491,39.6512,8446100
2025-04-03,37.4855,37.8862,35.3198,35.3388,17871800
2025-04-04,33.8886,34.1653,32.1618,33.1922,21423200
2025-04-07,32.4385,35.148,32.0187,33.5261,32030300
2025-04-08,34.6614,35.377,32.7724,33.3162,17908100
2025-04-09,32.6197,36.4742,32.2667,36.2452,31112900
2025-04-10,35.1862,35.2721,32.9918,34.0031,17346800
2025-04-11,33.7074,34.0127,32.9346,33.7646,18557800
2025-04-14,34.4802,34.795,33.9841,34.5183,12193800
2025-04-15,34.6233,35.3675,34.6233,34.8141,9309600
2025-04-16,34.5565,34.9858,33.8982,34.3466,11090100
2025-04-17,33.4975,34.8713,33.4593,34.2512,15140800
2025-04-21,33.8696,34.0222,33.3925,33.6883,10062600
2025-04-22,34.1462,34.7282,34.0318,34.671,7413700
2025-04-23,35.606,36.6459,35.3198,35.4342,8600500
2025-04-24,35.3007,36.3406,35.1385,36.1593,8135300
2025-04-25,35.8827,36.2261,35.7491,35.9399,6388900
2025-04-28,36.0162,36.6936,35.9685,36.5791,10765500
2025-04-29,36.3406,37.2374,36.3406,36.9798,10905000
2025-04-30,36.2547,36.7127,35.7872,36.5791,7394600
2025-05-01,36.5505,37.1325,36.4074,36.8176,5512100
2025-05-02,37.5809,37.7717,37.0848,37.6572,7950100
2025-05-05,37.2756,38.0389,37.2279,37.5427,5954400
2025-05-06,37.0943,37.6477,36.9798,37.1802,7528100
2025-05-07,37.4569,37.6668,36.7795,36.9321,10077400
2025-05-08,37.4664,37.9625,37.1325,37.7431,7294500
2025-05-09,37.9655,38.0138,37.5594,37.7141,7187600
2025-05-12,39.4156,40.0827,38.9322,39.754,9839100
2025-05-13,39.8797,40.1117,39.6863,39.9764,6852600
2025-05-14,39.8023,39.9957,39.6477,39.8603,6462000
2025-05-15,39.6187,39.9377,39.4833,39.812,6487900
2025-05-16,39.8023,40.0634,39.493,40.0247,4786100
2025-05-19,39.6477,40.1117,39.493,40.0247,6270400
2025-05-20,39.9184,39.9764,39.0966,39.3286,11772600
2025-05-21,38.9129,38.9999,37.8204,37.8204,8347600
2025-05-22,37.7334,38.3328,37.5497,38.1782,10461100
2025-05-23,37.221,38.0815,36.9987,37.9751,7395100
2025-05-27,38.4779,38.7002,38.0138,38.7002,5675200
2025-05-28,38.6422,38.8162,37.9848,38.0331,8111100
2025-05-29,38.3328,38.4102,37.7818,38.2845,6824100
2025-05-30,38.0331,38.3618,37.8784,38.1878,10481000
2025-06-02,37.9074,38.1008,37.3854,37.9268,7597100
2025-06-03,37.8978,38.4489,37.6368,38.3038,9616400
2025-06-04,38.3038,38.6422,38.1685,38.1975,6465600
2025-06-05,38.2942,38.4392,37.8204,38.3135,8551300
2025-06-06,38.9322,39.3286,38.8066,39.3093,5710600
