date,open,high,low,close,volume
2025-03-14,112.1915,112.6262,110.9467,111.8951,6411000
2025-03-17,112.5175,113.6932,112.0137,113.14,4358400
2025-03-18,113.1795,114.1279,112.7645,113.871,5874100
2025-03-19,114.3354,116.8448,113.9204,116.4397,6838200
2025-03-20,115.8865,116.5583,114.6021,114.8491,6841300
2025-03-21,113.9501,114.8985,112.6065,114.7207,7150700
2025-03-24,115.5901,118.2575,115.5703,118.1587,4315200
2025-03-25,118.1587,119.2751,117.971,118.4354,4134700
2025-03-26,118.4255,119.0775,117.892,118.2575,3004700
2025-03-27,118.3662,119.8778,117.9513,119.1171,4003400
2025-03-28,118.5737,118.8207,115.7975,116.7855,3742300
2025-03-31,116.2223,120.678,116.0445,120.3322,6828800
2025-04-01,119.9766,121.3992,119.7888,121.2411,4781900
2025-04-02,120.5298,123.9481,120.3421,123.4245,5002000
2025-04-03,122.2982,126.4575,121.6462,123.9185,11388100
2025-04-04,123.8592,126.7835,120.3322,120.6879,12964000
2025-04-07,118.5934,122.4958,114.9677,117.6944,12898300
2025-04-08,120.8855,123.3652,117.1609,118.5836,10926000
2025-04-09,118.3069,127.4356,118.3069,124.531,12134400
2025-04-10,124.452,126.8823,122.318,125.9339,7583200
2025-04-11,125.0052,127.4652,124.3828,126.6057,6935500
2025-04-14,127.7023,129.6189,127.0799,129.0262,7093500
2025-04-15,128.9373,129.7177,126.744,126.9515,5020900
2025-04-16,127.1787,127.7122,124.0173,124.7879,5569600
2025-04-17,125.2423,126.4378,124.6594,126.0821,5555200
2025-04-21,125.6968,125.9932,120.7768,122.486,4946600
2025-04-22,123.0985,125.2324,122.5057,124.1951,4989300
2025-04-23,125.6573,126.5662,123.3059,123.9876,5612900
2025-04-24,123.1874,125.4992,122.4267,124.9756,4626200
2025-04-25,124.5705,125.2423,123.6122,125.0349,4205800
2025-04-28,125.2423,126.25,124.5903,125.598,3573200
2025-04-29,125.3708,126.665,124.61,126.4872,3886700
2025-04-30,126.4378,127.317,124.9954,127.1293,5685800
2025-05-01,126.3192,127.2281,125.8055,126.092,4585300
2025-05-02,127.4455,128.2161,126.6847,127.6529,4720700
2025-05-05,127.6529,128.3247,127.2479,127.3862,4869600
2025-05-06,126.092,127.317,125.9438,126.912,3472100
2025-05-07,126.5563,128.3346,126.5563,127.0997,5967700
2025-05-08,127.5146,128.7002,126.1908,126.5464,4443600
2025-05-09,126.0228,126.8033,125.4301,126.5563,4131100
2025-05-12,128.7397,129.9548,127.0799,129.9055,4810500
2025-05-13,130.0932,130.8736,128.7989,129.2435,5471800
2025-05-14,128.9274,129.9351,128.4334,129.6683,5763100
2025-05-15,129.9806,132.0025,129.7526,131.8638,4846400
2025-05-16,131.8241,132.7161,131.3087,132.1611,4874400
2025-05-19,131.9034,134.0939,131.3781,133.8362,5118900
2025-05-20,133.6776,134.6489,133.073,133.737,7061100
2025-05-21,129.9905,131.8241,128.811,129.8715,12025600
2025-05-22,129.2372,130.1986,127.9784,128.4344,5341800
2025-05-23,126.8683,126.9872,123.8155,124.5886,8787100
2025-05-27,125.5204,127.1062,125.2428,126.8287,7198200
2025-05-28,126.4619,127.2945,124.9554,125.1041,4344800
2025-05-29,126.2241,126.7989,125.5798,125.9465,6410900
2025-05-30,126.0258,126.1646,125.0842,125.778,9364900
2025-06-02,125.1338,127.3243,124.7671,127.2945,6271000
2025-06-03,127.1062,127.2648,125.7087,126.9873,5132600
2025-06-04,127.0864,127.9289,126.4223,126.9377,4437200
2025-06-05,126.9278,127.0566,125.4113,126.2439,4693600
2025-06-06,126.8089,127.6513,126.1745,127.3143,4612900
2025-06-09,126.8782,126.9476,124.6283,125.2329,4754800
2025-06-10,124.5887,125.4609,124.3508,124.9257,4684800
2025-06-11,125.0941,125.0941,123.201,123.429,4145800
2025-06-12,123.3695,123.8354,122.4676,123.3596,4087600
2025-06-13,122.4081,123.8651,122.1603,122.8145,3786600
2025-06-16,123.4587,124.212,122.983,123.1713,4930200
2025-06-17,122.3784,123.4984,121.635,121.9224,4264600
2025-06-18,122.3585,122.4081,121.3277,121.4566,4924800
2025-06-20,121.9621,122.6856,121.4169,122.4081,6729700
2025-06-23,122.3585,123.8651,121.635,123.657,4072700
2025-06-24,123.8453,124.44,123.0821,123.4984,4546200
2025-06-25,123.3893,123.6471,121.3674,121.3971,4669700
2025-06-26,121.6846,121.6846,118.8399,121.0601,8415100
2025-06-27,120.9016,122.6955,120.5646,122.2892,9786300
2025-06-30,122.8938,122.8938,121.1791,122.3982,6228000
2025-07-01,122.5766,124.5391,122.0711,124.0534,5126200
2025-07-02,124.2814,124.5193,123.2109,124.2021,4790200
2025-07-03,124.2417,124.995,123.6669,124.7472,2986600
2025-07-07,124.8364,125.0842,123.6173,124.0633,3945000
2025-07-08,123.9147,124.5391,123.0524,124.1525,5683300
2025-07-09,124.4102,124.8364,123.2506,124.3409,3818100
2025-07-10,123.9147,124.2616,122.8938,123.0623,5051100
2025-07-11,122.6361,123.0722,122.2793,122.6162,4145900
2025-07-14,122.0612,122.5964,121.4368,122.4676,4651200
2025-07-15,122.1009,122.6955,120.6438,120.6637,4720500
2025-07-16,121.0502,121.2088,118.7805,120.2771,6151800
2025-07-17,119.9798,121.3079,119.9302,121.0899,3828200
2025-07-18,121.2187,121.7341,120.9214,121.0899,3464300
2025-07-21,121.407,124.0633,121.2187,123.8354,4721900
2025-07-22,123.9741,125.3122,123.1317,124.4895,4284900
2025-07-23,125.0743,125.9168,124.8166,125.2428,4367500
2025-07-24,124.9554,125.5996,124.2913,125.1437,4722800
2025-07-25,125.6393,125.897,124.8464,125.3221,5143200
2025-07-28,125.223,126.006,123.7462,124.2814,6114400
2025-07-29,124.9851,125.8772,124.3904,125.2527,5543300
2025-07-30,125.5104,125.9565,124.1724,124.6977,3193300
2025-07-31,123.8354,124.658,123.2803,123.429,4653000
2025-08-01,123.0127,125.114,122.6856,124.886,4855400
2025-08-04,125.3023,128.0775,125.1834,128.0775,4807800
2025-08-05,128.0874,128.702,127.3441,127.6315,5178400
2025-08-06,127.7703,130.9915,127.4927,130.9321,4839400
2025-08-07,131.5367,131.7151,129.822,130.8131,6154800
2025-08-08,130.9123,131.5763,130.1986,130.2085,4629700
2025-08-11,130.6248,131.279,129.7229,131.2294,3304200
2025-08-12,131.6358,132.4783,131.16,132.2107,4284500
2025-08-13,132.171,133.0432,131.9827,132.9144,5593800
2025-08-14,132.2631,133.2475,131.9549,132.1935,3763200
2025-08-15,132.3725,132.8498,131.2589,131.8654,4796100
2025-08-18,132.1736,133.3668,131.8754,132.3029,6225500
2025-08-19,132.5813,134.202,132.5813,133.854,6727300
2025-08-20,142.7232,144.7516,136.9761,137.4832,13223200
2025-08-21,135.6835,137.9704,135.5443,136.7276,7054300
2025-08-22,137.185,138.5869,135.1466,135.7631,5776700
2025-08-25,135.3355,136.2901,134.5898,134.729,4734400
2025-08-26,134.8981,135.962,133.9833,135.9023,6531600
2025-08-27,135.9023,136.7176,135.4449,136.4492,4522000
2025-08-28,136.7673,137.1153,135.5245,136.3398,5138900
2025-08-29,136.489,136.6977,135.1267,135.8327,4118600
2025-09-02,135.425,137.8114,135.425,137.7816,5282500
2025-09-03,137.7815,138.7858,137.6026,138.6764,4798900
2025-09-04,139.0741,140.2972,138.9151,140.2176,4172500
2025-09-05,140.6153,140.6949,138.1395,138.4676,6735800
2025-09-08,138.4378,140.1977,138.3582,140.0386,4801400
2025-09-09,138.9847,139.7304,138.2688,139.1736,3453300
2025-09-10,138.7659,139.2432,137.9207,139.0642,3573600
2025-09-11,139.5813,140.4463,138.9946,140.0287,5197900
2025-09-12,139.7204,140.5457,138.1097,138.6864,5173200
2025-09-15,139.0045,140.4364,138.6764,140.3667,4186600
2025-09-16,139.8696,140.3071,138.0401,138.756,3786300
2025-09-17,139.1935,140.0883,138.4278,139.2432,4617100
2025-09-18,139.1736,140.2176,138.577,139.1338,4794700
2025-09-19,139.3923,139.621,138.3085,138.9846,7503900
2025-09-22,138.9946,138.9946,137.881,138.6168,3683200
2025-09-23,138.6565,139.0642,138.1097,138.925,3308500
2025-09-24,138.7162,140.6451,138.2091,139.6409,5027700
2025-09-25,140.0685,140.7645,139.5017,140.6551,4120000
2025-09-26,141.0628,142.4051,140.6452,142.2758,4224400
2025-09-29,142.3753,142.8326,141.2318,142.7034,4260400
2025-09-30,142.4946,144.0059,142.4946,143.7176,6435800
2025-10-01,143.2602,144.2943,142.7232,143.4988,6703800
2025-10-02,142.8525,143.6678,141.3909,141.6792,4449400
2025-10-03,141.6793,142.4349,140.3469,140.5258,2993800
2025-10-06,140.4364,142.8227,140.4364,142.2957,6309600
2025-10-07,141.9278,142.8326,139.3128,141.8483,6700900
2025-10-08,141.9079,142.1366,139.5812,139.9094,5158400
2025-10-09,139.9292,140.665,137.6622,137.7716,3750700
2025-10-10,137.9207,140.2673,137.4435,139.5812,4261200
2025-10-13,139.4321,141.1025,138.9847,140.5855,4144300
2025-10-14,140.6054,143.5386,140.3568,143.2801,4431800
2025-10-15,143.1906,145.6267,143.1906,144.334,5397600
2025-10-16,144.4335,144.4335,141.2517,141.7389,3400100
2025-10-17,142.1863,143.638,141.8383,143.0216,4003100
2025-10-20,143.1309,143.5585,141.7389,142.5145,3321600
2025-10-21,142.3653,143.4789,141.8582,143.0912,3886900
2025-10-22,143.5784,143.7971,142.1167,142.246,3800000
2025-10-23,142.246,142.5741,141.2815,141.5897,5072500
2025-10-24,141.9576,142.1764,141.0329,141.1025,3442600
