date,open,high,low,close,volume
2025-03-14,140.6405,144.1756,136.7192,138.254,2482400
2025-03-17,138.4987,145.0079,138.4987,143.6272,2329600
2025-03-18,142.8579,144.7022,141.132,143.4694,1395400
2025-03-19,144.0808,148.8444,142.5127,147.7891,1427200
2025-03-20,146.5366,149.8208,146.4577,148.3316,1768000
2025-03-21,147.1776,149.16,146.152,147.8187,19094600
2025-03-24,148.5683,151.2114,144.7318,150.807,2185000
2025-03-25,150.6493,152.7105,147.5426,152.4738,1239000
2025-03-26,152.7795,155.827,152.0103,152.4837,1042500
2025-03-27,151.7144,152.3653,149.5446,149.7912,1019400
2025-03-28,149.7518,150.235,145.9448,147.6412,1144100
2025-03-31,145.9645,151.3593,144.6726,150.7084,2749800
2025-04-01,150.5309,152.0201,147.6116,150.8859,963800
2025-04-02,151.1226,156.8133,150.0279,156.3991,1786800
2025-04-03,151.882,155.9651,148.223,148.371,1527100
2025-04-04,143.065,144.8895,137.4927,137.6604,2356000
2025-04-07,132.9264,143.2918,131.2399,139.2384,1771100
2025-04-08,144.1893,145.6588,135.2441,137.0489,1346800
2025-04-09,136.3783,148.233,134.2381,146.4971,1637300
2025-04-10,144.4753,145.1854,139.12,143.0946,1105900
2025-04-11,143.1143,143.9132,139.8104,142.3648,1233900
2025-04-14,144.5542,148.085,143.7061,146.0928,904500
2025-04-15,146.793,148.7261,145.8659,147.5919,796800
2025-04-16,146.7437,148.7852,144.3274,145.9251,726400
2025-04-17,146.4774,148.2428,145.3531,147.1678,705700
2025-04-21,147.3354,147.3354,139.4948,141.1221,1192300
2025-04-22,143.1932,146.3886,142.0196,146.0928,1136600
2025-04-23,148.9233,152.385,147.6905,148.9134,1069300
2025-04-24,148.9924,154.4364,148.9924,153.1445,1009900
2025-04-25,153.2135,155.2747,152.1779,154.9394,1430600
2025-04-28,155.7284,158.983,155.5213,158.2236,1292300
2025-04-29,157.3458,161.0936,156.8724,160.7188,1016700
2025-04-30,158.5787,161.4585,156.8429,160.6695,903200
2025-05-01,161.5867,163.2831,160.3046,160.9161,1180000
2025-05-02,161.9713,164.6243,161.3401,164.1411,1038400
2025-05-05,160.7583,165.6106,159.6537,164.5356,741200
2025-05-06,162.7308,166.2418,162.642,165.6303,724300
2025-05-07,165.9065,168.1157,165.2063,167.3464,1387100
2025-05-08,168.3622,168.9047,165.8966,166.6363,1462500
2025-05-09,169.2203,170.0684,156.6456,157.4642,1867400
2025-05-12,160.5808,160.9555,156.4878,158.3913,1295200
2025-05-13,159.7918,162.9379,158.8745,162.2179,934700
2025-05-14,162.2377,162.9478,159.3381,159.9792,798600
2025-05-15,159.9199,160.5709,157.0697,159.2394,866800
2025-05-16,159.8213,161.8924,159.5846,161.2317,748700
2025-05-19,160.3145,163.2239,159.4367,161.7347,732300
2025-05-20,161.5078,161.853,160.0087,160.5018,486700
2025-05-21,159.8608,160.6005,157.267,157.6417,653100
2025-05-22,157.5826,157.7009,152.6513,154.0814,1460900
2025-05-23,153.7165,156.33,152.819,155.5509,1315000
2025-05-27,157.6615,157.9277,156.2413,156.764,1807800
2025-05-28,157.0894,157.4642,155.6495,156.6259,584900
2025-05-29,156.9218,157.4938,153.7559,154.5844,689500
2025-05-30,154.0222,156.0835,152.9472,155.6396,821400
2025-06-02,155.2156,157.5036,154.2786,157.3557,799500
2025-06-03,157.3557,161.4092,157.336,160.8668,900200
2025-06-04,161.4388,163.8255,159.1211,163.6184,816700
2025-06-05,165.9361,167.4746,164.4863,166.5968,871700
2025-06-06,166.8631,167.662,163.431,163.6578,789600
2025-06-09,163.6381,164.6145,160.2947,161.0837,658700
2025-06-10,161.4092,163.0266,159.5748,162.3363,834400
2025-06-11,162.5039,163.2239,161.3697,162.6519,542900
2025-06-12,162.2771,163.0168,161.0739,161.6755,493200
2025-06-13,160.6771,162.3675,159.0954,161.2109,503100
2025-06-16,162.5454,167.1421,161.6656,166.4798,896600
2025-06-17,165.4912,166.0448,163.9887,166.0349,865500
2025-06-18,166.4205,176.6321,166.3117,173.9333,1861900
2025-06-20,176.6716,176.6716,171.4126,172.9547,2884800
2025-06-23,173.5874,174.0124,169.8013,173.5182,727900
2025-06-24,174.0124,175.1888,172.3023,174.8626,769600
2025-06-25,174.6748,175.2976,172.4308,172.935,605500
2025-06-26,173.192,174.6451,171.2445,174.141,828700
2025-06-27,174.5561,177.3339,174.1904,177.2944,2282700
2025-06-30,177.9369,180.5072,176.6123,179.8646,1048000
2025-07-01,179.2616,179.2616,170.6811,173.5973,1169100
2025-07-02,173.4885,175.9599,172.8064,175.4261,736600
2025-07-03,175.2481,176.5727,174.2299,175.1097,405900
2025-07-07,175.0207,175.1789,172.5494,174.3189,568900
2025-07-08,173.874,173.874,167.5474,170.9875,1044800
2025-07-09,170.1868,170.9677,168.5755,169.8309,725600
2025-07-10,169.5739,171.0567,167.1915,170.9084,902800
2025-07-11,170.5229,170.9183,166.4303,170.0286,704800
2025-07-14,170.4537,174.4869,170.1769,172.4802,757100
2025-07-15,171.6795,172.8657,166.3908,166.8554,986600
2025-07-16,166.8554,167.6364,161.893,167.1915,906300
2025-07-17,166.9147,167.8835,165.5901,167.409,850900
2025-07-18,168.3481,170.4241,165.4913,168.8325,951000
2025-07-21,168.6051,169.8111,166.4303,166.7664,861000
2025-07-22,166.0745,166.9741,164.5423,164.5818,762600
2025-07-23,165.0068,165.9558,163.3659,165.7878,522200
2025-07-24,165.5802,166.4699,161.7842,166.0745,816500
2025-07-25,165.9954,168.3778,165.4616,168.101,626300
2025-07-28,168.0713,169.0895,165.9657,168.7831,534800
2025-07-29,169.0203,169.0203,164.8388,166.2227,529500
2025-07-30,165.4122,167.3892,164.5324,165.8867,531100
2025-07-31,166.4402,167.7155,165.6988,166.0844,665100
2025-08-01,166.6182,166.6182,162.4169,163.7119,675700
2025-08-04,164.8586,166.3612,163.6229,163.8602,630900
2025-08-05,164.5521,165.2441,160.7265,161.5766,765500
2025-08-06,165.4715,165.4715,152.2844,153.8265,2660600
2025-08-07,155.9419,159.8269,150.5445,158.8977,1909200
2025-08-08,159.3425,163.613,158.5912,161.4185,1539900
2025-08-11,162.3279,179.4197,162.1203,177.9369,2655000
2025-08-12,178.9255,184.8666,176.7705,183.888,1225800
2025-08-13,185.8452,189.315,183.7298,189.0876,1348500
2025-08-14,187.9014,192.5278,187.9014,188.8109,1169600
2025-08-15,189.6116,190.5013,186.2802,186.6855,719200
2025-08-18,185.9639,186.2604,182.1679,183.4332,706800
2025-08-19,182.672,184.7677,181.3573,182.7808,639100
2025-08-20,181.3672,182.7314,177.9369,180.517,753900
2025-08-21,180.7048,182.4348,180.3687,182.1283,435800
2025-08-22,182.9884,185.8354,182.247,184.0362,774200
2025-08-25,183.8682,184.1252,181.2189,181.6143,647000
2025-08-26,181.1793,183.8385,179.3604,183.0378,750300
2025-08-27,182.6819,185.005,182.3063,183.5222,536000
2025-08-28,183.3443,188.02,183.1762,187.9607,801600
2025-08-29,187.8421,188.0991,186.1913,187.3874,559100
2025-09-02,185.1335,187.852,182.5534,183.2256,681700
2025-09-03,184.57,187.4071,183.1861,184.4712,694700
2025-09-04,184.5107,188.4451,183.9077,187.9014,786300
2025-09-05,188.4154,193.3878,188.4154,191.7765,713100
2025-09-08,192.4289,198.4096,192.3301,198.1723,1098300
2025-09-09,196.1854,196.5017,190.6298,194.1786,794800
2025-09-10,195.2462,195.2462,191.0054,192.8935,601800
2025-09-11,192.9034,200.8414,192.7354,199.922,977000
2025-09-12,199.4475,201.7607,198.3997,200.1198,897100
2025-09-15,204.9124,210.8461,199.4053,202.908,2302200
2025-09-16,202.65,202.65,198.294,198.7405,3258900
2025-09-17,202.0844,202.521,198.8496,199.8221,1933700
2025-09-18,200.9136,201.8364,198.4528,201.2311,1320100
2025-09-19,200.725,201.7867,199.4252,199.5542,2052700
2025-09-22,198.7603,199.703,195.982,198.1253,1661400
2025-09-23,198.4527,201.2708,198.1253,200.725,1831100
2025-09-24,200.4373,201.4097,194.1662,194.2753,1958800
2025-09-25,194.4738,195.0493,193.1541,194.2753,912600
2025-09-26,195.0493,198.4726,194.6722,197.5002,1008200
2025-09-29,198.9985,204.6742,197.3712,203.7415,1837600
2025-09-30,203.9003,206.8671,200.2091,200.3976,3160600
2025-10-01,198.5321,199.5442,192.1618,197.2223,1485300
2025-10-02,197.1727,197.9665,194.9997,196.4682,1269500
2025-10-03,196.6369,198.2146,194.9302,195.8233,981700
2025-10-06,196.9643,197.0536,192.6083,196.6171,1572900
2025-10-07,197.4208,201.6776,196.369,196.4285,1154800
2025-10-08,196.9445,198.2841,192.5885,192.648,1241500
2025-10-09,193.0648,193.4418,184.4916,185.0274,1122400
2025-10-10,185.0274,189.3438,184.6603,185.6029,1422100
2025-10-13,186.5456,189.4628,186.367,187.1409,898600
2025-10-14,185.98,191.5764,185.2755,188.5004,701400
2025-10-15,189.959,190.7627,188.8377,189.7308,1375200
2025-10-16,192.0229,192.0229,186.2975,186.3769,1403000
2025-10-17,185.7915,189.0858,185.6327,187.8157,850800
2025-10-20,188.7286,189.8796,185.2854,185.3747,1128700
2025-10-21,186.7341,187.8157,184.6404,184.7198,953000
2025-10-22,185.5533,186.1487,182.8544,185.5236,1017500
2025-10-23,185.8609,187.1012,184.9183,185.4045,1085200
2025-10-24,185.5434,188.8377,185.2953,185.4045,760300
2025-10-27,185.8609,188.034,185.5632,186.0594,1202400
2025-10-28,185.9105,186.4364,184.3031,185.9998,602100
2025-10-29,185.6327,188.1134,184.7992,185.1564,1113400
2025-10-30,184.6901,188.5301,184.5611,186.3273,860700
2025-10-31,186.9425,189.3636,186.7738,186.9425,1103500
2025-11-03,185.4938,188.411,184.6206,186.2578,1489300
2025-11-04,184.6007,186.7738,182.9536,185.9006,1292000
2025-11-05,185.464,188.7683,184.3229,185.7915,1575500
2025-11-06,184.442,186.615,176.0375,179.5997,3359200
2025-11-07,178.8059,181.7827,177.8335,181.1477,1169800
2025-11-10,182.9139,183.3009,176.2558,177.7839,1378900
2025-11-11,178.1609,178.8853,175.7497,178.2899,972600
2025-11-12,178.3594,180.4233,178.2205,180.2745,741300
2025-11-13,179.9768,185.5632,178.3098,181.227,1126500
2025-11-14,180.5821,183.4001,179.6196,182.6658,1159700
2025-11-17,182.1399,183.5489,179.5997,183.3207,2254900
2025-11-18,183.0528,185.5235,180.0562,185.1167,1787900
2025-11-19,185.9602,189.6216,185.6823,186.9127,1193300
2025-11-20,188.2523,188.7782,175.0155,175.1246,1417700
2025-11-21,175.4719,178.8456,174.6384,176.7916,1052400
2025-11-24,176.9405,181.2171,176.097,180.2447,1048100
2025-11-25,181.1973,186.883,180.6019,185.9701,1109600
2025-11-26,186.6448,192.5885,186.5753,191.874,873700
2025-11-28,191.7351,193.3525,188.7583,192.39,699300
2025-12-01,191.3283,192.648,190.5841,192.4793,837400
2025-12-02,192.4793,194.444,191.0009,193.1342,1000200
2025-12-03,193.3029,194.9004,192.0923,193.3922,1318800
2025-12-04,194.5135,199.5244,193.0747,199.316,660900
2025-12-05,199.9014,201.0326,198.2047,200.6556,808200
2025-12-08,200.8441,205.1009,199.2862,202.2432,1101800
2025-12-09,201.9554,203.8507,194.9997,195.5851,1217600
2025-12-10,195.4759,198.7306,188.7385,195.4164,2333600
2025-12-11,193.9876,204.0888,192.8167,202.7195,1112100
2025-12-12,203.682,208.1075,202.9278,206.8076,1143300
2025-12-15,205.6124,207.6442,200.7918,206.6184,1682200
2025-12-16,207.196,212.3752,206.957,209.8055,1654500
2025-12-17,209.7657,215.2735,209.7657,210.7717,1212300
2025-12-18,211.2796,214.5465,210.0246,210.7617,1298400
2025-12-19,210.5924,214.3074,210.2139,212.5844,3058900
2025-12-22,213.2218,215.5425,211.9469,214.6261,801300
2025-12-23,215.1839,216.638,214.1979,214.8353,556600
2025-12-24,214.7058,217.2356,214.7058,217.1062,197900
2025-12-26,216.887,217.0862,215.5325,216.5683,393700
2025-12-29,215.4927,217.0364,214.9847,215.2437,893700
2025-12-30,214.6959,215.642,212.7836,213.3114,694000
2025-12-31,213.3513,213.8791,207.3156,208.1622,765700
2026-01-02,209.0884,210.5226,205.5327,206.1104,1131600
2026-01-05,204.228,205.1543,201.5089,202.8336,1279500
2026-01-06,202.8336,203.6503,200.5727,201.997,1053000
2026-01-07,201.9671,202.5547,199.7859,202.0966,824800
2026-01-08,201.0906,201.6284,198.2321,201.2798,673700
2026-01-09,202.2061,203.9392,197.3457,198.8297,866400
2026-01-12,197.4951,199.4074,197.1565,198.2919,531300
2026-01-13,197.1963,208.0825,197.1963,208.0526,1218000
2026-01-14,205.9411,210.8115,205.4829,207.1462,846000
2026-01-15,208.6601,212.166,206.6682,208.0426,1275400
2026-01-16,206.8773,208.3414,200.732,202.4551,1271300
2026-01-20,202.9531,205.2837,201.5189,202.5946,837900
2026-01-21,202.4551,203.9491,196.1206,203.6005,1106700
2026-01-22,204.7857,205.0746,196.7979,199.3277,970000
2026-01-23,200.991,206.8076,199.507,204.0885,1025600
2026-01-26,202.6244,203.9391,199.9054,202.6842,807000
2026-01-27,202.4452,202.9332,198.3317,198.3915,732400
2026-01-28,198.4114,198.7102,193.541,194.0988,844400
2026-01-29,193.9892,201.1006,191.7482,200.2938,1132300
2026-01-30,199.1484,203.7499,199.0389,201.7679,1092700
2026-02-02,201.0508,204.1782,199.3775,199.7162,534600
2026-02-03,199.9353,204.2081,196.031,202.3057,800600
2026-02-04,203.5408,206.21,200.9811,205.7021,921300
