date,open,high,low,close,volume
2025-03-14,508.1303,521.9794,506.845,520.1361,1745600
2025-03-17,520.8135,523.7926,512.7831,517.6652,1670400
2025-03-18,516.7485,520.2257,511.2587,519.5881,1232000
2025-03-19,518.5419,520.5844,511.5376,516.5093,1603200
2025-03-20,516.5991,518.7313,511.179,516.7386,1537100
2025-03-21,514.3674,516.7087,508.1303,515.822,2192300
2025-03-24,518.8806,524.8686,515.2341,517.994,1100000
2025-03-25,519.5681,521.3216,509.0468,512.4543,1170700
2025-03-26,512.4642,516.1009,509.4752,511.7867,1216100
2025-03-27,512.1056,513.4408,506.1974,509.8041,1249700
2025-03-28,510.7307,511.4879,497.5691,498.3263,1787700
2025-03-31,494.6798,498.7846,482.4946,495.7757,2915800
2025-04-01,493.7432,494.6897,479.4458,481.1993,1837600
2025-04-02,478.7384,489.5586,477.8417,487.267,2068700
2025-04-03,480.1233,484.1285,466.4536,468.3068,2813600
2025-04-04,459.7981,462.4085,435.6171,436.3045,3894200
2025-04-07,416.2384,451.678,409.7024,436.2647,4076300
2025-04-08,449.5059,452.4651,411.8146,417.7727,3929200
2025-04-09,413.1099,453.3618,408.3474,451.8872,4597700
2025-04-10,444.7634,446.9554,413.7874,425.8729,3902400
2025-04-11,428.4136,439.1142,418.4602,436.5437,2657400
2025-04-14,446.3575,449.1871,440.3795,447.6826,2370500
2025-04-15,445.949,448.6192,436.8027,439.3832,2545900
2025-04-16,439.712,444.3051,433.7639,435.1887,1823500
2025-04-17,432.9469,434.4214,423.4916,425.9327,3038300
2025-04-21,423.94,424.9364,415.0926,420.3034,2314800
2025-04-22,428.2242,435.4078,424.9463,433.1362,3677800
2025-04-23,454.8762,459.9177,427.8457,430.0576,3492200
2025-04-24,428.4235,430.8745,416.2583,425.0958,3662400
2025-04-25,424.5578,425.1556,415.2919,422.6847,2698300
2025-04-28,428.3538,431.2631,415.3118,419.7953,2531600
2025-04-29,420.2735,428.7623,417.2746,425.9626,2437300
2025-04-30,426.0822,427.7361,421.4392,427.4272,2944300
2025-05-01,424.2987,427.2976,413.8571,418.3506,2771900
2025-05-02,426.8992,429.8583,420.8714,421.9972,2492400
2025-05-05,420.8514,423.4219,416.328,420.7219,2637200
2025-05-06,417.9122,422.0071,405.0097,405.5278,4070200
2025-05-07,407.8891,411.8346,403.0868,406.3548,2959400
2025-05-08,405.5776,414.2258,401.3332,409.274,3013600
2025-05-09,409.0947,410.9777,400.2771,401.652,2318700
2025-05-12,409.6327,431.1435,408.198,431.004,3716400
2025-05-13,429.5992,433.3853,425.7334,427.3774,2726900
2025-05-14,428.3837,428.9715,404.2923,404.5613,3201100
2025-05-15,401.9509,405.5477,389.0683,403.4454,4129600
2025-05-16,403.5152,411.1172,400.1974,410.5493,2498200
2025-05-19,406.7334,412.5519,405.7669,412.4025,1665000
2025-05-20,411.1372,413.8771,408.3873,412.2331,2142000
2025-05-21,407.8194,411.1471,395.9032,396.8198,2965800
2025-05-22,393.2031,400.2671,392.3662,399.0118,2891400
2025-05-23,392.3363,394.8869,389.2278,392.2168,2318100
2025-05-27,400.4664,406.2551,399.0317,402.0705,2705700
2025-05-28,402.3594,404.6709,398.9221,400.6557,1931400
2025-05-29,401.5723,405.8765,399.9483,402.2698,2499300
2025-05-30,400.2372,403.9536,395.8633,401.3432,2521300
2025-06-02,398.673,399.0417,391.2503,395.0165,2584000
2025-06-03,393.6216,400.9247,389.8455,398.4638,3204100
2025-06-04,401.0443,406.9825,400.7155,402.1801,2280700
2025-06-05,403.2462,403.7543,395.2954,396.8995,2504000
2025-06-06,399.0915,405.1093,399.0915,400.4265,2630000
2025-06-09,403.6946,411.0973,400.048,407.0323,2164000
2025-06-10,409.9017,418.4303,405.2388,413.0202,2573800
2025-06-11,414.3155,422.9537,411.7649,413.628,3062700
2025-06-12,412.4623,415.2819,408.4072,413.8073,2067600
2025-06-13,409.2893,412.2415,400.5124,401.6993,2385800
2025-06-16,405.8084,405.8084,396.1539,404.0132,1973200
2025-06-17,398.9465,402.4972,388.8332,389.2322,3040400
