date,open,high,low,close,volume
2025-03-14,249.2317,253.135,248.2485,251.6799,3511100
2025-03-17,250.0183,257.3726,248.6811,255.7995,4329700
2025-03-18,257.0088,257.5791,253.489,256.3501,3088900
2025-03-19,257.8839,258.0805,254.4132,254.8949,2926800
2025-03-20,253.9904,254.6491,252.1026,252.7122,3729100
2025-03-21,250.1657,254.0986,250.0576,251.5422,9207000
2025-03-24,254.4623,256.4484,253.2727,254.6098,2896900
2025-03-25,252.8007,256.7237,252.1125,254.4034,2987900
2025-03-26,256.1534,260.4992,256.0748,258.1002,4683500
2025-03-27,258.5033,264.2255,258.5033,263.7733,4228500
2025-03-28,265.7986,266.2804,259.8404,260.4795,3322700
2025-03-31,260.2632,263.5962,260.155,262.2296,4073200
2025-04-01,261.4824,264.1862,258.2182,264.0289,3025400
2025-04-02,263.9895,263.9994,258.0117,260.1157,2969500
2025-04-03,260.745,268.0207,260.4894,263.3898,5652100
2025-04-04,263.4095,265.1202,243.2145,243.9421,7948500
2025-04-07,239.0752,252.6336,238.7311,242.5263,8149000
2025-04-08,248.0715,249.5365,239.7635,242.1625,6018000
2025-04-09,238.9179,251.2669,234.641,250.618,8590400
2025-04-10,251.8273,255.8585,247.2063,251.8175,5406600
2025-04-11,253.3022,255.7503,251.3358,254.3247,3987300
2025-04-14,255.1407,260.7155,254.1772,258.228,3845400
2025-04-15,260.0272,263.4586,258.7589,262.2296,3130500
2025-04-16,261.7577,262.7802,254.6098,255.2784,3362700
2025-04-17,255.357,260.9416,254.7376,257.6381,3489600
2025-04-21,256.0158,257.3431,246.6557,249.2219,3656300
2025-04-22,248.8876,254.9637,248.7499,253.9609,4762500
2025-04-23,249.7331,258.1985,248.4254,254.9932,4562300
2025-04-24,255.3865,259.3587,253.7348,257.7757,5047200
2025-04-25,239.0654,239.7143,226.7655,228.8598,13561400
2025-04-28,227.7979,233.3333,227.6504,232.7926,5825900
2025-04-29,232.7336,237.8462,231.4653,237.5316,3900800
2025-04-30,240.6189,243.3915,237.6594,242.8016,4440500
2025-05-01,241.1498,242.949,238.328,242.8507,3603400
2025-05-02,243.5685,246.0166,242.0937,244.6991,2801100
2025-05-05,244.6205,245.1809,242.3591,244.1289,2311500
2025-05-06,243.3521,249.8904,243.0375,249.5365,2903200
2025-05-07,248.4648,249.4578,246.0756,247.0392,4042100
2025-05-08,247.9437,248.396,243.2833,243.3325,3520700
2025-05-09,243.3325,243.9912,239.5767,239.7143,3278300
2025-05-12,234.8081,236.2928,232.0355,236.2829,5373100
2025-05-13,235.2407,236.2436,231.9372,233.353,4712800
2025-05-14,229.9118,231.5931,228.3387,231.3374,4168900
2025-05-15,233.1367,238.3673,232.4484,236.1256,5215000
2025-05-16,236.4796,239.2325,234.6311,238.5836,4402200
2025-05-19,238.9179,241.8872,238.8294,240.1469,4238000
2025-05-20,241.0023,241.5037,235.1031,237.158,4787700
2025-05-21,237.158,239.1441,234.9949,236.7155,4110000
2025-05-22,237.4726,237.9937,235.4177,236.7745,3200600
2025-05-23,236.9613,239.262,234.5722,238.7999,4174000
2025-05-27,239.6946,241.7594,238.151,239.2719,3717400
2025-05-28,239.0162,239.4193,237.0105,237.4529,2468600
2025-05-29,237.7577,237.7577,232.7631,235.2801,3127400
2025-05-30,236.4248,240.1155,235.2899,239.0103,8313500
2025-06-02,236.4149,240.1649,235.7537,239.8589,2578800
2025-06-03,238.7833,241.2109,238.2504,240.6682,3630900
2025-06-04,241.2603,241.9708,238.7636,238.7735,3413900
2025-06-05,238.7044,243.0168,237.984,241.6747,2855300
2025-06-06,243.6287,244.2898,241.2997,242.6221,2022500
2025-06-09,241.4379,241.6945,234.7373,234.8163,4538600
2025-06-10,233.8788,234.6386,231.5794,233.859,3766900
2025-06-11,233.1978,233.3755,226.7835,227.8986,6709600
2025-06-12,229.4282,229.4282,224.5236,225.6881,5369000
2025-06-13,225.4907,226.6453,223.1716,224.9973,4379800
2025-06-16,225.2539,228.5598,224.8098,227.9479,3777800
2025-06-17,218.9776,219.5697,217.1026,218.5138,12423600
2025-06-18,219.3033,220.0631,217.6553,218.0796,5600300
2025-06-20,219.1849,220.2605,217.9908,218.6026,8936700
2025-06-23,220.0631,224.6322,219.5599,223.9907,7469000
2025-06-24,224.5927,227.3065,223.6059,226.7933,5128400
2025-06-25,226.3986,228.2439,225.7473,227.8591,5428600
2025-06-26,227.9578,228.5499,225.9841,228.3723,4342400
2025-06-27,227.6815,233.2275,227.3854,232.1518,6496300
2025-06-30,231.4018,235.4774,231.1452,235.1222,5118400
2025-07-01,235.2702,240.0761,234.9445,238.3294,4536400
2025-07-02,236.8393,237.8261,233.6814,234.2932,3414400
2025-07-03,233.8492,238.1715,233.484,237.5794,1998800
2025-07-07,236.8097,237.1057,233.484,234.5005,2958400
2025-07-08,233.0992,233.6715,230.5334,232.8623,3020800
2025-07-09,231.836,232.1025,228.3525,229.2505,3938100
2025-07-10,228.4512,228.4512,224.0302,225.1453,5528200
2025-07-11,225.3723,226.0927,223.1223,224.7604,3093700
2025-07-14,224.6914,226.6157,224.4841,225.1453,3118000
2025-07-15,223.6848,224.0894,222.3131,223.0434,3429800
2025-07-16,223.517,226.3492,223.4874,225.7275,5793100
2025-07-17,224.6124,226.2703,222.9644,224.0401,3509300
2025-07-18,225.698,225.7769,223.2605,224.2177,3773600
2025-07-21,226.8032,230.8887,226.5861,229.5564,4431100
2025-07-22,230.563,235.0235,229.7143,230.1781,4004400
2025-07-23,230.0992,231.8558,227.6815,230.8492,5621000
2025-07-24,240.7866,248.4345,240.2931,244.2405,8623200
2025-07-25,244.9905,246.6188,239.8984,240.3425,5205200
2025-07-28,239.3853,239.7603,234.1551,235.0531,3702900
2025-07-29,236.0202,238.1221,234.6682,236.0991,3563600
2025-07-30,236.1781,239.5925,235.4478,238.3984,4213000
2025-07-31,236.2274,238.8623,234.984,235.2702,4079200
2025-08-01,237.2735,238.8228,233.79,234.0761,3481400
2025-08-04,234.609,238.2208,233.9577,237.836,3755500
2025-08-05,237.757,238.3096,233.711,235.7833,3775600
2025-08-06,235.2011,238.7142,232.4577,236.0695,5160200
2025-08-07,236.4544,239.9774,235.3689,239.7307,4061800
2025-08-08,240.0168,243.5004,239.7504,241.7537,4261600
2025-08-11,242.5037,245.7306,242.2471,245.5924,3976100
2025-08-12,246.2141,249.2634,245.03,248.9575,4620300
2025-08-13,249.1746,250.6845,247.1516,247.5365,3152600
2025-08-14,248.2668,249.1746,245.997,247.0135,2951500
2025-08-15,247.8128,252.816,247.0036,251.2766,3939400
2025-08-18,252.2437,253.3489,250.6944,251.8193,3309200
2025-08-19,251.7898,255.0562,250.8523,254.8193,3641900
2025-08-20,256.5167,258.1153,255.3226,255.5989,3875900
2025-08-21,254.6614,256.0824,253.6252,254.7601,3330400
2025-08-22,256.5364,257.8094,247.8326,248.6319,3984800
2025-08-25,249.7667,250.0529,246.5891,248.4247,4295700
