date,open,high,low,close,volume
2025-03-14,420.6414,439.0114,418.223,437.6565,295800
2025-03-17,435.9205,446.6344,433.6512,443.792,244500
2025-03-18,445.2529,445.2529,439.2367,445.1635,241800
2025-03-19,447.2407,461.6186,445.9155,458.8325,426900
2025-03-20,453.8664,459.389,448.8474,454.3568,287100
2025-03-21,450.2885,450.2885,401.3836,421.7811,1185300
2025-03-24,427.1248,450.1362,421.7711,445.5776,442800
2025-03-25,445.8161,454.0917,443.8615,451.3354,304500
2025-03-26,457.1363,467.5056,447.2241,450.1394,315300
2025-03-27,452.3624,452.3624,437.2059,441.2477,268200
2025-03-28,439.727,444.6666,430.653,432.5679,309300
2025-03-31,429.0198,442.8577,420.7375,438.9551,388200
2025-04-01,435.4998,449.2218,426.0348,448.1815,399600
2025-04-02,437.8685,461.1548,437.8685,460.966,304500
2025-04-03,427.8768,428.7879,404.3255,404.4977,543000
2025-04-04,390.7559,390.7559,347.3238,357.4613,858000
2025-04-07,337.4116,393.1378,326.9594,382.2781,1100100
2025-04-08,401.6022,401.9899,357.1266,370.2126,576900
2025-04-09,365.6474,429.5465,354.7315,418.5808,615600
2025-04-10,402.8777,402.8777,377.8024,393.1312,422700
2025-04-11,393.2405,410.9513,383.2621,409.5068,302400
2025-04-14,421.6751,421.6751,409.1424,413.2934,340800
2025-04-15,413.2934,428.8475,413.2934,418.8392,241500
2025-04-16,417.6698,428.0889,416.7654,423.2487,343200
2025-04-17,430.6762,437.9314,425.0476,430.2256,312600
2025-04-21,422.1356,425.3093,404.2989,413.7705,259800
2025-04-22,423.03,434.8273,418.4152,434.1315,287700
2025-04-23,438.9584,454.3137,433.2073,440.8468,327300
2025-04-24,445.1204,448.9932,437.8851,442.5331,260100
2025-04-25,438.6106,442.2713,434.708,442.1488,167100
2025-04-28,438.4416,448.8209,438.0043,447.3666,181200
2025-04-29,440.8899,445.8393,435.6456,440.711,181200
2025-04-30,432.6408,434.4066,420.3897,426.989,360000
2025-05-01,423.3878,440.0318,421.4432,432.707,328200
2025-05-02,440.3499,450.2289,428.387,446.0447,305700
2025-05-05,436.7521,440.8535,430.0137,437.8354,211500
2025-05-06,439.3759,448.1451,432.3294,441.9864,325200
2025-05-07,441.3437,446.3992,435.6456,445.0475,326700
2025-05-08,453.8664,457.0402,424.554,426.5318,544200
2025-05-09,430.1262,435.3838,420.9363,431.14,249000
2025-05-12,453.5252,453.5252,435.6257,444.2988,295200
2025-05-13,446.7106,459.6574,446.3097,456.7288,304500
