date,open,high,low,close,volume
2025-03-14,182.3953,186.9582,179.5424,185.9323,1728500
2025-03-17,185.1018,193.1917,185.1018,192.0877,1472500
2025-03-18,193.1722,193.7194,188.883,189.8112,1201900
2025-03-19,190.798,195.3999,189.9479,194.3935,1026100
2025-03-20,193.7193,195.2826,192.4785,194.9407,1321100
2025-03-21,194.0125,194.374,191.8532,192.8693,2054800
2025-03-24,195.7712,201.0179,195.4096,200.2558,1259500
2025-03-25,201.2426,203.3237,199.6989,200.8518,1428300
2025-03-26,202.249,203.1478,196.2694,197.4028,1281200
2025-03-27,197.2465,197.5787,193.4653,194.4424,1267500
2025-03-28,193.6998,195.0384,191.4819,193.2797,1306900
2025-03-31,192.117,196.9143,189.8991,195.8689,1734800
2025-04-01,193.7193,198.9465,191.5894,198.4092,1476100
2025-04-02,195.4292,201.3598,194.5498,200.9983,972000
2025-04-03,188.3163,191.8239,175.8784,176.5722,4023300
2025-04-04,170.1822,170.8857,154.8231,157.4904,7805700
2025-04-07,153.123,169.1759,146.5572,161.4865,4884600
2025-04-08,170.0943,170.9834,154.1684,156.8846,3563900
2025-04-09,153.6897,172.3415,150.612,169.6644,5629000
2025-04-10,165.5022,165.6683,155.8978,158.7019,3555500
2025-04-11,160.2848,160.744,154.6667,159.806,2758700
2025-04-14,164.6033,164.6033,159.8842,160.9491,2482400
2025-04-15,161.7308,167.3,160.0307,164.1832,1387400
2025-04-16,164.193,170.5828,163.382,168.7167,2711400
2025-04-17,171.6185,174.579,170.192,170.5633,1975800
2025-04-21,167.7982,168.2965,158.4186,160.7635,2009200
2025-04-22,164.2516,168.5115,163.509,166.9775,1750900
2025-04-23,171.5208,174.1882,166.6551,168.3943,2833800
2025-04-24,168.6776,174.5106,168.404,172.9375,1330700
2025-04-25,171.7651,175.0968,171.3254,173.5433,1591300
2025-04-28,174.1393,175.7221,172.2341,175.1359,1363200
2025-04-29,172.918,175.087,171.13,174.022,1809900
2025-04-30,168.9029,169.9641,164.9235,167.9203,3170400
2025-05-01,166.0535,167.9498,157.7508,159.5096,3153200
2025-05-02,161.0031,163.7641,156.8468,159.0478,3157500
2025-05-05,156.8665,157.1318,152.0421,155.4909,3276000
2025-05-06,154.7343,155.7857,151.7571,154.5771,2927300
2025-05-07,155.5007,157.7115,154.1448,156.1197,2235900
2025-05-08,157.2006,160.443,155.4909,157.2595,2755400
2025-05-09,158.2224,159.4211,155.7267,156.778,1653500
2025-05-12,163.2138,167.881,160.9539,163.2924,2520100
2025-05-13,163.8918,170.5929,163.8918,166.5447,2111400
2025-05-14,165.9061,166.8199,164.3242,165.6408,1810000
2025-05-15,161.9365,163.7936,161.3568,163.5479,1905100
2025-05-16,163.7837,165.0119,161.2094,162.8012,2084600
2025-05-19,160.5609,162.7422,160.1482,161.7596,1202700
2025-05-20,162.6636,162.752,158.7235,159.1067,2133500
