date,open,high,low,close,volume
2025-03-14,67.4,69.78,67.25,69.39,1878200
2025-03-17,69.33,71.35,69.09,70.25,2284200
2025-03-18,69.95,71.03,69.78,70.19,2036300
2025-03-19,70.24,72.59,70.19,71.64,2041600
2025-03-20,70.99,71.9,70.6,70.68,1790700
2025-03-21,69.94,70.74,69.59,70.54,3049900
2025-03-24,72.0,72.46,71.52,72.07,1167900
2025-03-25,72.07,72.27,70.23,70.48,1268900
2025-03-26,70.52,70.88,68.76,68.94,932700
2025-03-27,68.5,68.54,67.04,67.98,1242300
2025-03-28,67.88,67.94,65.34,65.52,1409600
2025-03-31,64.69,65.94,63.76,65.65,1704700
2025-04-01,65.08,65.75,64.18,65.38,1955800
2025-04-02,64.47,66.82,64.47,66.51,1289700
2025-04-03,63.58,63.58,59.44,60.28,1812100
2025-04-04,58.01,58.5,55.45,56.51,1922300
2025-04-07,54.97,58.32,52.91,56.02,4607700
2025-04-08,58.19,58.73,54.16,55.12,1697700
2025-04-09,54.3,62.0,53.63,61.49,2375200
2025-04-10,58.66,59.4,56.2,58.04,1791600
2025-04-11,57.45,58.54,56.19,58.22,1759100
2025-04-14,59.51,60.13,58.57,59.49,1204500
2025-04-15,59.52,60.26,59.24,59.59,994800
2025-04-16,58.55,59.02,57.43,58.28,1163900
2025-04-17,58.96,58.96,57.99,58.23,1252200
2025-04-21,57.53,57.71,55.55,56.22,820400
2025-04-22,56.99,58.24,56.33,58.01,1291200
2025-04-23,60.16,61.75,59.3,59.51,1228000
2025-04-24,59.6,61.73,59.6,61.65,1251000
2025-04-25,61.18,62.02,61.09,61.71,844000
2025-04-28,61.81,62.49,60.78,61.45,1438400
2025-04-29,61.17,62.26,60.89,61.95,1146400
2025-04-30,60.61,62.3,60.18,62.14,1702100
2025-05-01,62.68,63.45,62.09,62.54,1131200
2025-05-02,63.76,64.7,63.4,64.59,1160200
2025-05-05,63.79,64.7,63.79,64.09,1027900
2025-05-06,63.33,64.02,62.93,63.32,1216200
2025-05-07,63.45,66.83,62.0,66.3,3181300
2025-05-08,67.03,68.01,66.21,67.38,2481000
2025-05-09,67.93,68.31,67.4,68.12,1729300
2025-05-12,71.65,71.97,70.4,70.54,1876600
2025-05-13,70.6,71.84,70.6,71.25,1278600
2025-05-14,71.53,72.24,70.96,71.27,1324900
2025-05-15,71.16,71.66,70.74,71.24,791700
2025-05-16,71.24,72.04,70.83,71.89,1025500
2025-05-19,70.73,71.87,70.73,71.69,985100
2025-05-20,71.54,72.39,71.5,72.31,1566500
2025-05-21,71.69,72.3,70.56,70.76,868400
2025-05-22,70.54,71.24,70.15,70.79,864700
2025-05-23,69.52,70.79,69.33,70.55,929200
2025-05-27,71.53,72.2,70.89,71.92,1588300
2025-05-28,72.0,72.22,71.41,71.51,984300
2025-05-29,71.53,71.78,71.04,71.66,991500
2025-05-30,71.3,71.54,70.47,71.27,2798400
2025-06-02,70.94,71.27,69.79,70.84,1519000
2025-06-03,70.87,72.2,70.65,71.72,1511200
2025-06-04,72.25,72.25,71.14,71.67,1289700
2025-06-05,71.82,71.93,70.75,71.16,1243900
2025-06-06,72.0,72.36,70.57,72.22,914300
2025-06-09,72.57,72.7,72.12,72.36,894400
2025-06-10,72.47,72.99,72.22,72.8,943600
2025-06-11,73.16,73.5,72.37,72.54,1241200
2025-06-12,72.37,72.83,71.94,72.36,645800
2025-06-13,71.1,72.12,70.01,71.08,753200
2025-06-16,71.68,73.16,71.55,72.88,1479300
2025-06-17,72.18,72.82,71.5,71.76,916400
2025-06-18,71.83,72.48,71.58,71.7,1129200
2025-06-20,72.05,72.21,71.11,71.81,3786600
2025-06-23,71.62,72.74,71.18,72.71,897900
