date,open,high,low,close,volume
2025-03-14,252.5464,257.8818,250.7253,256.8384,1302500
2025-03-17,256.7301,261.9376,256.3757,260.9926,1757400
2025-03-18,260.2345,262.5774,256.0312,256.4348,2232800
2025-03-19,255.9918,258.758,255.1748,257.242,1624300
2025-03-20,256.5628,259.1419,255.0665,255.4898,1418100
2025-03-21,254.968,256.543,252.3889,252.6941,3669200
2025-03-24,254.781,255.9229,252.763,255.3913,1240000
2025-03-25,256.4446,257.6751,252.4185,255.4012,1136300
2025-03-26,256.5628,259.3486,255.3717,258.1673,1111500
2025-03-27,260.1656,260.205,256.0607,258.5807,910900
2025-03-28,261.3666,262.1541,257.4093,257.7047,1185400
2025-03-31,257.7637,261.6127,257.1829,260.333,1548200
2025-04-01,260.8645,261.2485,257.0155,260.4117,999900
2025-04-02,258.7284,261.022,256.6612,260.3625,1050200
2025-04-03,258.4724,262.0655,256.7104,258.9942,1519700
2025-04-04,253.206,253.9836,236.0972,238.4794,2471800
2025-04-07,233.8429,239.641,226.834,230.181,2425800
2025-04-08,238.0758,239.0701,229.4427,232.8388,2109400
2025-04-09,227.6314,244.8288,226.8734,244.2283,2424700
2025-04-10,242.8009,244.7303,235.6837,241.344,1782000
2025-04-11,241.344,242.7615,236.6878,241.3046,1367000
2025-04-14,244.6516,248.3332,243.6967,246.9255,1017900
2025-04-15,246.0396,248.3726,245.1832,245.7639,1326300
2025-04-16,251.7983,256.3265,247.4571,248.5399,2258100
2025-04-17,249.1601,253.4915,247.8607,251.8672,1682100
2025-04-21,252.1231,254.3577,243.9428,245.695,1864400
2025-04-22,249.4161,258.6103,248.0773,257.2321,1723400
2025-04-23,256.858,259.3092,253.6194,255.0369,1779000
2025-04-24,253.8557,257.37,251.3947,256.3364,1414200
2025-04-25,255.9524,256.2477,251.9066,255.1157,1087900
2025-04-28,256.0706,257.9704,255.4307,257.5274,937700
2025-04-29,258.0886,260.392,256.7498,259.9294,868900
2025-04-30,258.0492,261.0516,254.0624,260.0081,1297100
2025-05-01,257.6751,259.5849,256.0508,257.37,1153600
2025-05-02,259.9097,263.6208,258.6792,263.2369,1270000
2025-05-05,261.4946,264.6151,260.3429,263.365,942800
2025-05-06,262.4297,264.5659,261.1697,263.8669,919800
2025-05-07,263.424,266.2492,262.7644,264.6643,1038200
2025-05-08,264.5068,268.8185,264.5068,266.5938,1103100
2025-05-09,266.5248,267.4895,265.0581,265.5404,774600
2025-05-12,265.9834,266.1311,258.5414,263.8768,1320900
2025-05-13,263.7292,265.6881,260.0475,260.7858,1336600
2025-05-14,261.7899,261.7899,257.0156,258.4922,933700
2025-05-15,260.9433,267.273,260.9433,266.6725,1320200
2025-05-16,265.5995,269.6159,265.5995,269.3599,867100
2025-05-19,269.478,270.738,267.9522,270.2557,866600
2025-05-20,269.6651,270.5018,268.661,269.4386,946600
2025-05-21,268.8185,269.4091,265.7865,266.9186,797300
2025-05-22,268.0801,268.5723,263.9358,266.8496,886600
2025-05-23,267.2828,268.7003,264.7529,266.8103,832700
2025-05-27,269.9111,271.752,266.387,271.5748,1119700
2025-05-28,271.3188,271.8996,268.3459,269.3795,1647100
2025-05-29,269.0252,270.7971,267.962,270.1277,1070700
2025-05-30,269.6257,273.3171,268.3558,271.3976,2689900
2025-06-02,269.1532,272.0866,267.962,272.0276,958100
2025-06-03,272.0276,273.4943,266.4854,271.7618,1181500
2025-06-04,271.8406,271.8406,267.5978,267.6175,988800
2025-06-05,267.3714,268.7889,265.2943,266.7906,773000
2025-06-06,269.0449,271.2795,267.8341,269.419,695500
2025-06-09,269.291,269.291,258.8268,263.6012,1227000
2025-06-10,263.3936,263.3936,259.4002,259.9637,1385600
2025-06-11,259.5782,260.9521,257.2355,258.2536,1326300
2025-06-12,257.2849,263.0081,255.8517,262.8796,1141400
2025-06-13,261.2585,263.7198,259.7857,260.4282,992400
2025-06-16,261.9406,264.0954,260.9422,262.0789,1324600
2025-06-17,260.5567,261.9504,259.1531,261.3574,1076000
2025-06-18,261.2091,263.6605,260.1811,261.8417,1166600
2025-06-20,267.209,270.8466,261.7528,261.9208,2979200
2025-06-23,262.6918,264.5896,259.7165,264.5303,1116800
2025-06-24,265.8548,265.8548,262.4447,263.0674,1117000
2025-06-25,262.6127,263.3837,257.2553,257.799,1224000
2025-06-26,259.4695,260.6655,257.1861,259.9143,1212700
2025-06-27,259.7659,262.4348,257.9966,260.2701,1156800
2025-06-30,261.0114,264.9059,259.7659,264.4512,1312100
2025-07-01,263.2058,266.013,261.4463,263.9175,1128600
2025-07-02,262.8598,263.8384,253.0445,254.369,1375400
2025-07-03,256.8302,261.0806,255.1202,261.0806,859500
2025-07-07,260.3986,260.9917,254.9225,256.0,1112000
2025-07-08,254.3888,256.939,252.916,253.43,1522400
2025-07-09,255.0906,255.0906,250.6722,252.3723,1356900
2025-07-10,250.6722,253.3706,249.743,253.0346,1242600
2025-07-11,251.2554,252.8171,250.0099,251.542,783400
2025-07-14,251.117,253.2916,250.3559,252.5206,1120200
2025-07-15,250.5733,251.2257,246.3131,247.7266,1424800
2025-07-16,249.0214,251.4135,247.3213,249.2785,1429100
2025-07-17,248.8139,259.4497,248.3987,258.7874,2576700
2025-07-18,260.6852,265.1333,259.588,262.8994,1687800
2025-07-21,261.99,264.5105,259.9636,260.2009,1174900
2025-07-22,261.6243,264.6885,261.5551,263.7,1412700
2025-07-23,264.2536,264.9059,258.3228,261.6836,1462200
2025-07-24,260.6951,261.99,257.8187,258.9653,1545700
2025-07-25,258.4909,261.0312,257.6012,258.0362,1194200
2025-07-28,256.9983,257.2355,251.3147,251.9671,1271500
2025-07-29,254.2207,257.0082,252.6787,256.8204,1415500
2025-07-30,257.6309,258.5798,254.626,255.9308,867900
2025-07-31,254.9522,260.3492,254.9522,257.2355,1744800
2025-08-01,257.1564,257.8286,253.1038,255.3377,1076900
2025-08-04,257.3443,260.0131,255.7232,259.9637,946000
2025-08-05,260.8038,263.5122,260.4579,262.1086,1198300
2025-08-06,263.6407,265.1135,262.1086,264.4908,1112700
2025-08-07,264.56,265.4693,259.7956,262.2964,977300
2025-08-08,263.532,264.5007,259.9933,261.8121,920500
2025-08-11,262.1185,264.4611,260.2404,261.2091,938100
2025-08-12,261.2091,262.7215,259.9241,260.8829,1198000
2025-08-13,262.8598,267.1596,262.3557,266.1909,1409200
2025-08-14,266.3688,266.7939,263.3046,265.4891,1506200
2025-08-15,267.6736,267.6736,262.2371,262.5237,1295700
2025-08-18,261.4661,262.7115,260.3294,261.8615,968400
2025-08-19,262.1679,265.7857,262.0888,265.7659,1364200
2025-08-20,266.9224,272.1612,265.835,271.2221,1368100
2025-08-21,269.3836,273.2287,269.3144,271.746,1217200
2025-08-22,273.802,275.8185,272.5763,273.1002,1457600
2025-08-25,272.1216,272.9223,269.008,269.1958,1068700
2025-08-26,268.2469,269.1859,267.3178,267.7626,2039600
2025-08-27,267.4463,270.8762,267.1201,269.0674,808000
2025-08-28,268.6917,269.2749,266.0328,267.1596,827900
2025-08-29,267.2782,269.265,266.7939,268.3754,681000
2025-09-02,268.1283,270.4511,265.7461,270.1942,1408900
2025-09-03,268.9685,273.4363,267.5155,273.3572,1615600
2025-09-04,275.344,277.4593,273.4659,276.2039,1239800
2025-09-05,275.8185,277.1331,270.7971,272.0426,970700
2025-09-08,272.2798,272.2798,268.2074,271.3111,843700
2025-09-09,270.6982,272.3687,269.1266,270.3918,1046600
2025-09-10,268.3474,270.3621,267.1664,270.2728,844400
2025-09-11,270.4812,277.6367,270.0048,277.3191,1089100
2025-09-12,276.5252,277.8848,275.7908,276.8229,852100
2025-09-15,276.0885,277.5871,274.0143,274.2128,805400
2025-09-16,272.8035,272.8035,268.6352,269.8957,2475000
2025-09-17,270.4712,274.709,270.0743,272.9524,982300
2025-09-18,271.2255,276.7634,270.4415,275.8007,965900
2025-09-19,276.684,276.684,273.2402,274.9075,2499800
2025-09-22,273.9448,274.9075,272.1981,274.0242,693400
2025-09-23,273.4784,276.9718,272.1683,274.1731,854800
2025-09-24,273.7165,275.1655,272.7638,274.5701,734400
2025-09-25,276.5847,276.6542,271.9599,272.1485,876800
2025-09-26,274.2426,276.2374,272.5256,275.6618,756200
2025-09-29,275.6915,275.6915,272.7638,274.4113,951200
2025-09-30,274.4311,277.9444,274.4311,277.1107,789000
2025-10-01,275.5427,277.5077,274.6693,275.1457,764400
2025-10-02,274.1234,278.1528,273.4387,277.9245,839400
2025-10-03,277.7657,284.0082,277.3886,282.4104,992700
2025-10-06,282.857,283.5318,279.701,280.5942,1103900
2025-10-07,280.6538,284.7228,280.6538,282.8173,770100
2025-10-08,285.7748,285.7748,279.7308,280.624,905000
2025-10-09,280.9217,282.6684,271.811,272.337,1402900
2025-10-10,273.7761,274.0738,267.2954,268.0794,1199400
2025-10-13,266.5015,270.2926,264.4571,268.3375,854300
2025-10-14,268.278,273.7761,268.278,273.5578,909200
2025-10-15,269.7666,272.0393,264.7647,267.4146,2058500
2025-10-16,250.6918,263.5837,250.3544,259.5941,2404900
2025-10-17,260.6857,264.7746,259.8918,260.0307,2276000
2025-10-20,262.4027,263.7623,260.914,263.2462,1054600
2025-10-21,263.9708,268.4864,262.8791,267.3054,1146700
2025-10-22,268.2978,269.6872,265.1319,266.4618,999900
2025-10-23,267.5237,267.9008,265.4098,267.0672,1173000
2025-10-24,267.9703,268.5559,267.0573,267.8512,917300
2025-10-27,267.6031,268.5459,266.4618,268.2978,1108100
2025-10-28,267.4145,270.2628,265.509,266.1045,1341300
2025-10-29,263.276,267.2954,263.2363,265.8862,1262700
2025-10-30,267.0275,272.4661,265.8762,268.9627,1473500
2025-10-31,266.2931,269.0521,265.7274,266.5908,1900900
2025-11-03,265.3602,266.5015,262.2538,265.6381,1981800
2025-11-04,267.0473,275.2648,266.3526,275.1854,1769700
2025-11-05,275.8702,277.4779,274.3914,274.5601,1158400
2025-11-06,275.235,277.0214,273.6074,274.1731,856900
2025-11-07,275.3144,278.5795,273.915,277.6963,931100
2025-11-10,276.3862,280.7232,275.3144,280.2568,1503800
2025-11-11,281.6363,284.564,279.8697,283.8593,1453000
2025-11-12,283.8395,286.7672,283.4326,283.9685,1483200
2025-11-13,284.0777,288.4246,282.6486,285.2488,1595100
2025-11-14,286.3603,288.1665,282.6783,285.1198,1437300
2025-11-17,286.0725,287.4024,281.8844,282.3607,1343200
2025-11-18,282.1126,287.1046,281.4477,284.6831,1199900
2025-11-19,284.4052,286.013,281.3187,283.3135,1116100
2025-11-20,284.5739,287.6803,283.8593,285.6755,1296200
2025-11-21,287.452,290.2904,286.2214,287.8788,1781300
2025-11-24,287.8093,290.7866,285.8145,288.6429,1825700
2025-11-25,290.7966,294.6076,289.1689,291.4814,1708600
2025-11-26,291.8486,293.8334,291.5508,292.2951,1094700
2025-11-28,293.4762,294.2999,290.479,290.6477,566800
2025-12-01,290.3102,292.1264,287.8291,288.3055,1019300
2025-12-02,288.2162,288.7522,285.3282,286.3405,1314400
2025-12-03,287.3825,288.0574,281.1798,282.1226,1813900
2025-12-04,281.805,283.6609,280.3362,280.7133,1282700
