date,open,high,low,close,volume
2025-03-14,51.441,51.5196,50.6152,50.9495,4445300
2025-03-17,51.3427,52.5616,50.9986,52.2274,7407800
2025-03-18,51.9423,51.962,51.3722,51.7555,2649500
2025-03-19,52.0799,52.188,51.0674,51.903,3503700
2025-03-20,51.6867,52.1979,50.9101,50.9593,3084800
2025-03-21,50.7725,51.6474,50.2417,51.5687,6332700
2025-03-24,52.0799,52.7189,51.8833,52.6206,3391300
2025-03-25,52.4731,52.8073,51.6179,51.9325,3243400
2025-03-26,52.0209,53.1514,51.962,52.9548,2454500
2025-03-27,52.9941,53.7609,52.5911,53.2399,4651400
2025-03-28,53.1612,53.289,52.4141,52.5616,3599700
2025-03-31,52.6304,54.4785,52.5616,54.1639,7950200
2025-04-01,53.9575,54.4981,53.6036,54.1934,4992100
2025-04-02,53.6331,54.9995,53.3283,54.6751,3245900
2025-04-03,54.6947,55.2354,53.6921,54.8225,7008400
2025-04-04,52.6009,54.852,51.4016,51.5098,7533400
2025-04-07,49.3177,51.4115,47.9906,48.5116,9293400
2025-04-08,49.7698,49.9763,46.6144,47.2042,8787900
2025-04-09,46.4669,50.8217,46.172,50.5071,7510200
2025-04-10,50.0942,51.1657,49.1997,50.4481,5802900
2025-04-11,50.399,50.9691,48.8556,50.7922,4341700
2025-04-14,51.4016,51.8243,50.6939,51.2837,3863700
2025-04-15,51.382,51.382,49.9566,50.1336,4318500
2025-04-16,50.1336,50.2122,48.4035,48.5214,4745100
2025-04-17,48.7672,49.6421,48.6492,49.3078,4481900
2025-04-21,49.3373,49.4749,48.0692,48.7475,5128300
2025-04-22,48.9933,50.2417,48.9933,49.4258,5938100
2025-04-23,50.802,51.264,49.5929,49.8681,6627800
2025-04-24,47.2828,48.2855,46.0541,48.1675,12588000
2025-04-25,48.374,49.2783,48.1184,49.0719,6949000
2025-04-28,49.0719,49.4651,47.4303,48.1675,6417600
2025-04-29,47.794,49.0916,47.5876,49.0228,3468600
2025-04-30,48.7573,50.0156,48.5116,49.76,10114500
2025-05-01,49.0916,49.7698,48.3445,49.4946,5554500
2025-05-02,50.0451,50.6546,49.5339,49.9763,6274500
2025-05-05,49.9566,50.6939,49.6912,50.3695,4759200
2025-05-06,50.1434,50.34,49.7993,50.1532,3519100
2025-05-07,50.4186,50.6447,49.5634,50.0942,4106800
2025-05-08,50.3105,51.0674,49.9959,50.5464,4164200
2025-05-09,50.5759,50.7725,49.6814,50.4285,3590100
2025-05-12,51.5786,52.306,51.1657,51.8243,6582100
2025-05-13,51.7359,51.9816,50.802,51.4213,9814500
2025-05-14,51.3033,51.4213,50.4481,50.5071,6486500
2025-05-15,50.5071,51.2935,50.163,51.2837,5637700
