date,open,high,low,close,volume
2025-03-14,170.2247,171.4461,169.7109,171.0196,4927900
2025-03-17,170.7094,175.7405,170.5834,174.4803,4940400
2025-03-18,174.1992,174.2671,172.1732,173.9568,4077700
2025-03-19,174.1701,178.038,173.2395,176.1767,5675000
2025-03-20,173.9181,176.2446,173.0359,175.1492,4980000
2025-03-21,173.065,174.3349,171.6206,173.5206,11822900
2025-03-24,177.3497,181.741,176.9425,179.8313,5694900
2025-03-25,178.8426,181.1206,177.9313,178.3385,4357200
2025-03-26,178.6196,180.316,177.6696,178.8426,5814200
2025-03-27,177.4176,177.4176,172.0859,175.2267,5035900
2025-03-28,174.1604,175.1976,170.2053,170.9323,5490600
2025-03-31,170.0502,174.6839,168.6349,174.1992,9222700
2025-04-01,173.792,174.0635,168.9354,172.5415,5965400
2025-04-02,170.438,174.4222,169.8273,172.7354,4368900
2025-04-03,166.5798,168.8578,158.9798,159.1736,11895300
2025-04-04,154.7823,156.1395,146.339,146.7558,14976900
2025-04-07,146.2905,157.9135,140.7553,149.2859,18337200
2025-04-08,151.9517,154.1619,138.9231,141.5405,13902800
2025-04-09,140.7262,167.5298,139.8343,164.3114,21578500
2025-04-10,155.868,157.9425,145.4277,151.8063,16019500
2025-04-11,139.592,145.292,135.666,143.0818,21113300
2025-04-14,146.4165,148.8884,144.5747,146.3583,10356600
2025-04-15,146.7849,148.0257,145.2629,146.5522,6958900
2025-04-16,142.7231,145.1466,138.1961,142.0639,10862500
2025-04-17,142.8104,145.5925,141.4532,143.8961,5739200
2025-04-21,141.0073,142.2481,138.2736,141.1527,8275000
2025-04-22,141.4048,143.7022,140.639,142.2675,9139900
2025-04-23,148.4813,150.5849,146.6492,147.4925,14125000
2025-04-24,159.5905,159.9491,153.5706,157.167,18950400
2025-04-25,156.8859,158.689,155.6063,157.8747,8383300
2025-04-28,158.3497,158.5339,154.8308,157.4675,5170500
2025-04-29,154.6078,157.3803,153.8905,155.8486,6566500
2025-04-30,152.8766,157.0414,151.4394,156.4743,6158600
2025-05-01,157.2467,158.4492,154.5288,154.7243,6124900
2025-05-02,158.1266,162.6336,157.4813,160.8347,7642400
2025-05-05,158.8012,160.4339,157.5107,158.7914,4803600
2025-05-06,156.7285,158.3905,155.5553,157.4911,4531400
2025-05-07,158.7034,161.8222,158.283,161.1085,5669700
2025-05-08,163.1909,164.6671,160.9618,161.9395,5171200
2025-05-09,166.2705,168.744,165.8208,168.4214,8655100
2025-05-12,181.5024,185.1295,180.9745,183.096,16210400
2025-05-13,182.177,185.2762,182.177,183.9955,9837500
2025-05-14,183.2818,183.5359,180.9158,183.1547,6552300
2025-05-15,182.0108,185.5206,181.3656,183.6337,5534000
2025-05-16,185.0806,185.0806,182.6365,184.2887,4518700
2025-05-19,180.8669,184.2692,180.1337,184.1323,6460900
2025-05-20,184.1323,184.7776,182.744,184.4941,5289200
2025-05-21,182.3334,185.6575,180.603,181.2776,8977400
2025-05-22,181.7859,182.7343,175.9591,176.184,7500800
2025-05-23,173.0554,173.3292,169.8683,172.3613,7416700
2025-05-27,175.0988,179.2343,173.8669,179.1463,7939400
2025-05-28,179.2538,181.7664,178.9996,180.0359,5752800
2025-05-29,182.0793,182.3139,178.8432,180.8572,4533800
2025-05-30,180.8474,181.0038,175.744,178.765,15101100
2025-06-02,177.7873,180.5834,177.5527,180.0946,5648300
2025-06-03,179.1463,184.2888,178.5401,183.8782,5612600
2025-06-04,184.6896,187.8083,184.2692,186.4592,5780600
2025-06-05,188.6002,189.9494,185.0904,186.2343,6017700
2025-06-06,189.3628,190.4871,187.9648,188.1212,5338800
2025-06-09,189.4117,195.9522,189.1477,194.7595,6869700
2025-06-10,195.5123,198.631,195.0235,197.7707,6247700
2025-06-11,198.7679,198.807,193.7232,195.2288,5062100
2025-06-12,193.8209,195.8447,193.6841,195.1994,3257600
2025-06-13,191.7092,194.5933,190.1254,190.6435,5138200
2025-06-16,192.8726,195.395,192.2078,194.7693,5864500
2025-06-17,193.5765,196.138,192.4816,193.2735,4656300
2025-06-18,194.1631,196.0891,192.8824,193.9187,3742000
2025-06-20,195.9327,196.4411,192.1882,193.772,12910000
2025-06-23,194.5542,197.321,193.9285,196.8908,4565400
2025-06-24,198.6897,201.5933,198.4648,201.212,7597800
2025-06-25,201.4271,201.8084,198.7679,200.7916,4748300
2025-06-26,201.7009,202.6883,201.1729,201.7009,4579200
2025-06-27,200.909,203.05,200.7037,202.4537,8585100
2025-06-30,202.4634,203.7246,201.828,202.9816,5319900
2025-07-01,202.3754,206.9509,201.8768,205.7484,5856200
2025-07-02,205.7386,211.3504,204.8,210.7735,5533400
2025-07-03,210.4411,212.0934,209.923,211.1939,2561100
2025-07-07,210.2163,210.8127,207.4593,208.6423,5221400
2025-07-08,210.1967,214.4691,209.2386,211.7903,6844600
2025-07-09,212.0934,214.0096,210.3922,211.5557,5231400
2025-07-10,214.3811,215.8476,212.6995,214.7526,3971400
2025-07-11,214.8406,216.7373,213.3448,216.3071,5396300
2025-07-14,214.5082,215.3392,212.4453,215.1339,4723600
2025-07-15,215.8378,216.4538,213.1004,213.4817,4419700
2025-07-16,213.5208,213.7261,206.9802,211.8001,6420900
2025-07-17,211.3113,212.152,210.6758,211.7512,4920100
2025-07-18,213.6088,213.7652,211.0864,211.7805,4550100
2025-07-21,212.5822,214.1074,209.4244,209.7763,8269800
2025-07-22,209.2582,211.1744,207.4202,210.1185,11730800
2025-07-23,190.5458,190.6435,181.1505,182.089,30755700
2025-07-24,182.2552,183.6924,180.8963,181.5415,9049500
2025-07-25,181.5513,181.7273,179.1072,180.8572,7031800
2025-07-28,183.6826,186.2832,183.5555,185.022,8586800
2025-07-29,185.4717,188.5807,184.6798,187.1044,7144700
2025-07-30,187.8572,188.2776,184.0932,185.286,6985100
2025-07-31,183.2968,184.0551,177.0635,178.2944,10144000
2025-08-01,176.8863,178.8163,175.2024,178.0975,6625100
2025-08-04,178.9443,180.6479,177.871,179.9389,4682700
2025-08-05,182.125,183.6415,180.7858,182.5681,5761900
2025-08-06,181.869,184.0452,181.1895,183.0703,7089000
2025-08-07,187.8463,188.5651,181.9084,183.0703,6563900
2025-08-08,182.8537,184.7739,181.8394,184.3603,5946200
2025-08-11,184.577,185.9851,180.5987,180.9039,6457800
2025-08-12,182.45,190.8792,182.3909,190.0225,9961500
2025-08-13,190.6232,191.1549,188.0432,190.3376,4966300
2025-08-14,188.2598,191.2731,187.1274,190.7512,3917300
2025-08-15,190.6429,192.3859,189.5499,191.5981,5872900
2025-08-18,191.5981,192.5336,190.5444,191.3617,2763600
2025-08-19,191.6965,194.631,190.83,192.9471,5491100
2025-08-20,194.4833,198.1563,190.4952,197.7034,8107300
2025-08-21,196.5315,199.0918,196.4035,197.6443,5291100
2025-08-22,198.9933,205.8963,198.8062,202.9126,6177700
2025-08-25,202.8535,203.8382,201.4158,202.8239,3442600
2025-08-26,202.6368,204.2419,202.1051,202.8338,4549700
2025-08-27,201.8294,202.5581,200.1455,202.3316,4189700
2025-08-28,202.6861,203.9662,200.5,200.9727,6166400
2025-08-29,200.4015,200.9333,198.4813,199.3872,5372700
2025-09-02,196.3346,197.1125,193.7546,196.758,6238400
2025-09-03,196.177,197.0239,188.4568,192.7502,7039600
2025-09-04,180.9532,185.798,178.9148,184.4292,11335900
2025-09-05,184.2225,186.3889,182.4598,185.0595,9491200
2025-09-08,185.2761,185.4928,180.2737,182.9817,9701200
2025-09-09,181.5834,182.8242,180.8547,182.2038,6135000
2025-09-10,182.2136,182.6568,180.1457,181.1994,5957500
2025-09-11,181.6917,181.9871,179.4761,181.5342,6596000
2025-09-12,181.2978,181.5243,179.5549,179.8109,6284200
2025-09-15,173.1935,176.4825,171.3521,175.4781,11658400
2025-09-16,176.0099,178.3732,174.5722,174.9168,7920300
2025-09-17,175.1236,179.7814,174.8971,177.546,7209700
2025-09-18,180.4411,180.9138,177.5559,178.8459,7937100
2025-09-19,179.801,180.451,175.4486,176.6302,16206700
2025-09-22,176.6598,178.6391,176.5711,176.8764,7030300
2025-09-23,177.1226,179.8798,176.9355,179.2594,5900800
2025-09-24,178.9443,182.3318,178.3338,181.6228,5905100
2025-09-25,180.8449,180.8547,177.3589,179.2594,4042300
2025-09-26,183.1196,184.4293,180.2737,181.7311,6206300
2025-09-29,182.6371,183.2574,180.2048,180.4313,5090700
2025-09-30,179.9586,181.16,178.5406,180.9236,3873100
2025-10-01,179.1905,181.6917,175.6061,177.6347,7705000
2025-10-02,178.0089,181.8,177.0931,179.5352,6798000
2025-10-03,179.9882,182.6272,177.4082,177.5657,5167600
2025-10-06,178.2353,180.4313,176.5613,179.033,6019800
2025-10-07,178.9837,179.2398,174.2571,174.3457,5396100
2025-10-08,174.129,179.1511,174.129,178.8262,6377700
2025-10-09,177.7331,177.9399,174.907,176.2265,5006100
2025-10-10,176.8764,178.7966,168.8804,169.0774,9630200
2025-10-13,170.1901,173.4102,169.7667,172.4353,8610300
2025-10-14,169.3433,173.5776,168.8312,171.2832,9919400
2025-10-15,171.362,173.4693,168.5161,172.5929,9416800
2025-10-16,172.711,174.7888,171.4013,172.7997,7188200
2025-10-17,172.3762,174.9168,171.9036,173.8828,5082600
2025-10-20,169.875,178.3437,169.875,176.8469,6620200
2025-10-21,176.7287,179.0625,176.1083,178.0778,10301500
2025-10-22,161.4556,170.4363,160.5497,168.1025,25834500
2025-10-23,167.4034,171.1059,167.1572,169.5599,8412500
2025-10-24,171.3521,171.49,166.2118,166.5466,7691800
2025-10-27,167.2261,167.7677,166.1035,166.8224,8606300
2025-10-28,166.5565,166.9208,163.947,164.3606,9646600
2025-10-29,164.1735,164.1735,157.3887,157.8121,11961900
2025-10-30,157.7038,160.1558,157.5266,158.0583,9477600
2025-10-31,157.333,160.9494,156.7767,160.4129,8707900
2025-11-03,161.2872,162.39,159.032,160.4129,5208300
2025-11-04,160.1348,161.2574,157.1045,158.3266,11462300
2025-11-05,158.3564,164.546,158.3564,162.5093,9770200
2025-11-06,161.6946,162.7477,160.0453,160.3335,5859500
2025-11-07,159.34,159.5585,155.8726,159.5089,8837700
2025-11-10,160.9494,162.3106,157.4622,159.5387,7677900
2025-11-11,159.3797,161.1183,158.2073,158.6942,7274200
2025-11-12,159.8069,163.463,159.3598,162.0324,6241200
2025-11-13,161.476,164.3671,160.4328,161.1779,7719600
2025-11-14,159.4592,159.8367,157.2734,158.2968,6041500
2025-11-17,157.6013,158.714,152.5443,153.9849,7343400
2025-11-18,153.5478,157.0648,152.5443,156.2998,8164700
2025-11-19,155.5547,158.1378,154.124,156.0713,5568500
2025-11-20,157.1343,158.2173,151.7395,152.3357,7890900
2025-11-21,152.4251,160.1149,152.4152,158.3663,11711300
2025-11-24,158.6842,161.6449,157.9391,160.2142,9466500
2025-11-25,158.6842,160.8998,157.6609,160.7209,7406700
2025-11-26,161.2674,165.9568,160.9991,164.2777,7346300
2025-11-28,164.9632,168.1524,164.3473,167.1788,4018100
2025-12-01,165.7581,168.5697,165.4501,167.0695,6170800
2025-12-02,167.6159,176.7265,166.9205,174.1234,9438900
2025-12-03,175.6733,181.8133,174.4414,181.4159,9259300
2025-12-04,182.0517,182.7174,177.7796,178.9519,6724100
2025-12-05,179.6971,183.5618,179.4586,181.3562,6584600
2025-12-08,182.3199,182.5087,178.3658,179.7666,6427600
2025-12-09,178.7433,180.7005,178.2366,178.3558,3760400
2025-12-10,176.6768,181.5351,176.3489,180.4919,5268900
2025-12-11,179.1109,180.8396,178.018,180.4919,4838000
2025-12-12,180.6111,182.0418,177.4915,178.2565,5980500
2025-12-15,174.2129,178.1969,172.8716,176.8159,9037500
2025-12-16,177.1835,177.869,174.8587,176.4085,5746900
2025-12-17,176.7165,178.475,172.5636,173.3584,8865600
2025-12-18,175.6535,177.7398,174.7593,175.0474,8546200
2025-12-19,174.5805,177.0841,174.4513,175.1468,19091700
2025-12-22,178.326,178.7334,176.8159,177.6604,5373100
2025-12-23,177.1139,177.4517,175.5342,175.9317,3500300
2025-12-24,176.19,176.8656,175.6535,175.9813,1266500
2025-12-26,176.5675,177.3623,175.2859,175.733,3191100
2025-12-29,175.3653,176.4979,173.9645,174.5507,4163200
2025-12-30,174.809,175.3256,174.1135,174.2824,3904600
2025-12-31,174.6599,175.0375,172.3153,172.3649,3426900
2026-01-02,173.8353,177.7299,173.7757,176.3688,6133600
2026-01-05,176.8656,181.704,175.7429,176.0211,6755000
2026-01-06,178.9221,191.6689,178.9221,190.8542,13219400
2026-01-07,187.2478,189.4832,183.2936,184.5057,8341300
2026-01-08,181.6444,187.8538,181.3662,187.2279,6857300
2026-01-09,187.5756,190.1588,186.294,189.0759,6018300
2026-01-12,187.6253,189.5826,186.7808,187.8439,6502600
2026-01-13,188.0525,188.5195,186.4331,187.3074,4135000
2026-01-14,186.2841,192.3545,186.2245,192.1955,7988800
2026-01-15,193.6659,195.3648,187.5458,187.8936,6942600
2026-01-16,188.9964,191.2218,188.8374,190.3376,6944800
2026-01-20,189.0063,191.1821,186.7312,188.3605,9516600
2026-01-21,190.2085,194.8581,190.0197,193.1493,7272000
2026-01-22,196.0205,198.1367,192.424,193.7255,7264000
2026-01-23,194.4905,195.1363,189.8905,192.0564,6691300
2026-01-26,192.0564,195.5635,191.192,195.3151,9169300
2026-01-27,193.4275,197.1233,193.0797,195.3549,10748800
2026-01-28,202.538,215.1854,202.3989,214.7682,19603400
