date,open,high,low,close,volume
2025-03-14,40.8379,41.4117,40.7136,41.4021,1725400
2025-03-17,41.3638,42.1766,41.3065,41.9567,1626900
2025-03-18,41.8802,42.1766,41.1726,41.5168,2270600
2025-03-19,41.5359,41.9471,41.2204,41.6603,1939300
2025-03-20,41.7559,41.9567,41.2491,41.7272,1746900
2025-03-21,41.6029,41.8037,41.2109,41.4595,3841000
2025-03-24,41.622,42.4539,41.5838,42.3678,2081800
2025-03-25,42.4443,42.7025,41.8324,42.1479,1734000
2025-03-26,42.4061,42.5304,42.0714,42.4061,1136600
2025-03-27,42.5495,42.9702,42.1479,42.2722,1467700
2025-03-28,42.6164,42.712,42.0427,42.5877,1487200
2025-03-31,42.865,43.4292,42.865,43.1901,1932500
2025-04-01,43.2092,43.5248,42.473,43.1901,1588600
2025-04-02,43.1901,43.5343,42.865,43.3718,1557200
2025-04-03,42.9606,43.563,41.5933,41.7846,3994200
2025-04-04,41.0961,41.3925,38.6388,38.6674,4180900
2025-04-07,37.7686,39.0977,36.6404,37.4627,4472600
2025-04-08,38.4188,38.4571,35.7989,36.4205,3417000
2025-04-09,35.5981,39.5376,35.0053,39.2698,3632300
2025-04-10,38.9316,39.4341,37.2889,38.0813,2937100
2025-04-11,37.6948,38.3325,36.8928,38.1296,2963500
2025-04-14,38.6611,39.637,38.4195,39.4148,2048000
2025-04-15,39.5404,39.8496,39.2988,39.6853,2842100
2025-04-16,39.6757,40.3714,39.2505,39.4921,3851800
2025-04-17,39.8303,40.4004,39.753,39.8979,2197600
2025-04-21,39.4631,39.8496,38.864,39.3665,1499700
2025-04-22,39.9076,40.3327,39.6467,40.1395,2993300
2025-04-23,40.584,41.0188,40.2071,40.3907,1705800
2025-04-24,40.3231,40.497,39.9849,40.1685,2260800
2025-04-25,40.0719,40.1395,39.7336,39.9076,1557900
2025-04-28,39.8979,40.3231,39.782,40.1975,2762900
2025-04-29,40.0235,40.2748,39.7626,39.8496,2624300
2025-04-30,39.724,40.5453,39.1732,40.468,3105900
2025-05-01,40.5453,41.4343,39.9656,41.1638,2776100
2025-05-02,41.6759,42.4392,41.6566,42.333,2128700
2025-05-05,42.1494,42.1494,41.4343,41.5793,1825900
2025-05-06,41.299,41.6469,41.1541,41.386,1790100
2025-05-07,41.444,41.6662,41.1637,41.2797,1858300
2025-05-08,41.415,41.4826,40.4487,40.613,2901300
2025-05-09,40.6613,41.0381,40.3907,40.8642,1556100
2025-05-12,41.1831,41.5309,40.8642,41.1348,1555100
2025-05-13,41.0285,41.27,40.0718,40.2458,2224700
2025-05-14,40.0622,40.0912,39.5017,39.782,1595100
2025-05-15,39.9752,40.4874,39.9462,40.4874,1901100
2025-05-16,40.555,41.0188,40.3521,40.9898,2270500
2025-05-19,40.7193,40.9415,40.497,40.8062,1601200
2025-05-20,40.584,40.8449,40.4487,40.584,1365400
2025-05-21,40.3617,40.468,39.1829,39.2795,1680300
2025-05-22,39.3181,39.5984,38.6804,38.748,1715600
2025-05-23,38.6321,38.8157,37.9267,38.1393,2890800
2025-05-27,38.5838,38.8447,38.0716,38.6901,2903500
2025-05-28,38.806,39.3761,38.6321,39.3181,3220500
2025-05-29,39.3665,39.9559,39.2312,39.9269,3259900
2025-05-30,39.811,40.0719,39.5694,40.0332,3463300
2025-06-02,39.6853,40.1202,39.3761,40.0139,1582400
2025-06-03,39.8013,39.9172,39.0572,39.7047,2333300
2025-06-04,39.6274,39.8786,39.3858,39.7433,1874600
2025-06-05,39.7433,39.8496,39.3858,39.5984,3626400
2025-06-06,39.7336,40.1105,39.2698,39.6853,2167200
2025-06-09,39.666,40.3521,39.2988,40.0815,1953800
2025-06-10,40.2748,40.7966,40.0622,40.5357,1627200
2025-06-11,40.5357,40.6806,39.9366,40.1685,1255000
2025-06-12,40.1781,40.5453,40.0139,40.526,1283200
2025-06-13,40.1395,40.4004,39.4727,39.8399,2075300
2025-06-16,40.0235,40.2265,39.666,39.7723,1682700
2025-06-17,39.5114,39.7723,39.3471,39.5984,2762700
2025-06-18,39.6177,40.1008,39.4728,39.7337,2586700
2025-06-20,39.8496,40.0912,39.5404,39.6563,4073100
2025-06-23,39.782,40.1781,39.3761,39.9945,2725400
2025-06-24,40.0042,40.0622,39.3858,39.5984,3817700
2025-06-25,39.3278,39.3568,38.6611,38.7577,2348900
2025-06-26,38.9703,39.5017,38.806,39.4438,2275000
2025-06-27,39.7433,39.7916,39.1442,39.3375,2793200
2025-06-30,39.2312,39.4728,38.6611,39.4534,2633300
