date,open,high,low,close,volume
2025-03-14,230.2105,232.2621,229.4973,232.0569,2116800
2025-03-17,231.9886,233.9913,230.5329,232.3793,2139000
2025-03-18,232.985,234.47,230.103,231.6271,2184200
2025-03-19,231.5489,232.6431,229.4875,230.9432,2058300
2025-03-20,228.8818,230.5036,227.8853,229.3801,2869500
2025-03-21,227.7095,228.8525,226.0096,228.4911,4167700
2025-03-24,231.5001,232.35,228.491,229.7806,3291100
2025-03-25,229.7806,231.0897,228.9404,230.357,1849000
2025-03-26,230.4254,233.2488,230.2593,232.5454,1709900
2025-03-27,232.8385,232.8385,229.2531,230.5329,1913900
2025-03-28,230.1812,231.2461,226.6641,226.8009,1918000
2025-03-31,225.2475,232.6138,224.974,230.7967,3478100
2025-04-01,229.2531,232.1937,228.452,231.7052,2367300
2025-04-02,229.722,233.0144,229.2042,232.9655,2023600
2025-04-03,226.0193,227.6118,217.9399,218.8094,5754800
2025-04-04,214.9309,216.6405,207.6525,208.3461,6784500
2025-04-07,206.2457,211.2575,200.0713,205.132,5055900
2025-04-08,212.5178,212.7132,199.9443,203.4711,5126200
2025-04-09,201.8592,219.5226,201.6247,218.3795,5361000
2025-04-10,216.2791,216.5819,209.2645,214.2665,5088800
2025-04-11,213.7194,215.1946,210.1438,213.5533,2965000
2025-04-14,216.0544,218.1255,214.2372,217.1486,3197700
2025-04-15,217.6566,219.1416,214.5303,215.009,2807000
2025-04-16,214.6378,215.4584,210.4466,211.6092,3293600
2025-04-17,212.4885,217.1193,212.2931,215.1849,4545800
2025-04-21,213.1333,213.9343,208.4438,211.0719,3379600
2025-04-22,213.0063,213.5827,210.007,211.9023,3353300
2025-04-23,216.2107,219.4053,213.2993,214.7159,3879500
2025-04-24,203.4516,210.857,201.8689,210.4857,5205100
2025-04-25,209.0691,209.8116,206.6951,208.3755,3454900
2025-04-28,208.1508,209.753,205.9428,207.7111,3053300
2025-04-29,206.4215,210.007,206.4215,209.5967,2886400
2025-04-30,208.5513,211.0035,205.6791,210.6909,3139100
2025-05-01,210.5346,210.5346,207.6721,209.1473,4458500
2025-05-02,211.8241,214.5498,210.8667,213.2603,2926800
2025-05-05,211.8046,213.7487,211.277,211.5408,1895600
2025-05-06,209.8116,211.238,208.0921,208.2875,2265100
2025-05-07,208.8151,209.9581,207.7991,208.9226,3277100
2025-05-08,209.9581,213.8757,208.9421,211.8437,3335500
2025-05-09,211.746,212.7034,210.1633,211.3357,2172900
2025-05-12,221.8282,226.205,221.3006,225.5504,4965900
2025-05-13,225.6872,226.6446,222.7856,222.9908,3028100
2025-05-14,222.1017,223.489,217.9985,223.0787,3253000
2025-05-15,223.9677,226.117,222.4437,225.5309,2607600
2025-05-16,225.9998,226.6251,224.8177,226.0877,2006800
2025-05-19,223.8017,224.7688,222.9029,224.212,2509400
2025-05-20,223.3816,224.593,222.5609,223.0689,1982900
2025-05-21,220.4311,221.6621,218.3306,218.4674,2183600
2025-05-22,218.2134,219.1806,216.8164,217.7347,2848900
2025-05-23,215.0481,217.8715,214.9406,216.9922,3227900
2025-05-27,218.5065,219.7766,217.6077,219.1806,2613300
2025-05-28,219.8157,220.2553,216.8457,217.0606,3073200
2025-05-29,217.3146,218.4381,214.7062,217.383,2980600
2025-05-30,217.1373,218.7591,216.5279,217.8646,4179600
2025-06-02,215.0339,216.2331,213.6677,215.1421,4587000
2025-06-03,214.11,218.5625,213.8348,217.9826,6229300
2025-06-04,218.0514,218.3659,215.604,217.0882,3976800
2025-06-05,217.1668,217.9629,215.6433,216.8719,3084600
2025-06-06,219.1522,220.3218,218.3462,219.6043,2953400
2025-06-09,220.1351,221.403,219.4274,220.3022,3128500
2025-06-10,220.656,225.2755,219.5355,222.72,3122200
2025-06-11,223.1329,223.1329,220.7838,221.8551,2655100
2025-06-12,220.7248,221.6291,219.683,221.6291,1939200
2025-06-13,219.85,221.6094,218.9556,219.5453,1670100
2025-06-16,220.2039,222.3171,219.9385,220.8034,2659500
2025-06-17,219.9385,220.1744,215.8891,216.813,2767900
2025-06-18,217.1963,218.3364,216.4788,218.2086,2414500
2025-06-20,218.7984,219.9483,217.4223,218.7001,4274300
2025-06-23,218.6215,222.1008,218.0219,222.0124,2665300
2025-06-24,223.6538,224.1256,221.9731,224.0076,2777100
2025-06-25,223.0247,223.1132,221.6094,222.9264,2005400
2025-06-26,223.526,226.2977,222.9854,225.4623,2960200
2025-06-27,225.1478,227.7131,225.1478,227.4477,7430700
2025-06-30,226.9857,228.0276,225.8751,226.1405,3579000
2025-07-01,225.6884,233.0501,225.5016,231.5365,2687500
2025-07-02,232.2146,233.345,230.4946,233.0992,1752100
2025-07-03,233.6202,235.0945,232.2343,232.2343,1327600
2025-07-07,231.6937,233.4432,229.8263,231.3202,2580900
2025-07-08,231.0254,234.7701,230.298,232.4899,2574300
2025-07-09,233.2663,234.3966,232.1557,232.4407,2432800
2025-07-10,233.1091,236.618,231.5561,232.942,2630100
2025-07-11,231.5856,232.2441,230.0622,231.0745,3211700
2025-07-14,230.072,230.8386,227.4379,229.3152,1973400
2025-07-15,229.0498,230.0032,227.084,227.1823,2419300
2025-07-16,228.0276,228.9515,225.767,227.2216,2356500
2025-07-17,223.6046,226.396,222.8675,223.5948,5211300
2025-07-18,224.5089,224.5089,218.533,221.0197,5794500
2025-07-21,222.1008,223.4277,221.0688,221.9829,2814100
2025-07-22,222.897,226.5828,222.1303,225.3148,3806300
2025-07-23,225.5114,227.202,223.4179,227.0447,3740100
2025-07-24,222.1303,226.7105,215.4566,216.7442,9784100
2025-07-25,219.2603,222.4055,217.383,220.8919,8254700
2025-07-28,221.3637,227.0152,220.9705,225.3148,6858400
2025-07-29,222.5137,226.4353,215.378,219.9385,19091000
2025-07-30,221.9829,222.6906,218.7001,221.4227,8361200
2025-07-31,218.6706,219.9483,217.0194,218.1693,5546800
2025-08-01,216.7737,217.0489,214.8865,215.6433,4637300
2025-08-04,216.1053,219.5748,215.8694,218.2578,4181100
2025-08-05,218.9163,219.5748,217.7958,219.1522,2430000
2025-08-06,220.0368,222.4154,218.6116,221.5996,3135700
2025-08-07,223.2803,224.4991,218.2971,218.8475,3113700
2025-08-08,219.0637,220.6167,218.3069,218.4347,2345500
2025-08-11,218.8868,219.9385,214.9455,215.8891,4419600
2025-08-12,216.5378,217.4224,214.4442,215.0536,3224200
2025-08-13,215.6826,219.6731,214.7784,219.3586,3096800
2025-08-14,218.3659,218.5821,215.5451,217.7271,6245600
2025-08-15,219.4471,219.8304,216.6361,216.9997,3739200
2025-08-18,216.9211,217.5993,215.1617,216.3117,3188400
2025-08-19,217.1373,221.1671,216.292,219.9385,4899200
2025-08-20,221.1474,222.9953,220.597,221.8158,4521500
2025-08-21,221.6192,222.3072,219.7026,221.4423,3435500
2025-08-22,222.8085,227.3592,218.3757,223.9487,5317300
2025-08-25,224.3221,225.0298,217.3437,219.4962,5993000
2025-08-26,218.7492,219.1719,216.5869,218.9261,3758000
2025-08-27,218.6903,219.1817,216.636,217.1668,3464900
2025-08-28,220.43,221.0098,217.0587,218.5428,6299300
2025-08-29,218.9681,221.2527,218.7703,221.1143,5012800
2025-09-02,219.7692,220.3231,216.9307,219.5516,3955400
2025-09-03,218.9879,220.056,216.3472,219.3241,5881000
