date,open,high,low,close,volume
2025-03-14,108.3825,109.4402,107.7273,109.2904,4020700
2025-03-17,109.5151,111.1812,109.4402,110.5073,4427900
2025-03-18,110.4885,111.3871,110.3201,111.2561,3930700
2025-03-19,110.7974,111.2654,108.8224,109.955,5010300
2025-03-20,108.8318,110.6477,108.8131,109.4964,3655600
2025-03-21,107.044,108.0362,105.2655,107.7366,19575300
2025-03-24,108.317,109.6929,107.877,108.3918,6611600
2025-03-25,108.4199,108.579,102.8599,102.9161,10645500
2025-03-26,103.6181,105.1626,103.2999,103.9083,6609200
2025-03-27,103.7304,104.629,103.356,103.9083,4031700
2025-03-28,104.1423,104.2172,102.6072,102.6446,3284100
2025-03-31,102.0362,103.7679,101.3716,102.9535,6536100
2025-04-01,102.9723,103.0565,101.2593,102.2702,5877400
2025-04-02,101.8865,103.4309,101.6431,103.1501,4540000
2025-04-03,99.9114,100.5199,93.5745,93.715,10057700
2025-04-04,92.0395,94.1549,90.3921,91.4591,9567700
2025-04-07,88.9225,92.8538,87.2657,89.4467,8729800
2025-04-08,91.5434,91.5434,84.9069,86.0395,8233800
2025-04-09,85.3469,93.7805,84.7572,93.2844,8849800
2025-04-10,91.8429,91.8523,87.9677,90.3827,7553700
2025-04-11,89.6245,93.3218,87.6214,90.8694,5544100
2025-04-14,92.1705,94.4825,91.7212,92.3577,4926900
2025-04-15,92.1892,92.2641,90.0645,90.3265,5767000
2025-04-16,90.2797,90.4669,87.5372,88.1737,4632800
2025-04-17,88.8663,91.0941,88.6042,90.261,4740100
2025-04-21,89.456,90.1768,88.5668,90.0925,3930800
2025-04-22,90.1112,91.5434,89.9147,90.6448,4305300
2025-04-23,92.2735,93.4341,90.7665,90.9911,5817200
2025-04-24,90.7946,92.6479,90.13,92.5917,6641000
2025-04-25,91.768,92.339,90.8975,91.6463,4577700
2025-04-28,91.637,92.6292,90.3452,90.8788,8664600
2025-04-29,89.8585,92.4794,89.4092,90.5418,10314600
2025-04-30,90.2985,90.364,88.052,89.2033,9305800
2025-05-01,88.7821,89.9428,87.584,88.5481,7501500
2025-05-02,89.8585,91.4123,89.7556,90.2329,5689600
2025-05-05,89.5496,90.2797,88.9319,89.4467,5406800
2025-05-06,88.9225,89.4092,87.8086,87.8086,5154300
2025-05-07,87.715,88.3421,87.2376,87.949,5890000
2025-05-08,88.6323,91.3094,88.4077,90.7477,6649600
2025-05-09,90.9817,91.4591,89.5777,89.7556,5619000
2025-05-12,94.1549,96.2609,93.9302,94.7352,8336500
2025-05-13,94.8943,94.9692,92.9568,93.4248,7031800
2025-05-14,93.4622,93.7524,92.4607,93.275,6175500
2025-05-15,93.509,93.9864,92.8912,93.9302,4523300
2025-05-16,94.8007,95.1471,93.9302,94.8382,6321200
2025-05-19,93.6584,94.3244,93.5918,94.2959,6217700
2025-05-20,93.8202,94.1817,92.6404,92.8116,4671800
2025-05-21,92.0029,92.4786,91.1562,91.1942,5298600
2025-05-22,91.0991,92.5548,90.6234,92.2598,5179900
2025-05-23,90.9659,91.4987,90.6043,90.7375,3318500
2025-05-27,91.746,92.9734,91.2798,92.8116,6117400
2025-05-28,92.9068,93.2874,91.8412,92.041,3816500
2025-05-29,92.5548,93.5538,92.0981,93.3349,4593900
2025-05-30,92.9734,93.2398,91.9363,92.8021,6763200
2025-06-02,92.5452,92.7926,91.2799,92.6309,4274800
2025-06-03,92.2313,93.6394,91.5462,93.3159,4098100
2025-06-04,93.4967,93.9724,93.04,93.7631,3933800
2025-06-05,93.9438,94.0009,91.8888,92.1647,4584200
2025-06-06,93.1732,93.9534,93.1732,93.4776,3043400
2025-06-09,93.7155,94.9524,93.6584,94.4862,4037200
2025-06-10,94.8192,97.6734,94.7621,97.4832,6902500
2025-06-11,97.6259,98.3014,96.0465,96.2463,4917400
2025-06-12,96.1512,96.1512,95.3139,96.018,3106400
2025-06-13,95.5137,96.5603,94.8667,95.1426,4240000
2025-06-16,96.018,96.5508,95.6469,96.1797,4293700
