date,open,high,low,close,volume
2025-03-14,601.7917,620.1597,598.3223,617.4734,823400
2025-03-17,611.5754,622.2215,610.2471,615.2827,568100
2025-03-18,611.5357,612.6658,598.9964,603.7346,452400
2025-03-19,603.685,626.5335,603.685,621.4583,524500
2025-03-20,614.3113,631.4005,611.5061,625.1755,555300
2025-03-21,615.8874,624.9673,606.0144,622.6675,766900
2025-03-24,635.2565,646.2991,634.2256,641.4222,614900
2025-03-25,647.4688,651.5528,640.3912,647.677,693800
2025-03-26,647.9049,653.9714,630.2506,635.99,458700
2025-03-27,632.2431,646.4874,623.292,640.2722,427700
2025-03-28,635.6729,637.358,614.9655,622.162,401000
2025-03-31,608.7801,623.2326,592.1963,621.2203,781700
2025-04-01,615.2034,627.3165,607.5112,626.4641,559800
2025-04-02,613.2903,641.9178,611.0897,640.5201,512000
2025-04-03,598.8873,604.6663,582.7596,586.001,760600
2025-04-04,567.4943,578.2097,539.5607,559.6336,1180700
2025-04-07,537.5781,580.9753,521.3116,555.8866,1182800
2025-04-08,578.1007,592.4541,536.5869,547.114,903300
2025-04-09,532.602,611.6151,528.7857,605.7766,2342700
2025-04-10,591.3042,593.8815,554.6872,574.8692,1104400
2025-04-11,569.8931,583.3345,560.6645,577.8033,769100
2025-04-14,589.7677,595.7054,573.2633,591.6115,998900
2025-04-15,591.6115,602.3964,589.7975,591.9584,530800
2025-04-16,588.7171,594.2285,570.478,580.113,592100
2025-04-17,581.7485,592.5433,580.1427,586.3281,367800
2025-04-21,578.5269,583.1958,557.0861,565.6108,489900
2025-04-22,570.4779,574.3537,552.1793,569.7344,825200
2025-04-23,596.1118,609.5334,583.2056,584.0582,885100
2025-04-24,608.5917,651.2554,600.1363,641.6996,1534800
2025-04-25,635.4548,643.2263,621.5772,628.06,812400
2025-04-28,628.1988,638.5079,617.285,623.6786,575500
2025-04-29,622.509,626.5633,616.2046,624.6699,479900
2025-04-30,614.1725,628.5457,606.5794,625.9288,570600
2025-05-01,626.7218,649.7586,626.7218,634.9988,690100
2025-05-02,646.1405,665.6682,643.1469,659.582,884200
2025-05-05,650.3831,666.382,650.3831,651.979,721200
2025-05-06,642.681,651.2158,639.5387,645.9522,593000
2025-05-07,649.0251,653.9615,641.3924,646.0513,505400
2025-05-08,660.1469,671.0111,651.2058,664.1417,671200
2025-05-09,661.8718,670.565,661.1184,666.5208,599000
2025-05-12,704.2281,716.7179,692.224,705.606,1002700
2025-05-13,710.8894,725.5996,709.0853,715.6375,698200
2025-05-14,715.6375,718.4597,704.3588,708.8703,444600
2025-05-15,704.7662,712.7657,699.897,708.8405,608600
2025-05-16,713.2227,724.7599,707.7771,721.1129,477700
2025-05-19,705.0047,721.6992,703.0669,719.4335,381500
2025-05-20,713.5904,719.3639,707.6778,710.9769,335900
2025-05-21,701.6459,708.9199,689.9398,691.4304,488000
2025-05-22,697.4425,702.5502,689.761,699.2411,424100
2025-05-23,683.1925,700.364,683.1925,695.7034,333200
2025-05-27,709.3572,715.4785,700.3938,713.0538,403700
2025-05-28,715.6772,718.2907,706.068,707.6678,273900
2025-05-29,714.7034,714.9618,704.1402,710.4901,355300
2025-05-30,700.205,709.9633,696.0413,703.9315,729800
2025-06-02,704.9451,704.9848,677.6972,686.8097,571200
2025-06-03,696.1308,699.887,689.0952,698.476,334000
2025-06-04,701.9341,704.1799,692.1956,692.1956,266800
2025-06-05,692.2155,699.9467,687.6543,694.7892,255600
2025-06-06,705.2332,707.8864,699.0821,702.2123,302200
2025-06-09,707.946,709.2777,702.1328,702.7688,262700
2025-06-10,704.1799,711.5632,697.989,711.2452,441600
2025-06-11,713.4413,718.718,709.1485,715.4288,529200
2025-06-12,705.74,713.1333,700.0857,712.4178,376600
2025-06-13,695.6041,701.4273,687.376,690.4765,468400
2025-06-16,698.2871,702.59,677.7966,684.0571,625500
2025-06-17,680.738,708.274,680.738,690.6255,627200
2025-06-18,691.0429,704.478,688.3499,694.2824,373000
2025-06-20,699.8671,707.5586,697.1841,700.9702,714700
2025-06-23,697.3729,712.229,689.4231,712.07,334100
2025-06-24,720.4471,739.0893,714.3854,736.118,680000
2025-06-25,738.9899,743.3722,731.2588,731.5569,504000
2025-06-26,735.3528,739.596,723.4878,737.4099,519400
2025-06-27,744.992,753.5678,740.3315,747.8937,924500
2025-06-30,751.5704,752.2461,745.5882,748.6688,406300
2025-07-01,748.2514,777.0692,740.3612,769.2785,628500
2025-07-02,771.4547,783.0514,768.1853,782.8427,661400
2025-07-03,783.0515,789.5405,781.7596,787.5232,342900
2025-07-07,783.121,788.7753,772.3491,779.017,602500
2025-07-08,779.8815,798.4641,778.4109,786.5096,598300
2025-07-09,794.9761,801.3856,786.8872,798.941,378800
2025-07-10,802.9258,821.2699,801.4353,814.5921,581600
2025-07-11,806.553,812.2767,803.0848,809.1664,604000
2025-07-14,804.6847,810.17,797.4008,803.5916,556200
2025-07-15,807.4672,809.8819,793.1576,793.1576,776500
