date,open,high,low,close,volume
2025-03-14,324.7793,330.298,323.9555,329.3352,7810600
2025-03-17,327.5784,333.6132,327.3104,332.0648,6149400
2025-03-18,332.7993,333.3055,329.8315,332.2831,7778300
2025-03-19,334.298,338.4966,332.0151,337.3452,5614900
2025-03-20,336.4818,339.6977,335.1517,336.9781,5432700
2025-03-21,334.8639,336.9086,333.0276,333.1666,17279700
2025-03-24,336.1344,342.6556,335.1418,341.3156,5675100
2025-03-25,342.0004,342.9632,338.1394,342.06,3931200
2025-03-26,343.4198,344.7995,340.452,341.6233,6187100
2025-03-27,341.4446,348.2338,340.7697,347.2611,7254800
2025-03-28,346.5961,349.008,339.0724,340.3032,5687600
2025-03-31,336.8291,349.2462,332.0052,347.8566,9950800
2025-04-01,347.8367,347.8467,340.0252,343.7771,7473300
2025-04-02,340.8887,345.6134,340.5016,343.7573,5682500
2025-04-03,331.4196,342.1791,328.5412,336.8689,8792900
2025-04-04,327.5486,332.164,309.8014,310.8039,13201700
2025-04-07,299.8261,319.7867,296.7789,309.9999,12163400
2025-04-08,319.8462,323.8562,301.6722,305.98,9569300
2025-04-09,303.3696,331.5487,303.3696,329.9605,11361800
2025-04-10,325.5833,327.7074,310.9429,322.1986,8709800
2025-04-11,322.02,334.4768,320.144,330.9233,6804500
2025-04-14,333.911,337.0872,330.6653,332.6901,5011800
2025-04-15,334.2187,336.8689,332.5115,333.3155,4386200
2025-04-16,332.5115,334.715,326.4171,328.8687,5850600
2025-04-17,328.6107,331.8365,326.0002,327.1615,5655900
2025-04-21,326.556,326.7049,314.2978,317.7221,6362300
2025-04-22,321.4542,330.0896,319.9952,328.9382,5435500
2025-04-23,334.7348,338.715,330.7248,331.8861,8906000
2025-04-24,330.8042,334.2683,328.7893,333.2162,8055200
2025-04-25,332.2733,333.8713,329.7025,332.6802,4452800
2025-04-28,334.2782,336.8192,332.5313,335.0028,5422900
2025-04-29,335.9854,339.7274,333.9606,338.983,5519500
2025-04-30,331.9556,343.9459,330.7645,342.9334,9526700
2025-05-01,343.0129,343.1519,337.5934,339.9062,5849900
2025-05-02,344.6407,347.4893,343.5488,345.0179,6113700
2025-05-05,344.4223,348.4422,343.5488,346.0501,3865300
2025-05-06,343.8268,347.0526,343.1915,345.1171,3438500
2025-05-07,346.1097,348.5415,344.6307,347.2511,5454000
2025-05-08,349.3852,352.6904,348.343,348.6606,4156400
2025-05-09,349.2164,351.1718,348.065,349.9211,3086600
2025-05-12,356.4721,359.2017,348.5216,353.2066,7985400
2025-05-13,353.4651,356.7957,352.5305,354.0815,5406200
2025-05-14,354.6084,356.3384,353.1569,354.3996,6207600
2025-05-15,354.8272,361.6276,354.6184,360.2059,5826100
2025-05-16,360.8522,364.0734,358.8041,363.0096,5838100
2025-05-19,360.9217,367.0163,360.2258,365.7735,5081500
2025-05-20,365.6542,366.1215,362.5821,364.7197,5281400
2025-05-21,361.6177,363.8746,356.0103,356.229,6125500
2025-05-22,355.6921,357.9192,354.4991,355.9009,4936600
2025-05-23,351.7053,353.9423,350.1841,351.4965,5345900
2025-05-27,353.3557,357.9192,352.4311,357.2232,6316000
2025-05-28,357.263,358.8239,355.9705,357.6507,3299000
2025-05-29,358.2672,360.9416,356.6466,360.3053,4590400
2025-05-30,359.2614,364.9185,359.2614,363.0792,8726900
2025-06-02,360.6732,363.3476,357.8794,363.2084,3845700
2025-06-03,362.4727,364.7594,359.4105,363.7453,5221300
2025-06-04,364.5904,367.5234,364.1927,365.873,4202300
2025-06-05,367.8614,368.8556,363.8149,364.6501,6881900
2025-06-06,366.8771,368.8556,365.4255,368.0801,5008500
2025-06-09,367.6526,367.6526,359.9573,364.5407,4999900
2025-06-10,364.8787,369.2931,364.5606,368.5574,4109300
2025-06-11,367.8614,373.3395,367.245,371.1523,5562700
2025-06-12,370.0785,372.0073,367.414,369.2533,4874000
2025-06-13,359.4205,360.9118,343.0059,350.8105,14181700
2025-06-16,354.4295,358.1379,352.282,353.4254,7234700
2025-06-17,351.4468,357.5215,351.2778,355.7717,5559600
2025-06-18,355.7816,356.408,336.0861,338.4126,15008600
2025-06-20,336.9909,338.0348,332.9842,336.6131,19332100
2025-06-23,335.5492,342.3099,333.6901,341.7631,7553300
2025-06-24,349.4882,352.5106,345.909,349.5976,10172000
2025-06-25,348.4244,349.2595,343.2644,343.2644,6836300
2025-06-26,341.793,344.9049,340.0531,344.03,8829500
2025-06-27,344.5867,349.9754,343.6621,346.595,6601900
2025-06-30,347.3307,353.5545,347.0424,352.9978,7080100
2025-07-01,351.7749,354.9365,349.3888,353.4153,6653400
2025-07-02,352.5504,354.3002,347.977,352.1726,5131400
2025-07-03,352.5405,356.925,351.5661,356.7858,3702800
2025-07-07,356.8454,357.5811,352.441,354.5786,5138000
2025-07-08,354.6184,356.2091,351.2082,352.5007,6966800
2025-07-09,353.0177,355.6922,351.7053,355.6922,7297100
2025-07-10,354.7675,355.553,351.4071,353.823,6121300
2025-07-11,350.4725,351.765,342.3994,345.9189,7580200
2025-07-14,345.3821,349.9356,343.0158,348.4741,5598900
2025-07-15,346.1079,348.1858,344.7557,345.0142,4891700
2025-07-16,345.2827,348.6431,343.8013,347.8776,5544200
2025-07-17,347.977,349.3391,346.4658,347.7881,4747100
2025-07-18,347.4799,347.4799,345.1534,347.0325,4927600
2025-07-21,347.0424,351.6059,346.3862,348.9116,5216300
2025-07-22,349.0706,352.4311,348.1758,349.8262,4614200
2025-07-23,350.9596,353.7236,349.18,353.2364,4385600
2025-07-24,352.7691,355.1155,351.8147,351.924,5887200
2025-07-25,351.9539,355.5827,350.9696,354.9763,3915400
2025-07-28,354.3201,356.2489,352.6796,353.4153,3921000
2025-07-29,354.2307,356.2489,348.7823,349.2596,7402300
2025-07-30,349.6672,354.5587,345.223,348.8817,12129700
2025-07-31,346.9132,350.7807,343.0954,343.4732,8641700
2025-08-01,342.1111,344.1691,336.1458,337.3885,8658700
2025-08-04,339.725,342.3895,338.0348,340.1724,7335300
