date,open,high,low,close,volume
2025-03-14,121.547,126.3265,121.2459,125.4522,2833100
2025-03-17,126.074,129.8626,125.4814,129.1534,3484000
2025-03-18,130.2512,132.0386,127.2008,128.2597,3139900
2025-03-19,128.3569,131.1158,127.9974,130.018,3968300
2025-03-20,128.386,131.7666,127.7837,130.9798,2858100
2025-03-21,130.2609,130.8438,127.1911,127.7546,6736500
2025-03-24,127.5408,130.4357,126.8123,128.182,4497100
2025-03-25,128.8815,130.1735,127.2591,128.2306,3103600
2025-03-26,129.9403,133.5347,129.3089,130.6786,2639800
2025-03-27,129.3477,130.9409,127.0066,129.4255,2405200
2025-03-28,129.1049,130.9701,127.1037,127.7254,1932300
2025-03-31,127.4631,129.8723,126.2877,128.2986,2766700
2025-04-01,128.2986,130.1832,125.3454,129.9209,2366400
2025-04-02,128.3569,130.1929,127.8031,129.8043,2411500
2025-04-03,122.8002,123.4705,110.764,111.0263,9514600
2025-04-04,106.5868,108.1217,99.6701,101.7004,7528900
2025-04-07,98.0187,107.4902,96.1729,103.6239,6630900
2025-04-08,106.3925,106.7811,100.6999,102.1765,5350700
2025-04-09,100.8164,114.0378,98.757,112.5903,7800100
2025-04-10,108.6171,109.268,102.8467,105.8971,4861600
2025-04-11,105.8874,108.8697,103.0799,107.5388,3777200
2025-04-14,110.7543,110.8417,104.9936,107.1794,3132800
2025-04-15,106.4605,107.6068,104.3233,104.4788,3107100
2025-04-16,104.4011,107.4222,103.2159,104.0708,4040600
2025-04-17,105.3919,107.9954,105.3239,106.9171,2662800
2025-04-21,105.0811,105.8679,103.7793,105.7319,2274900
2025-04-22,108.0634,110.5114,106.6937,109.2486,3264600
2025-04-23,111.9297,113.2315,110.2783,111.2303,3652900
2025-04-24,112.6875,112.6875,106.8588,110.1229,4783000
2025-04-25,109.1417,111.0554,108.8017,110.6183,2865100
2025-04-28,110.7446,112.8623,110.4337,111.4732,2601000
2025-04-29,110.016,112.8235,110.016,112.2212,1428500
2025-04-30,109.9577,113.3578,109.0251,112.7749,3854300
2025-05-01,113.2801,115.5435,111.036,111.5994,3995900
2025-05-02,113.2121,116.0098,111.4829,115.5338,2600500
2025-05-05,114.6984,117.5155,113.9018,115.9321,3776800
2025-05-06,116.7481,117.3018,113.6298,113.6589,3051600
2025-05-07,113.6589,114.6012,112.3475,113.6103,2500000
2025-05-08,114.6595,119.439,114.3486,118.2538,3289400
2025-05-09,119.7207,120.187,117.943,119.4196,2167300
2025-05-12,124.8208,128.0266,124.8208,126.7637,4135300
2025-05-13,128.9106,132.8158,127.9489,131.2518,3391900
2025-05-14,129.1146,131.9512,129.1146,130.4843,2931300
2025-05-15,128.6774,131.6501,128.2306,131.5043,2243800
2025-05-16,131.8346,132.1843,130.2609,131.8638,2253000
2025-05-19,130.1929,131.1352,129.1049,130.494,2282800
2025-05-20,129.8279,130.7977,129.1029,129.5242,1908600
2025-05-21,128.2701,128.5249,125.1058,125.2037,4223600
2025-05-22,124.3906,127.1631,123.0778,126.105,3097200
2025-05-23,124.1653,126.5067,123.9301,125.9385,2053000
2025-05-27,126.4773,128.8873,125.7426,128.0546,2426400
2025-05-28,129.0049,129.1127,123.9301,124.3514,3125200
2025-05-29,124.3122,126.7516,123.0582,126.5361,2567600
2025-05-30,126.4871,127.7117,125.5466,126.35,3870500
2025-06-02,128.5445,128.5445,122.5586,125.6936,2824500
2025-06-03,125.772,129.3772,124.4984,128.2897,2310700
2025-06-04,127.7411,129.1519,122.9505,123.9693,4458400
2025-06-05,124.6747,125.4976,123.215,124.3024,1845400
2025-06-06,125.5074,127.7901,125.2429,125.7426,2607400
2025-06-09,126.7712,127.5844,125.4193,125.6544,2615600
2025-06-10,127.3199,130.6508,127.0162,129.2498,2150600
2025-06-11,130.7879,131.8558,128.3387,131.3366,2400700
2025-06-12,130.063,130.8663,128.613,130.7879,2124600
2025-06-13,129.3478,131.4149,129.2792,131.3855,3758300
2025-06-16,132.2575,135.6374,131.2582,134.9614,3427800
2025-06-17,136.5583,140.0264,135.0202,138.8899,4292500
2025-06-18,138.3903,139.6345,136.4505,136.5877,2872700
2025-06-20,137.2441,139.0957,136.1762,138.2336,5438600
2025-06-23,139.3406,139.5855,133.3449,134.2756,3229200
2025-06-24,133.1686,134.6479,132.0126,133.0902,2973200
2025-06-25,132.8257,134.7067,131.9244,132.9628,2327800
2025-06-26,133.3155,135.0986,131.8068,134.1875,2743700
2025-06-27,133.3743,133.6878,130.5626,131.9538,8049500
2025-06-30,131.3464,132.9335,131.0329,131.6893,2413500
2025-07-01,132.1203,136.7934,131.5227,135.2063,3578300
2025-07-02,136.8718,139.5855,135.1084,139.174,3528100
2025-07-03,138.7136,142.8773,138.1846,141.6429,2224600
2025-07-07,140.7219,142.309,139.8304,140.8199,2537500
2025-07-08,141.927,145.9437,140.8591,145.6498,7593600
2025-07-09,145.7967,147.3054,144.8562,146.0416,3304000
2025-07-10,146.1102,151.9687,144.817,151.665,3762700
2025-07-11,150.1465,151.3613,149.108,149.9408,3055000
2025-07-14,148.824,148.824,145.4832,145.8457,2626800
2025-07-15,146.1004,147.3838,144.817,145.7771,2568400
2025-07-16,144.7974,146.0025,140.0166,140.2811,4002900
2025-07-17,141.0746,142.3776,140.6926,141.731,2418800
2025-07-18,144.4448,145.7281,142.5344,143.181,3417800
2025-07-21,142.4756,144.5035,141.829,143.3083,2129200
2025-07-22,141.6918,144.4643,141.6918,142.1621,2818300
2025-07-23,142.7107,144.6995,142.0347,144.5427,2949400
2025-07-24,141.6625,142.0641,136.7738,137.489,6183700
2025-07-25,138.9977,140.3791,137.2343,139.0859,2792200
2025-07-28,139.9676,142.0249,139.8304,141.8094,2205700
2025-07-29,141.9955,142.3776,138.6548,141.7898,3245700
2025-07-30,140.0068,140.6632,135.2651,136.5387,4629600
2025-07-31,135.6201,137.0128,134.8003,135.6201,3565500
2025-08-01,133.4966,134.6028,130.8595,131.541,2250300
2025-08-04,131.9558,133.9904,131.0372,133.3781,2920300
2025-08-05,133.3386,135.5609,132.2817,135.146,2178400
2025-08-06,136.3609,136.4597,131.2249,131.8175,2764100
2025-08-07,133.3386,134.0793,130.4644,130.9582,2060100
2025-08-08,131.9163,133.2102,130.8693,131.6496,2165600
2025-08-11,132.3212,132.9534,129.1705,130.1483,2122300
2025-08-12,131.0175,133.5657,129.9014,131.7385,1815000
2025-08-13,131.7484,134.6028,131.4224,134.4744,2093200
2025-08-14,133.22,134.7707,131.6891,134.1485,1906000
