date,open,high,low,close,volume
2025-03-14,96.3391,97.8721,95.6762,97.5038,2056800
2025-03-17,97.235,98.6884,96.9663,98.0015,1189300
2025-03-18,97.7328,98.0712,96.8866,97.9119,1315800
2025-03-19,98.0015,99.2956,97.8791,98.8078,1021200
2025-03-20,98.6685,98.8277,97.5138,97.6929,1061800
2025-03-21,96.9862,97.3495,95.5926,97.3246,2879700
2025-03-24,98.111,99.3255,97.5038,97.8124,1094000
2025-03-25,98.1807,98.3798,96.3989,97.3047,1201900
2025-03-26,97.5635,98.5988,96.9265,97.2848,1489900
2025-03-27,97.5735,98.2255,96.7174,97.4441,947700
2025-03-28,97.2549,97.7825,95.493,95.6025,834900
2025-03-31,95.5826,97.7452,95.174,97.1173,2346400
2025-04-01,96.7187,97.7651,96.4297,97.2867,1380100
2025-04-02,96.8084,98.4428,96.1008,98.3431,790900
2025-04-03,96.8183,97.805,93.41,93.5794,1780500
2025-04-04,92.5031,92.5031,88.3773,88.5168,2531500
2025-04-07,87.5202,89.6629,83.7132,86.8126,2395200
2025-04-08,89.2542,89.6927,83.9524,85.0287,2034200
2025-04-09,84.5902,91.4866,83.5787,90.8189,2080600
2025-04-10,89.623,90.2259,86.2645,88.3972,1722700
2025-04-11,88.4271,90.2409,87.271,89.314,2132300
2025-04-14,90.2209,90.9883,89.5831,90.3704,1235500
2025-04-15,89.9917,90.8089,89.6828,89.7525,1212900
2025-04-16,89.633,90.4153,88.5965,89.025,1493700
2025-04-17,89.623,90.0615,88.9254,89.2343,1691500
2025-04-21,88.158,88.4968,86.0353,86.9023,1571200
2025-04-22,87.8291,89.3738,87.0518,88.8755,1478800
2025-04-23,90.2508,91.7258,89.4855,90.2409,1672800
2025-04-24,90.1412,91.6411,89.6927,91.4268,1455600
2025-04-25,90.8588,92.1344,90.211,91.9949,1418300
2025-04-28,92.2739,92.6825,90.6694,91.7557,1172200
2025-04-29,91.6062,92.9117,91.2773,92.7722,1922700
2025-04-30,91.4368,95.742,87.9687,95.5726,3141100
2025-05-01,95.9662,96.5592,93.2167,93.8884,1421200
2025-05-02,94.9149,95.6623,94.277,95.2039,1207600
2025-05-05,94.8351,95.8417,94.292,95.3633,1262100
2025-05-06,94.8551,96.1207,94.5561,95.0345,1157300
2025-05-07,96.3898,97.7053,95.164,95.762,1500500
2025-05-08,96.3898,98.074,95.8218,96.9479,1145800
2025-05-09,96.9678,97.8747,96.5094,96.7286,1427900
2025-05-12,98.5225,100.1071,97.6555,99.9875,1329700
2025-05-13,100.1071,100.6153,99.1005,99.9078,1456200
2025-05-14,99.9078,100.0074,98.7617,99.1205,1482200
2025-05-15,99.2002,100.6652,98.7398,100.5854,970400
2025-05-16,100.6452,101.4126,100.0543,101.3528,691600
2025-05-19,100.8744,102.1999,100.6801,101.8411,832200
2025-05-20,101.6916,102.3095,101.3229,101.6717,1020600
2025-05-21,101.0738,101.5422,99.7184,100.1469,1063400
2025-05-22,99.7583,100.9841,99.5091,100.6353,1096000
2025-05-23,99.6088,100.5555,99.0607,100.117,1065200
2025-05-27,101.1136,101.308,99.848,101.1435,1387000
2025-05-28,101.0538,101.303,100.2117,100.416,882200
2025-05-29,100.8047,100.9293,99.7583,100.8944,1037600
2025-05-30,101.3229,101.3727,99.9576,100.6851,3079300
2025-06-02,100.2067,100.5705,99.1603,99.9376,1100800
2025-06-03,99.549,100.3363,99.2899,100.0174,775600
2025-06-04,100.0572,100.0572,98.5723,98.5823,980500
2025-06-05,99.1503,99.7284,98.2933,99.3297,866900
2025-06-06,100.0074,100.3463,99.2849,99.9277,487000
2025-06-09,100.1569,100.1569,98.9809,99.3796,693300
