date,open,high,low,close,volume
2025-03-14,286.8171,287.7896,284.5449,286.3508,740700
2025-03-17,285.6066,289.3276,285.6066,288.7621,930800
2025-03-18,287.1049,287.8293,284.2869,286.6981,789400
2025-03-19,286.1722,289.1887,286.1722,287.5018,784000
2025-03-20,286.2019,287.3827,283.6518,285.4577,772900
2025-03-21,283.0267,285.0608,281.052,282.9572,1387700
2025-03-24,284.8028,287.1942,282.2527,283.1953,810200
2025-03-25,282.6,285.6562,281.7962,285.5371,992800
2025-03-26,286.2218,290.7366,285.8844,289.7741,773100
2025-03-27,291.3618,297.4147,288.9803,294.5966,852400
2025-03-28,293.9516,294.4577,290.8557,292.3044,729000
2025-03-31,293.8524,297.6429,292.9593,295.321,1250100
2025-04-01,294.5271,296.6705,292.7113,296.3033,621600
2025-04-02,296.6407,297.752,292.6617,297.3948,748900
2025-04-03,296.1446,304.311,296.1446,302.7332,1425300
2025-04-04,296.8888,301.8104,282.1733,282.7885,2102300
2025-04-07,283.6518,285.3387,273.0444,275.9418,1815500
2025-04-08,279.3354,279.643,272.7864,274.89,1852800
2025-04-09,273.3024,288.0575,271.6453,287.1049,1965700
2025-04-10,283.9098,287.4522,277.6584,283.5724,1397400
2025-04-11,282.8679,291.2824,280.6651,289.6253,835000
2025-04-14,290.8557,294.2096,289.1291,292.8204,837600
2025-04-15,293.0983,295.311,292.1853,292.7708,612800
2025-04-16,293.0288,295.0233,287.988,289.9726,954900
2025-04-17,290.4588,293.4555,288.3254,290.7565,502900
2025-04-21,289.3872,292.4235,279.6926,282.1535,841400
2025-04-22,283.6319,291.1335,282.5603,290.439,643400
2025-04-23,290.4786,294.805,286.5988,287.8094,885700
2025-04-24,286.8469,288.0376,282.4015,286.0134,717800
2025-04-25,285.3784,285.6066,281.0223,283.8403,1016000
2025-04-28,283.6518,286.9362,281.4886,286.1821,777100
2025-04-29,285.1005,290.8458,283.9594,290.1115,596800
2025-04-30,289.5757,294.934,286.6584,294.1401,806100
2025-05-01,292.2251,294.0508,289.4864,292.235,809500
2025-05-02,295.6583,296.3827,289.3078,291.6297,849600
2025-05-05,290.8756,292.7212,288.7422,292.4731,645200
2025-05-06,291.9869,295.2416,290.0122,293.902,880000
2025-05-07,300.2426,310.2051,298.4268,307.5061,1510900
2025-05-08,309.5898,310.4035,305.0155,305.4719,948200
2025-05-09,305.4719,307.9327,303.4675,307.1092,707200
2025-05-12,307.4267,308.2702,298.7146,301.3044,990500
2025-05-13,301.3044,302.1776,298.8534,299.2404,846800
2025-05-14,297.6131,299.9152,294.676,298.9427,835400
2025-05-15,299.8358,305.333,299.7266,304.9857,680900
2025-05-16,305.5017,307.387,302.8523,307.1786,749800
2025-05-19,307.3672,312.2194,307.3672,311.9217,740700
2025-05-20,309.967,311.5943,308.3892,310.6814,508300
2025-05-21,310.1059,311.5844,308.7365,309.9173,566200
2025-05-22,309.2823,312.6758,307.5656,311.9118,699700
2025-05-23,310.4234,312.1598,309.183,311.3462,547900
