date,open,high,low,close,volume
2025-03-14,507.0,519.68,502.26,504.77,1386500
2025-03-17,505.2,517.2,504.0,513.76,1108800
2025-03-18,513.08,516.5,508.52,512.23,1335400
2025-03-19,512.01,514.82,505.0,512.52,1124000
2025-03-20,509.99,515.67,505.49,510.18,1064700
2025-03-21,505.42,510.08,501.07,503.2,2280500
2025-03-24,505.0,513.98,501.0,511.74,1237600
2025-03-25,511.78,512.71,503.99,509.04,1006600
2025-03-26,504.87,508.64,497.78,500.28,1328700
2025-03-27,498.59,506.54,498.59,502.55,1233500
2025-03-28,504.79,504.79,491.37,492.69,1280600
2025-03-31,487.13,487.13,471.5,484.82,2231900
2025-04-01,486.27,491.93,480.95,484.74,1249500
2025-04-02,481.64,487.93,480.42,483.49,988400
2025-04-03,480.01,494.49,480.01,484.01,2063800
2025-04-04,484.35,499.07,473.64,474.62,2884300
2025-04-07,465.93,481.74,448.14,474.56,2712400
2025-04-08,477.2,483.94,466.98,472.37,2391400
2025-04-09,460.02,487.15,452.0,482.3,3171700
2025-04-10,478.99,480.0,455.69,475.49,2252300
2025-04-11,477.11,486.97,468.3,484.22,1574200
2025-04-14,487.01,498.64,484.2,495.83,1362200
2025-04-15,499.0,501.91,493.12,500.49,1030700
2025-04-16,500.97,502.22,483.43,485.89,1391300
2025-04-17,492.23,492.23,485.08,489.1,1205500
2025-04-21,488.0,490.83,472.9,477.52,1176300
2025-04-22,483.83,491.8,480.56,490.47,1131300
2025-04-23,488.27,498.41,484.97,492.42,1247300
2025-04-24,492.42,494.1,486.65,492.47,1369100
2025-04-25,492.54,494.92,484.5,493.84,1561500
2025-04-28,495.4,498.65,490.37,496.49,1503300
2025-04-29,494.26,506.96,490.85,503.5,1254900
2025-04-30,500.79,510.77,497.34,509.5,1445700
2025-05-01,507.0,507.75,498.21,498.86,1452300
2025-05-02,505.86,509.0,498.03,501.15,1653600
2025-05-05,501.45,505.61,498.02,500.19,1669600
2025-05-06,465.56,467.85,428.55,450.03,8000700
2025-05-07,447.52,449.0,432.29,434.82,3996700
2025-05-08,430.17,432.14,423.4,429.6,2940800
2025-05-09,430.22,434.93,424.8,424.99,1642300
2025-05-12,425.3,441.1,423.2,439.37,2095100
2025-05-13,437.53,442.12,429.54,432.0,2645600
2025-05-14,432.0,433.41,416.6,421.16,2058700
2025-05-15,424.69,434.42,421.76,434.38,1935500
2025-05-16,435.3,438.95,429.94,438.65,1505100
2025-05-19,437.49,441.63,435.15,440.66,1182600
2025-05-20,442.0,448.0,440.81,447.18,1510500
2025-05-21,444.37,445.16,433.77,435.32,1427300
2025-05-22,435.76,437.0,429.55,434.03,1618200
2025-05-23,428.68,436.59,427.43,436.0,1427300
2025-05-27,437.34,447.47,437.34,446.0,2048300
2025-05-28,446.4,451.64,443.41,445.1,1209500
2025-05-29,444.99,449.22,442.76,447.09,882500
2025-05-30,447.64,447.99,439.37,442.05,2581700
2025-06-02,441.27,447.98,439.54,445.43,1179000
2025-06-03,444.3,449.85,439.54,446.48,1683400
2025-06-04,448.04,453.87,445.84,445.85,840100
2025-06-05,445.01,447.49,437.45,443.82,1400000
2025-06-06,443.83,451.66,443.83,450.5,960500
2025-06-09,450.78,451.52,444.84,446.15,912500
2025-06-10,442.45,455.64,441.92,451.52,1286900
2025-06-11,451.3,460.33,450.13,452.44,1016500
2025-06-12,453.19,460.06,451.94,460.06,1074500
2025-06-13,455.39,460.1,454.0,455.45,1021500
2025-06-16,456.38,457.23,448.71,450.91,1029900
2025-06-17,449.43,452.71,440.75,441.99,1363300
2025-06-18,443.41,451.63,440.0,448.4,1380300
2025-06-20,451.26,451.81,436.81,440.87,2167300
2025-06-23,441.69,445.0,439.57,443.54,949800
2025-06-24,445.0,451.88,441.0,450.27,1068000
2025-06-25,450.48,451.08,442.76,445.82,1077100
2025-06-26,445.82,446.18,441.13,443.4,1169200
2025-06-27,442.99,446.62,440.5,441.3,3615500
2025-06-30,440.45,446.45,439.23,445.2,1114600
2025-07-01,445.5,456.97,443.49,452.16,1146600
2025-07-02,449.81,457.75,448.0,457.03,978300
2025-07-03,458.45,461.05,456.58,459.62,764000
2025-07-07,460.0,461.25,455.79,459.41,1589700
2025-07-08,457.73,470.34,456.77,466.36,1103800
2025-07-09,468.09,479.34,466.79,478.97,1044500
2025-07-10,477.68,484.56,475.91,479.53,932600
2025-07-11,476.49,478.27,467.97,468.85,892800
2025-07-14,467.69,475.27,467.0,472.35,730000
2025-07-15,473.0,475.29,463.4,464.2,988000
2025-07-16,465.1,470.94,465.1,469.55,785400
2025-07-17,466.32,472.22,461.87,463.27,1251800
2025-07-18,467.0,467.0,458.14,459.81,975100
2025-07-21,459.81,462.31,456.83,458.49,801100
2025-07-22,461.03,470.8,458.88,470.13,1005400
2025-07-23,472.54,478.74,471.31,476.95,908900
2025-07-24,477.14,480.0,472.03,472.27,907900
2025-07-25,472.66,472.71,465.84,469.65,1176900
2025-07-28,467.44,471.0,460.73,460.83,2107300
2025-07-29,464.33,468.98,460.55,468.41,1151400
2025-07-30,471.2,474.76,466.8,469.16,993300
2025-07-31,465.29,470.59,455.45,456.87,1480000
2025-08-01,457.39,464.23,453.51,462.13,1857300
2025-08-04,466.51,473.37,462.06,472.27,2326800
2025-08-05,408.22,414.88,373.19,374.98,10729400
2025-08-06,375.76,390.56,372.35,385.65,4726600
2025-08-07,385.0,388.32,374.45,375.63,3995500
2025-08-08,377.03,381.0,364.66,366.54,3680300
2025-08-11,362.97,380.2,362.5,374.46,2792600
2025-08-12,377.61,388.25,375.0,387.77,2044300
2025-08-13,391.46,396.72,386.79,395.92,1913700
2025-08-14,393.68,395.59,388.71,390.3,1703600
2025-08-15,391.49,395.76,388.71,392.79,1408800
2025-08-18,392.8,395.61,389.21,389.88,1382500
2025-08-19,389.66,395.84,388.93,390.76,1700000
2025-08-20,392.42,400.94,391.95,394.36,1669600
2025-08-21,394.78,399.0,393.87,397.46,1851700
2025-08-22,400.0,403.58,394.32,395.12,1404000
2025-08-25,395.52,396.13,387.6,388.94,1175100
2025-08-26,387.0,390.54,383.64,387.18,1907200
2025-08-27,386.69,390.37,385.99,389.08,1911200
2025-08-28,389.24,392.45,388.0,392.05,1526100
2025-08-29,392.13,394.53,389.39,391.02,1309900
2025-09-02,391.02,401.56,390.51,401.0,1859400
2025-09-03,400.09,402.39,393.05,396.62,1250900
2025-09-04,397.54,400.36,394.75,396.93,1053000
2025-09-05,397.87,402.74,393.43,396.12,1171100
2025-09-08,395.28,396.0,390.98,395.25,1365500
2025-09-09,395.01,397.31,391.72,396.48,946700
2025-09-10,396.17,396.86,387.19,388.55,1512700
2025-09-11,388.55,398.5,388.55,397.37,1330000
2025-09-12,394.68,396.83,393.17,394.53,978300
2025-09-15,393.0,398.29,391.93,393.21,1404800
2025-09-16,392.59,395.45,386.32,391.36,1698400
2025-09-17,392.94,396.31,386.44,387.15,2041400
2025-09-18,389.69,390.66,384.87,387.11,1979600
2025-09-19,388.6,389.46,382.6,383.12,3394000
2025-09-22,384.07,386.08,381.61,383.13,1484600
2025-09-23,381.59,383.5,376.0,379.72,1568900
2025-09-24,377.56,380.73,374.17,376.62,1530600
2025-09-25,383.2,387.48,377.02,381.87,2635400
2025-09-26,381.91,387.48,379.72,385.74,1838600
2025-09-29,386.88,399.1,384.39,395.31,2082300
2025-09-30,394.94,397.65,385.86,391.64,2260400
2025-10-01,393.62,407.5,392.5,404.21,1995400
2025-10-02,404.21,411.0,402.82,408.85,1642200
2025-10-03,411.72,411.91,403.04,403.3,1315800
2025-10-06,404.66,405.45,400.74,402.9,1191100
2025-10-07,402.84,413.29,400.86,410.28,1589400
2025-10-08,410.93,422.73,410.02,421.15,1930200
2025-10-09,419.31,421.01,414.28,414.86,880400
