date,open,high,low,close,volume
2025-03-14,120.3906,124.0406,117.8952,123.782,6613100
2025-03-17,122.9267,129.1327,122.7278,125.602,6259900
2025-03-18,124.1997,126.1242,121.6139,123.782,4648400
2025-03-19,124.3191,131.9403,123.3245,129.1426,5973600
2025-03-21,129.306,131.0495,125.7991,130.0931,7484300
2025-03-24,134.4767,138.2227,133.0022,134.4368,7760500
2025-03-25,133.5103,133.9387,127.5227,131.3185,8146500
2025-03-26,129.316,130.0134,121.5451,123.5476,6723100
2025-03-27,119.8016,124.0357,117.9485,118.8651,7259300
2025-03-28,118.0581,121.8838,117.022,118.6061,7023700
2025-03-31,113.4753,117.9017,111.5824,117.0021,7766200
2025-04-01,117.8389,121.834,115.5674,121.7842,8054800
2025-04-02,118.4068,127.1302,117.56,126.7157,5714300
2025-04-03,113.7941,118.4008,106.9098,107.8065,12729000
2025-04-04,103.1838,103.5225,91.7765,97.7043,17707400
2025-04-07,92.3145,108.7729,90.1725,102.3071,12926800
2025-04-08,109.0518,111.9709,99.5275,101.8089,11458100
2025-04-09,101.9584,120.5089,98.8699,117.5799,14023800
2025-04-10,113.2063,115.0793,106.6309,108.8526,8735400
2025-04-11,108.8526,111.9211,105.3557,111.2934,5268000
2025-04-14,116.8726,117.7592,110.0979,112.2698,5007400
2025-04-15,112.8377,115.9161,111.956,115.3184,4279400
2025-04-16,112.0905,117.1814,111.5325,115.4379,5956700
2025-04-17,117.3906,119.7319,113.5749,114.9896,4853100
2025-04-21,112.1004,113.5749,102.9527,106.1228,6092400
2025-04-22,109.0917,113.276,108.1851,112.21,4882200
2025-04-23,121.5451,125.1117,117.8888,119.5525,7046200
2025-04-24,120.3196,125.8191,120.0606,123.7668,5468700
2025-04-25,123.9162,127.7618,123.0594,126.1678,4323300
2025-04-28,125.7792,129.4674,125.3309,129.1367,4335000
2025-04-29,128.1005,129.9237,125.9486,128.8477,4289000
2025-04-30,124.6235,129.5302,121.844,129.1466,5047100
2025-05-01,137.1566,140.006,135.3036,136.788,10589900
2025-05-02,138.402,140.5818,137.2164,138.7606,5615800
2025-05-05,136.0807,140.5639,135.1761,139.478,5941400
2025-05-06,137.9636,146.3323,136.9275,144.2601,10113700
2025-05-07,137.1168,140.4543,133.4505,138.9798,12497700
2025-05-08,140.6137,142.7457,136.9275,140.3846,7363500
2025-05-09,140.4244,140.7333,133.2313,135.2438,5859900
2025-05-12,144.8578,146.9201,142.4767,145.5452,8358700
2025-05-13,143.6224,156.4046,143.5377,154.422,9075900
2025-05-14,155.9164,156.4146,151.9762,154.1431,5370200
2025-05-15,150.4369,153.5154,150.2775,151.493,3953500
2025-05-16,155.6574,156.8928,153.9338,156.036,6263900
2025-05-19,149.8143,157.0621,149.8143,156.7334,5141300
2025-05-20,156.4146,157.6499,155.0895,156.4444,3426500
2025-05-21,154.3622,155.9214,150.3572,151.5029,4067400
2025-05-22,151.7321,154.5316,149.0282,154.1431,4624100
2025-05-23,155.9762,158.8355,154.0733,157.5702,7254000
2025-05-27,159.4034,163.2589,156.5939,163.249,7192500
2025-05-28,163.7869,165.122,160.8181,161.7546,5027400
2025-05-29,165.3212,165.381,158.1879,159.1344,3543800
2025-05-30,158.3772,160.0011,156.4843,159.9713,5306100
2025-06-02,160.0011,168.6587,159.9912,166.8455,5613000
2025-06-03,174.3474,177.6849,171.2191,175.3437,10019900
2025-06-04,175.3437,176.7285,171.249,172.0461,5290600
