date,open,high,low,close,volume
2025-03-14,40.3946,40.9655,40.2542,40.7783,17432100
2025-03-17,40.797,41.0123,40.3291,40.8532,15560900
2025-03-18,40.9187,41.5832,40.7315,41.396,16254400
2025-03-19,41.4615,41.4803,40.9187,41.1246,14373300
2025-03-20,41.1433,41.1433,40.6005,40.9468,18109300
2025-03-21,40.9842,41.4054,40.7315,41.1714,68445500
2025-03-24,40.8345,41.3118,40.7409,40.7689,18050000
2025-03-25,40.7128,41.0216,40.3852,40.7034,21483200
2025-03-26,40.9093,41.4896,40.7783,41.3492,21684400
2025-03-27,41.63,42.3507,41.4803,42.0792,21905200
2025-03-28,42.2384,42.4349,42.0044,42.0512,19530600
2025-03-31,42.3975,42.8654,42.2384,42.4536,27786900
2025-04-01,42.5753,42.6782,42.229,42.4723,15710800
2025-04-02,42.463,42.6221,41.7423,41.8733,21924100
2025-04-03,42.5753,43.2304,42.3039,42.697,30474800
2025-04-04,41.8921,42.8654,40.0576,40.2729,42663400
2025-04-07,38.869,40.5537,38.607,39.8517,38812000
2025-04-08,40.2448,40.4507,39.0094,39.468,29790200
2025-04-09,39.0094,40.7315,38.2607,40.1419,49426000
2025-04-10,40.4062,41.1195,39.7976,40.8152,36501700
2025-04-11,41.6995,41.7471,40.9863,41.5854,30144300
2025-04-14,41.7471,42.4603,41.4713,42.1275,24323000
2025-04-15,42.3177,42.4983,42.0514,42.2986,21795300
2025-04-16,42.5459,42.6885,41.3857,41.4713,17271600
2025-04-17,41.614,42.2987,41.4428,41.8802,16504800
2025-04-21,42.0324,42.118,40.5869,40.8247,23802500
2025-04-22,39.9308,41.5284,39.5028,41.0719,37633800
2025-04-23,40.4633,40.8817,40.0449,40.6059,29402100
2025-04-24,40.6155,41.0149,40.3967,40.7106,16597300
2025-04-25,40.4443,40.5584,39.3126,39.8547,23361900
2025-04-28,39.9403,40.3967,39.8071,40.3111,16188500
2025-04-29,40.2351,40.9007,40.159,40.8437,14712800
2025-04-30,41.4143,42.0419,41.2431,41.8992,29563000
2025-05-01,41.6235,41.6805,41.1385,41.1765,18921900
2025-05-02,41.3287,41.7471,41.1955,41.5949,15366500
2025-05-05,41.6615,41.8422,41.1004,41.4048,9210000
2025-05-06,41.4333,42.137,41.3001,41.9848,12131500
2025-05-07,41.8517,42.1845,41.6425,41.7376,12826600
2025-05-08,41.652,41.8992,41.3762,41.4713,14967400
2025-05-09,41.3857,41.7281,41.1955,41.4713,10878400
2025-05-12,40.9388,41.0909,40.2256,40.8912,20160000
2025-05-13,41.0909,41.0909,40.4062,40.5584,20069600
2025-05-14,40.682,40.8342,40.178,40.2731,20447500
2025-05-15,40.5108,41.3952,40.5108,41.3477,14608000
2025-05-16,41.3572,41.8327,41.2336,41.8327,13407700
2025-05-19,41.9183,42.194,41.7186,42.137,14778600
2025-05-20,42.0894,42.3652,42.0324,42.0514,12189900
2025-05-21,41.8802,42.0609,41.4333,41.6045,16038600
2025-05-22,41.6045,41.69,40.9578,41.0149,14947700
2025-05-23,41.3382,41.3477,40.7581,41.1955,12393400
2025-05-27,41.1575,41.5569,41.1195,41.3667,12873700
2025-05-28,41.3192,41.3952,40.9483,41.0149,12783000
2025-05-29,41.0339,41.2621,40.8722,41.2051,9960400
2025-05-30,41.2431,41.8992,41.167,41.8041,26569500
2025-06-02,41.652,41.9563,41.2241,41.9373,11873300
2025-06-03,41.7756,41.8897,41.4713,41.6805,13140900
2025-06-04,41.7566,41.7756,41.1195,41.1195,14360100
2025-06-05,41.2241,41.2811,40.9198,41.1765,12095900
2025-06-06,41.2716,41.7661,41.2526,41.652,10135200
2025-06-09,41.5094,41.7946,41.3762,41.5094,13399400
2025-06-10,41.5094,42.175,41.4333,41.9658,13724100
2025-06-11,42.0229,42.2226,41.5474,41.5949,14602100
2025-06-12,41.7281,41.7376,40.8056,41.0434,22370500
2025-06-13,40.8817,41.1575,40.8151,40.9007,13544100
2025-06-16,40.8532,40.9958,40.2541,40.4157,20449300
2025-06-17,40.701,40.7201,39.7596,39.7976,23028200
2025-06-18,39.8927,39.9022,39.5599,39.6265,18654200
2025-06-20,39.7596,40.0354,39.6074,39.655,37068100
2025-06-23,39.7596,40.3111,39.674,40.2826,16014400
2025-06-24,40.3016,40.6345,40.197,40.5394,16716300
2025-06-25,40.3207,40.3872,39.8832,40.0544,15599700
2025-06-26,40.1019,40.197,39.8262,40.0354,15870000
2025-06-27,40.0829,40.3682,39.9213,40.2351,21439600
