date,open,high,low,close,volume
2025-03-14,101.2584,103.4348,101.2197,103.2607,2173700
2025-03-17,103.3961,104.702,103.1156,103.6186,2614900
2025-03-18,103.0189,104.4021,102.9415,104.2861,2401800
2025-03-19,104.0055,104.4312,103.193,104.0346,1837100
2025-03-20,104.2474,104.4698,103.2123,104.2861,2351700
2025-03-21,103.9765,104.9051,102.7771,103.3188,5327000
2025-03-24,103.4348,103.9572,102.2837,102.3224,1725100
2025-03-25,102.0129,102.748,100.233,100.9005,1852800
2025-03-26,101.1713,102.8448,101.1133,102.3418,2384900
2025-03-27,102.9705,103.2897,102.3611,102.748,1371800
2025-03-28,103.7444,104.7407,103.2607,104.0346,1714400
2025-03-31,104.6633,105.9595,104.2377,105.4178,2572600
2025-04-01,105.1276,105.6983,104.4699,105.3308,2172100
2025-04-02,105.708,106.0176,104.6633,105.2824,1403300
2025-04-03,106.4045,107.3718,104.6246,104.9825,4675200
2025-04-04,106.0079,106.0079,100.1363,100.9488,3569900
2025-04-07,99.6333,101.4615,97.9792,99.8364,3617900
2025-04-08,101.5679,102.0032,98.4919,99.5849,2369900
2025-04-09,99.198,102.8931,97.3504,100.9488,3004900
2025-04-10,101.2294,103.3188,99.9525,102.0612,3276000
2025-04-11,101.8388,103.8314,100.8037,103.4639,1855300
2025-04-14,103.3381,105.3308,102.8351,104.9342,1591400
2025-04-15,105.2147,105.4372,104.5472,104.7214,2060300
2025-04-16,105.4372,105.4855,103.5703,103.8508,1840400
2025-04-17,104.3248,106.2981,104.0829,104.8471,1571700
2025-04-21,104.7601,104.7601,102.5352,103.4639,1248700
2025-04-22,104.3344,105.7467,103.9378,105.5629,1339200
2025-04-23,104.8858,105.5919,103.8895,105.205,1598400
2025-04-24,105.0019,105.9595,104.7214,105.3501,2083200
2025-04-25,105.2824,105.3598,103.7153,104.2087,2077800
2025-04-28,104.2377,105.205,103.5606,104.9922,1607200
2025-04-29,104.5956,105.8048,104.4602,105.5823,1500200
2025-04-30,106.0369,106.2981,103.9862,105.9402,2774200
2025-05-01,105.5146,106.656,105.0115,105.234,1623900
2025-05-02,105.2631,105.737,104.3344,105.0696,1678200
2025-05-05,105.5242,105.5242,103.725,105.147,2198300
2025-05-06,105.8531,107.0332,105.1179,106.1723,2219300
2025-05-07,105.737,106.5399,105.205,106.0369,2298100
2025-05-08,106.1336,106.1336,104.0346,104.4312,2423800
2025-05-09,104.4698,104.5472,103.0769,104.1023,2308100
2025-05-12,102.5256,103.2123,101.21,101.5389,2468600
2025-05-13,101.5679,101.9452,99.8751,100.175,2835700
2025-05-14,100.1681,100.2462,98.1679,99.7583,2009700
2025-05-15,100.4999,102.4514,100.2755,102.3635,1992200
2025-05-16,102.4318,103.9442,102.1977,103.8857,2279800
2025-05-19,103.7296,104.7053,103.2905,104.6565,1629000
2025-05-20,104.637,105.4664,104.5199,104.959,2013200
2025-05-21,104.6467,105.2419,103.6125,103.954,2919700
2025-05-22,103.4564,103.8076,102.1391,102.9295,2521200
2025-05-23,103.7588,104.3443,102.3538,104.1881,1838000
2025-05-27,104.1881,105.5054,104.0711,104.9492,2075000
2025-05-28,104.676,104.9297,102.5294,102.7441,1625800
