date,open,high,low,close,volume
2025-03-14,143.6537,145.8669,143.0045,145.4243,2536200
2025-03-17,145.7489,149.2605,144.8046,148.7884,2206400
2025-03-18,148.5326,150.1065,147.2637,147.5195,2838000
2025-03-19,147.5195,148.031,145.6997,146.3292,4881000
2025-03-20,146.3292,146.7128,144.9226,145.4734,4751300
2025-03-21,144.2242,145.9653,143.3979,144.1258,12752000
2025-03-24,145.3554,148.3752,144.5193,147.3916,4496300
2025-03-25,147.2637,148.2179,144.9423,145.7489,4511200
2025-03-26,145.9948,147.667,145.562,147.4014,1808700
2025-03-27,147.3424,148.8867,146.6046,147.4703,2849200
2025-03-28,148.4539,151.2279,148.3556,150.9131,2853000
2025-03-31,151.3557,151.9459,149.5556,150.7065,3708500
2025-04-01,151.5328,151.9459,149.3983,151.6311,3198000
2025-04-02,151.4836,152.4574,149.6933,150.5786,2464300
2025-04-03,150.7557,154.828,149.3983,149.9393,4044200
2025-04-04,149.8114,150.4114,140.6437,140.9486,4825300
2025-04-07,137.8107,142.7585,134.4073,136.5418,5387700
2025-04-08,140.6437,140.9683,133.0597,134.2597,4786900
2025-04-09,132.5285,139.7977,128.161,139.178,4707300
2025-04-10,138.6862,141.529,135.7942,139.4928,3412300
2025-04-11,139.0895,140.7814,136.8172,140.3387,2651400
2025-04-14,141.5486,144.1258,140.4076,143.211,2576800
2025-04-15,143.998,145.4931,142.4339,144.1947,1930500
2025-04-16,144.1259,145.4538,142.5815,143.2504,2471000
2025-04-17,144.0373,145.9554,143.8701,144.8636,1951700
2025-04-21,144.3619,144.8636,139.237,141.3027,2241800
2025-04-22,142.5815,145.5816,142.188,144.8439,3386000
2025-04-23,144.9718,146.4669,143.9586,145.2374,1976400
2025-04-24,144.6275,146.5358,144.2242,145.3357,1684100
2025-04-25,145.6603,146.5161,143.5159,144.5586,1531000
2025-04-28,145.4046,146.9096,144.4799,146.6145,2397900
2025-04-29,150.136,150.3229,147.4408,149.0048,4444400
2025-04-30,148.572,151.277,147.6867,150.0966,4269300
2025-05-01,149.0244,149.231,146.4669,147.8736,2695000
2025-05-02,149.5556,150.6868,147.3621,148.2572,2367800
2025-05-05,148.6015,149.1326,147.0079,148.4637,2688700
2025-05-06,148.031,148.995,147.0571,148.0408,2528200
2025-05-07,147.4211,149.9392,147.1555,148.8671,4334000
2025-05-08,148.8375,149.5556,145.6406,145.8275,2605000
2025-05-09,146.2407,147.3326,145.562,146.7424,1764000
2025-05-12,146.6637,146.8407,140.6437,143.2504,3227600
2025-05-13,143.5061,143.8406,141.2044,142.9061,3284400
2025-05-14,142.5207,142.5899,140.9692,141.7103,3016200
