date,open,high,low,close,volume
2025-03-14,219.0705,221.7597,217.7998,221.5036,1219300
2025-03-17,221.5233,225.2962,220.9027,224.7839,1915900
2025-03-18,223.9466,224.9415,221.4839,222.4985,1306100
2025-03-19,222.4986,224.6165,221.6415,223.9663,1238700
2025-03-20,223.6905,225.0597,221.809,223.5132,1008900
2025-03-21,222.7744,223.0206,220.5284,221.5529,2536500
2025-03-24,222.5675,223.8974,221.3066,222.863,1519100
2025-03-25,223.4935,224.1732,221.7302,223.6806,1622500
2025-03-26,225.2174,226.1138,224.2027,225.5129,1268200
2025-03-27,226.5374,228.015,224.3899,225.6015,1354100
2025-03-28,225.2371,226.8723,224.2914,224.518,1265700
2025-03-31,225.1484,229.0099,224.9908,228.0544,1914300
2025-04-01,227.7391,230.5663,227.2367,230.3003,1669600
2025-04-02,229.4532,231.3741,227.0397,231.0588,1411300
2025-04-03,230.4678,235.7478,229.6207,233.295,2216100
2025-04-04,231.5711,232.9403,221.7006,221.8385,4183200
2025-04-07,215.869,223.3654,211.8007,217.2678,2931100
2025-04-08,222.4197,222.4197,210.4708,213.2389,2324700
2025-04-09,210.8057,222.932,210.3132,221.0702,3277800
2025-04-10,219.2872,224.912,217.4353,223.0699,2377300
2025-04-11,220.8436,226.9609,220.3117,225.9562,1920900
2025-04-14,227.8179,229.6699,226.5275,228.8326,1316800
2025-04-15,229.8964,230.3988,227.6505,228.0248,1323800
2025-04-16,229.1478,229.6502,225.0499,226.1433,1795200
2025-04-17,226.429,229.0887,225.8675,227.4633,1372300
2025-04-21,227.3353,227.7785,220.9421,224.1732,1447500
2025-04-22,224.843,228.4385,224.1929,226.5275,1868900
2025-04-23,227.0102,227.552,223.1192,225.2174,1797200
2025-04-24,226.2221,226.2221,221.9666,224.0747,1869900
2025-04-25,226.0448,226.2418,221.6415,224.9021,2115700
2025-04-28,225.7986,225.9857,223.0896,225.6606,2357000
2025-04-29,220.6565,226.4979,217.4057,225.3848,2250100
2025-04-30,225.5818,230.3693,223.4738,229.8768,1955000
2025-05-01,228.5469,231.0983,226.232,229.9162,1546700
2025-05-02,232.3099,232.4675,229.0296,230.4481,1227900
2025-05-05,230.3496,232.1227,228.5863,231.2854,1031500
2025-05-06,229.197,232.2212,229.197,230.5762,1231700
2025-05-07,230.1624,232.7729,230.1427,231.9946,1663700
2025-05-08,232.8517,233.8368,229.3645,229.6502,1845600
2025-05-09,229.0394,230.4777,227.7884,229.2759,1484200
2025-05-12,228.5469,228.6257,218.706,222.203,2976300
2025-05-13,221.6415,222.0553,218.3514,219.0607,2787500
2025-05-14,219.8586,219.8586,216.4798,219.1493,2175900
2025-05-15,220.8732,224.7544,220.3807,224.6165,1762600
2025-05-16,224.6263,226.4782,223.9663,226.4388,1639100
2025-05-19,225.9857,228.7538,225.9857,228.4878,1203700
2025-05-20,228.7439,230.8126,228.7439,230.3988,1901900
2025-05-21,230.5958,231.9454,229.8767,230.6156,1864400
2025-05-22,230.0147,231.3248,228.2514,229.8374,1755200
2025-05-23,232.4773,233.7973,229.532,233.2753,1503100
2025-05-27,233.2752,234.6347,232.9699,234.477,1791400
2025-05-28,234.3391,234.7923,233.2654,233.6102,1855800
2025-05-29,232.3788,234.4377,231.6991,234.2111,1257400
2025-05-30,234.8021,238.0725,234.014,237.3732,2440000
