date,open,high,low,close,volume
2025-03-14,84.1545,84.5606,83.263,84.5408,35500600
2025-03-17,84.3229,87.1557,84.1743,86.6308,26297800
2025-03-18,86.611,86.8487,84.6893,84.7785,17850900
2025-03-19,85.1351,85.9671,84.8082,85.5115,24555900
2025-03-20,84.9964,86.2544,84.7092,84.9964,18185500
2025-03-21,84.7034,85.647,84.2068,85.3987,26797200
2025-03-24,85.8854,87.0574,85.7662,86.8985,17900700
2025-03-25,86.1734,86.7197,84.0479,84.1869,27908600
2025-03-26,84.614,84.9815,83.9982,84.6339,27228800
2025-03-27,84.2068,85.5278,84.2068,85.051,16782800
2025-03-28,84.8524,85.2497,84.1273,84.5743,14790600
2025-03-31,84.1869,87.6037,83.7996,87.1964,30269300
2025-04-01,86.9481,88.5075,86.7793,88.2294,22080300
2025-04-02,87.6037,89.5405,87.5242,89.1531,19384100
2025-04-03,85.6966,89.2723,85.6966,86.67,33012900
2025-04-04,85.061,86.7991,82.0912,82.6275,36209000
2025-04-07,79.6975,85.6768,79.2704,83.2632,36884900
2025-04-08,85.2696,86.382,80.4821,81.237,34351700
2025-04-09,82.7666,90.1861,82.4587,88.9942,46632800
2025-04-10,88.1301,91.2489,87.5639,89.9974,34735300
2025-04-11,90.0669,92.7188,89.4014,92.1726,25508100
2025-04-14,92.6394,94.7947,92.2719,94.0895,27742900
2025-04-15,94.1789,95.3807,93.2353,93.3347,21871200
2025-04-16,93.3645,93.6624,89.9974,90.5735,22229100
2025-04-17,91.2091,93.2353,91.0005,92.5897,21393900
2025-04-21,92.3911,93.4439,90.7224,91.7852,18361200
2025-04-22,92.252,94.6457,92.252,94.2087,15407800
2025-04-23,94.3775,95.9469,93.5234,94.318,18046900
2025-04-24,94.0696,95.5694,93.0267,95.192,13444500
2025-04-25,95.1523,95.8177,93.722,94.4471,15317200
2025-04-28,94.457,95.3509,93.7021,94.5762,12950000
2025-04-29,94.1988,95.5297,93.7816,95.3907,12679000
2025-04-30,95.2913,97.1189,94.2882,96.5925,21639900
2025-05-01,96.364,97.2381,95.9369,96.7514,13171800
2025-05-02,97.2877,98.5492,97.1884,98.0823,16031400
2025-05-05,98.271,99.0656,97.8638,98.6584,12439100
2025-05-06,98.0724,98.7975,97.7446,97.8837,10626000
2025-05-07,97.8837,98.5591,97.6453,98.1618,11301300
2025-05-08,98.0823,98.6584,96.7017,96.7713,14461100
2025-05-09,96.3282,96.7762,95.8702,96.2983,13697800
2025-05-12,97.2442,97.5429,95.2031,96.3282,26783900
2025-05-13,96.0793,96.8957,94.8148,95.462,19746700
2025-05-14,95.6113,96.9057,95.4122,96.4078,25620100
2025-05-15,93.8889,96.2983,91.4894,95.9299,44026100
2025-05-16,95.7208,98.7576,95.5815,97.8117,33746200
2025-05-19,96.2286,97.8515,95.3923,97.6922,20041600
2025-05-20,98.1303,98.3892,96.0992,97.3736,15609600
2025-05-21,96.7065,97.3338,95.5616,96.0096,15742300
2025-05-22,96.1191,96.5373,95.4023,95.5118,13712200
2025-05-23,94.9243,96.1191,94.5858,95.92,13668600
2025-05-27,96.8758,97.3736,96.1589,97.1546,17180900
2025-05-28,97.0948,97.8117,96.6368,96.8161,11220100
2025-05-29,97.2044,97.3438,96.4278,96.6767,14338000
2025-05-30,96.5373,98.4987,96.1789,98.2896,29980100
2025-06-02,98.4091,99.4744,97.6225,99.335,16999200
2025-06-03,99.1359,100.4501,98.1403,99.5441,15598600
2025-06-04,99.3549,99.6935,98.887,98.9169,11115600
2025-06-05,98.8671,99.1558,97.1844,97.5329,15817100
2025-06-06,97.9411,98.1303,96.5472,97.0451,15599300
2025-06-09,96.9754,97.4234,96.3481,97.0251,13655700
2025-06-10,96.8658,97.6623,96.0594,96.8957,17162500
2025-06-11,96.8658,96.8658,94.9343,95.3823,16389600
2025-06-12,94.4763,94.8447,93.0227,94.4166,17845700
2025-06-13,94.1079,94.9044,93.6001,94.0283,18694700
2025-06-16,94.3369,95.3624,93.6897,93.8789,14881700
2025-06-17,93.5404,94.4066,93.2118,93.8391,14935600
2025-06-18,94.1577,95.0737,93.6798,94.6754,11333700
2025-06-20,94.8248,95.8901,94.7849,95.7009,20604900
2025-06-23,95.5018,97.503,95.2529,97.4433,20432400
2025-06-24,97.3039,98.6779,96.826,97.5727,22403700
