date,open,high,low,close,volume
2025-03-14,317.1737,321.584,313.4853,320.9907,627400
2025-03-17,320.2887,325.3318,320.2887,324.6693,484600
2025-03-18,328.7928,333.5788,328.7928,331.2352,648200
2025-03-19,330.2464,332.8471,329.0696,330.7804,603200
2025-03-20,330.6518,332.9361,326.5778,330.7804,418100
2025-03-21,330.4837,331.4528,325.9449,329.0004,892600
2025-03-24,331.0968,334.6171,330.4046,333.4601,597800
2025-03-25,334.8742,336.2091,330.81,334.1622,534400
2025-03-26,335.9026,337.0398,333.2426,334.8148,317100
2025-03-27,335.5367,338.0484,334.3897,337.0793,607800
2025-03-28,337.0398,338.7208,333.0349,333.4008,524400
2025-03-31,334.4518,338.8048,331.9729,335.0964,1105600
2025-04-01,336.1276,338.0809,332.9249,334.1544,833300
2025-04-02,332.2803,335.7904,331.9234,334.5807,981800
2025-04-03,332.6274,337.6744,329.2462,329.6031,783300
2025-04-04,325.1808,328.3439,303.5252,306.1925,1656300
2025-04-07,305.5381,306.5197,292.4793,298.4683,1197500
2025-04-08,306.3511,311.7749,295.5333,299.5094,1257400
2025-04-09,292.2314,313.3417,292.2314,312.1518,1048800
2025-04-10,312.3401,317.3872,305.5282,313.9663,694000
2025-04-11,310.8429,320.1239,309.4547,319.0232,605400
2025-04-14,320.0445,327.7688,320.0445,325.2502,633600
2025-04-15,326.1327,326.8764,323.4852,324.3975,553600
2025-04-16,325.3494,327.3622,319.985,321.988,528700
2025-04-17,321.2641,323.0093,314.5909,318.2895,658700
2025-04-21,317.8135,319.8958,309.2267,313.0938,655900
2025-04-22,318.2895,322.9696,312.7368,321.9384,643000
2025-04-23,321.9483,326.1525,321.9483,322.93,922800
2025-04-24,303.5649,318.3093,301.9784,304.4672,1402000
2025-04-25,299.3012,301.205,290.4962,299.6383,1557400
2025-04-28,301.9883,303.9219,296.7529,300.6002,804300
2025-04-29,300.0944,300.9868,297.5164,299.9953,586500
2025-04-30,299.6185,305.6571,296.0489,305.201,710200
2025-05-01,302.6824,306.4404,300.9571,303.7731,600300
2025-05-02,307.6104,310.2876,305.9446,309.4349,589400
2025-05-05,307.5708,309.9109,306.4999,306.6784,570300
2025-05-06,305.7364,307.9079,303.6641,304.9531,728600
2025-05-07,305.0919,306.9362,301.3537,303.436,816100
2025-05-08,304.3284,311.18,302.9997,306.5594,706800
2025-05-09,306.2619,307.3427,305.2505,306.4602,396300
2025-05-12,308.1855,309.7819,301.1455,304.8638,487800
2025-05-13,304.1796,306.599,301.5719,301.6413,404300
2025-05-14,302.0379,302.8212,295.4242,300.8084,510100
2025-05-15,301.7106,307.4518,299.6978,307.3923,370800
2025-05-16,307.3923,310.1786,306.8668,309.2961,534700
2025-05-19,309.4745,312.3402,307.7492,311.2693,333600
2025-05-20,309.5638,311.6163,309.1176,310.0992,398900
2025-05-21,310.7041,312.2509,307.3625,308.2053,548400
2025-05-22,308.3938,310.2976,303.4856,305.4687,514200
2025-05-23,304.1896,306.9064,301.9486,306.4106,372300
2025-05-27,307.4816,311.1602,306.0636,310.01,608500
2025-05-28,308.7705,310.9619,308.0566,308.3839,603800
2025-05-29,307.1146,312.9351,305.2902,312.6178,412400
2025-05-30,312.3203,314.9876,309.5043,313.877,809700
2025-06-02,311.8246,314.6902,310.6645,314.6307,500700
2025-06-03,313.0838,315.6718,307.5212,311.1305,517500
2025-06-04,310.9619,310.9817,306.3512,306.8172,463100
2025-06-05,307.0056,307.0056,301.4925,305.0721,598200
2025-06-06,307.4716,308.2847,304.6556,306.6288,349200
2025-06-09,306.6486,306.6486,292.8263,298.6269,537700
2025-06-10,300.0449,300.0449,292.7173,294.3236,672400
2025-06-11,294.7698,295.0078,291.2795,293.4609,611200
2025-06-12,294.2542,298.7955,293.808,298.5674,508500
2025-06-13,296.8322,298.3394,293.5303,293.8278,578800
2025-06-16,295.7911,298.1609,294.1154,295.3151,821100
2025-06-17,293.3717,295.3945,291.9141,295.2755,651200
2025-06-18,295.8506,296.2671,293.7188,294.9879,795700
2025-06-20,297.6651,299.5094,295.1267,296.4752,944600
2025-06-23,297.4668,301.1653,296.1778,301.1257,410700
2025-06-24,299.3805,301.7305,296.3265,299.8267,820000
2025-06-25,299.6581,300.501,295.6126,296.2571,723900
2025-06-26,297.2189,299.4698,293.9468,299.2615,856600
2025-06-27,299.2913,302.3254,299.1227,301.9288,1337300
2025-06-30,300.7453,305.37,299.7408,304.8329,705800
2025-07-01,305.3203,307.021,302.7941,305.9369,943200
2025-07-02,304.2959,305.6882,297.5627,302.804,1428900
2025-07-03,302.7643,305.3999,302.3664,304.9722,426100
2025-07-07,304.5147,306.5138,302.6151,303.6395,559200
2025-07-08,303.5201,305.5192,301.153,303.4306,910700
2025-07-09,303.1521,307.0309,300.8845,306.832,532200
2025-07-10,305.6982,308.2144,304.9622,308.1349,556900
2025-07-11,307.1105,307.1105,300.437,305.6485,570700
2025-07-14,305.728,308.2642,304.8727,307.4586,458000
2025-07-15,307.4586,308.3139,301.5807,302.7344,768400
2025-07-16,303.1919,306.7027,302.0581,305.917,794300
2025-07-17,304.9523,305.8971,298.6169,305.0219,1241300
2025-07-18,305.9767,307.7669,304.0572,306.6033,705200
2025-07-21,305.9269,307.3989,300.4767,301.0735,677000
2025-07-22,301.2625,307.8166,301.2625,306.9712,543300
2025-07-23,307.3193,309.2687,304.9125,308.7615,580500
2025-07-24,307.021,309.935,304.9224,307.0508,624500
2025-07-25,308.2244,312.7397,308.2244,311.407,445700
2025-07-28,310.2632,310.8202,307.1602,307.6674,614200
2025-07-29,308.5625,308.5625,296.8068,300.6558,967600
2025-07-30,301.153,302.635,298.5473,300.1883,709100
2025-07-31,305.8872,318.4385,300.3574,314.0923,1042400
2025-08-01,313.5751,314.8681,310.2931,313.058,928200
2025-08-04,315.2758,319.8409,313.7442,318.9259,718100
2025-08-05,319.821,323.4313,318.7966,322.735,822800
2025-08-06,322.0587,324.6545,320.8155,323.7694,678600
