date,open,high,low,close,volume
2025-03-14,83.6454,85.9345,83.6454,85.3994,1797100
2025-03-17,85.4886,86.7074,84.8742,85.6372,1606100
2025-03-18,85.6273,86.0138,84.0715,84.6562,1186100
2025-03-19,84.2301,85.0724,83.7842,84.2796,1533700
2025-03-20,83.2292,84.2202,82.2284,82.3176,1805400
2025-03-21,81.5644,82.05,79.5033,81.8815,4329600
2025-03-24,83.0905,84.5373,82.8626,84.1013,2448000
2025-03-25,85.548,88.5209,84.567,85.2507,4498900
2025-03-26,85.2706,86.0237,84.2994,85.0526,1423200
2025-03-27,84.7454,86.8363,84.6265,85.3697,1388300
2025-03-28,84.7553,85.1219,80.9501,81.5843,2487000
2025-03-31,79.9096,83.0211,79.4339,82.7437,2115000
2025-04-01,82.595,83.2292,80.8113,81.9807,1499700
2025-04-02,80.7618,82.5653,80.6131,80.8014,2539900
2025-04-03,77.789,77.9178,71.8433,72.2199,5509100
2025-04-04,67.9885,70.6244,65.6004,69.4551,8307700
2025-04-07,67.3642,71.8334,65.9967,67.3147,4359300
2025-04-08,69.6038,70.4857,64.659,65.5013,4088400
2025-04-09,65.3328,76.0449,65.1247,75.1431,7589100
2025-04-10,73.9738,74.1126,68.811,71.6451,3008800
2025-04-11,71.9027,73.4387,70.0893,72.527,2710200
2025-04-14,73.736,74.2909,71.1199,72.8739,2603600
2025-04-15,72.6162,74.9152,72.3388,74.2216,2027600
2025-04-16,73.4585,73.9936,71.9919,73.0622,1827100
2025-04-17,73.6369,74.5089,72.9532,74.0927,1559500
2025-04-21,74.0927,75.0837,73.1315,74.281,2525900
2025-04-22,74.5684,76.7782,74.5684,76.2728,2560300
2025-04-23,78.4331,80.742,77.3529,78.3934,2810500
2025-04-24,78.661,81.1185,78.3835,80.8411,1937000
2025-04-25,80.7618,81.5545,80.3654,81.3663,1467700
2025-04-28,81.3464,82.5554,80.8906,81.4554,1443300
2025-04-29,81.1383,81.6536,80.2168,80.8113,1463600
2025-04-30,78.7799,79.7312,78.0664,79.5826,1922700
2025-05-01,79.7114,81.2572,79.1961,79.315,1772000
2025-05-02,80.1276,82.3275,80.1276,81.7428,1597200
2025-05-05,81.396,84.0616,80.9203,82.2284,2105200
2025-05-06,82.0401,83.6454,81.3563,82.7635,3011500
