date,open,high,low,close,volume
2025-03-14,66.012,67.7665,65.7987,67.6114,4170700
2025-03-17,67.5629,68.5323,67.4078,67.8149,3751100
2025-03-18,67.6017,68.1736,67.2721,68.1251,3159800
2025-03-19,68.0185,68.3384,67.6986,68.0864,3112000
2025-03-20,68.0864,68.4159,67.6599,67.941,3039100
2025-03-21,67.6695,68.2027,66.7099,66.991,6689200
2025-03-24,67.3884,67.5144,66.6033,66.7487,3156900
2025-03-25,66.4966,66.6808,65.4304,65.8472,3110200
2025-03-26,65.9247,67.3109,65.9053,66.8068,3540500
2025-03-27,66.991,67.6599,66.8165,67.1946,3870700
2025-03-28,67.7374,68.3287,67.5047,67.5823,3533500
2025-03-31,68.2318,69.172,67.7568,68.6195,3772200
2025-04-01,68.445,68.6486,67.8246,68.5516,2233000
2025-04-02,68.697,69.1139,67.9119,68.7261,2054700
2025-04-03,69.7827,70.4128,68.9685,69.9281,3573500
2025-04-04,70.7617,70.7617,65.7018,65.8084,5680800
2025-04-07,65.8084,66.2834,63.734,65.0039,7971200
2025-04-08,65.2947,67.0782,64.3156,64.9845,5792500
2025-04-09,64.4804,67.0492,63.4238,66.4773,6518000
2025-04-10,66.1768,67.1849,64.9554,66.3125,3491500
2025-04-11,66.3125,67.7859,65.4498,67.4272,3148400
2025-04-14,67.2915,68.697,66.1864,68.5613,2515700
2025-04-15,68.9781,69.2883,68.0573,68.1154,2556800
2025-04-16,68.319,68.6486,66.7487,66.9813,2824000
2025-04-17,67.5629,68.8521,67.369,67.9797,2784500
2025-04-21,67.7374,68.1445,66.0992,66.8553,5664900
2025-04-22,67.5241,69.5113,67.2527,69.2011,5162400
2025-04-23,68.8909,69.8893,68.4159,69.3562,5639000
2025-04-24,68.1833,69.2883,66.8941,68.1348,6499700
2025-04-25,68.3384,68.3869,66.3125,66.8844,4816800
2025-04-28,66.991,67.5435,66.3609,67.4466,2994500
2025-04-29,67.4272,68.6001,67.0976,68.5032,2539300
2025-04-30,68.5226,68.7067,67.466,68.5322,4468300
2025-05-01,68.5322,69.2011,67.8537,68.2414,3389100
