date,open,high,low,close,volume
2025-03-14,105.3212,108.4536,104.7122,108.1829,15890100
2025-03-17,108.0862,110.6965,108.0186,109.9811,19908800
2025-03-18,110.3002,110.7352,108.8307,109.8651,15998700
2025-03-19,110.4065,111.9727,110.0488,111.5763,17315000
2025-03-20,110.9092,112.6011,110.4162,112.05,16230800
2025-03-21,111.6633,112.1371,110.5515,111.6633,41102800
2025-03-24,111.8373,113.0265,111.7407,111.9534,14207500
2025-03-25,112.5624,113.7322,112.108,112.7171,12081800
2025-03-26,113.7709,115.2211,113.7709,114.3413,14110800
2025-03-27,114.177,115.1147,113.3649,113.9739,12740800
2025-03-28,114.177,114.525,113.3455,113.8193,10233400
2025-03-31,113.8773,115.9268,113.8773,114.9794,21652300
2025-04-01,115.2598,115.3178,114.0126,115.0857,12425400
2025-04-02,114.4573,114.8924,113.7516,114.728,12614600
2025-04-03,110.5709,111.615,108.5019,108.6953,21204600
2025-04-04,106.2203,107.1485,100.381,100.874,30841300
2025-04-07,97.0552,102.2855,95.1894,99.5205,35068500
2025-04-08,101.9568,102.0922,95.7211,97.4226,27147800
2025-04-09,96.0691,103.0396,94.8703,102.2855,30063300
2025-04-10,100.265,100.3326,94.5513,96.6105,33999300
2025-04-11,96.9682,100.4777,95.5084,99.7139,22884600
2025-04-14,101.5411,101.5991,99.3079,99.9556,18020000
2025-04-15,100.1973,101.9085,99.5785,99.6752,13164900
2025-04-16,100.497,102.0825,100.2553,100.729,13607000
2025-04-17,101.2124,104.9442,100.99,103.3683,17916500
2025-04-21,102.1019,102.1212,100.6613,101.8505,16926500
2025-04-22,102.6142,105.3212,102.6142,104.7025,13147000
2025-04-23,105.1956,105.6693,102.9333,103.8034,14235700
2025-04-24,104.3835,105.2632,103.407,105.0215,9849600
2025-04-25,104.5478,105.1472,103.8517,104.9635,11245800
2025-04-28,105.1376,105.6209,104.1031,105.0215,13890900
2025-04-29,104.1611,105.2149,103.9484,104.7605,9483100
2025-04-30,103.8517,103.8517,100.6904,102.1212,20379300
2025-05-01,101.6088,103.3683,101.4928,102.2662,18610300
2025-05-02,104.1418,105.3792,101.0771,102.6819,16581900
2025-05-05,101.1737,101.1834,99.6462,99.8396,19624000
2025-05-06,100.439,102.4596,100.0426,101.2317,16303400
2025-05-07,101.5024,101.7925,100.613,101.1351,12332200
2025-05-08,101.8408,103.8227,101.8408,102.5466,19196500
2025-05-09,103.581,104.1708,102.8463,103.7454,10992100
2025-05-12,106.6071,106.7714,104.7218,105.5339,14244600
2025-05-13,105.6886,106.8391,105.3986,105.824,13350800
2025-05-14,105.2439,105.2439,104.3448,104.8765,15494900
2025-05-15,103.9008,106.0083,103.3935,105.94,15004300
2025-05-16,106.0083,106.2425,104.8375,105.5595,14042500
2025-05-19,104.9546,104.9546,103.1496,103.8813,16802700
2025-05-20,103.8033,104.1252,102.2324,102.3983,12429300
2025-05-21,101.9885,102.4178,101.1201,101.1396,16716100
2025-05-22,100.5542,100.9543,99.4127,100.4664,13417400
2025-05-23,100.1054,100.9543,99.5883,100.525,12061600
2025-05-27,100.9738,101.3348,100.3981,101.003,13043600
2025-05-28,101.7543,101.8909,99.3151,99.6273,14292400
2025-05-29,99.7932,100.3493,99.2761,100.1932,13825300
2025-05-30,99.6761,99.9005,98.7297,99.8127,28645800
2025-06-02,101.2274,101.325,99.7347,100.5445,17290500
2025-06-03,100.3981,102.1153,99.7249,101.2762,19194300
2025-06-04,101.3933,102.369,99.8127,99.8127,15648500
2025-06-05,100.4762,100.5445,99.2566,99.3541,13924800
2025-06-06,100.2615,101.9592,100.1835,101.7348,15487800
2025-06-09,101.7933,103.2764,101.3055,102.4178,17087300
2025-06-10,103.5008,105.0326,103.3544,104.6131,17634800
2025-06-11,105.14,106.7303,103.8716,106.6523,22648200
2025-06-12,106.2718,107.5109,105.5888,107.0621,17469400
