date,open,high,low,close,volume
2025-03-14,55.5,57.521,55.347,57.22,8942300
2025-03-17,56.65,59.435,56.65,58.65,7701800
2025-03-18,59.9,60.09,58.78,59.65,8248600
2025-03-19,60.455,62.43,59.6,61.37,8622500
2025-03-20,60.57,62.38,60.44,61.0,6344100
2025-03-21,60.35,61.58,59.6,61.11,11395600
2025-03-24,62.38,63.18,62.0,62.58,9048800
2025-03-25,62.765,63.69,61.21,61.33,7366100
2025-03-26,60.89,61.36,58.8,59.05,8947800
2025-03-27,58.76,58.9,56.88,56.99,7927100
2025-03-28,56.54,57.0,54.69,55.33,10692000
2025-03-31,53.89,54.69,52.25,54.33,8163700
2025-04-01,53.89,55.52,53.77,55.41,7649900
2025-04-02,54.0,58.71,53.903,57.86,9187900
2025-04-03,54.74,55.441,52.47,53.97,13288100
2025-04-04,50.31,51.88,47.69,50.26,15195700
2025-04-07,47.05,53.45,46.42,50.47,13017700
2025-04-08,52.93,53.339,48.13,49.08,9909700
2025-04-09,49.05,56.77,47.95,55.99,12475700
2025-04-10,54.34,54.88,50.93,52.91,9574000
2025-04-11,52.86,54.15,51.0,53.94,8623100
2025-04-14,55.31,55.7,53.64,54.66,7027200
2025-04-15,54.82,55.9,54.58,55.08,4012900
2025-04-16,54.2,55.5,52.77,53.75,6318000
2025-04-17,53.65,54.418,53.03,53.9,4510000
2025-04-21,52.92,53.45,51.399,52.39,5836800
2025-04-22,53.02,54.83,52.995,54.33,6058800
2025-04-23,56.9,58.75,55.22,55.66,8388800
2025-04-24,55.79,57.52,55.18,57.5,6468800
2025-04-25,57.67,58.27,57.22,58.09,5625900
2025-04-28,58.55,59.27,57.52,58.32,4578700
2025-04-29,58.74,59.82,58.5,59.56,4547700
2025-04-30,57.02,58.7,56.414,58.47,6625500
2025-05-01,59.02,59.68,58.21,58.48,10667000
2025-05-02,45.325,47.0,44.27,46.53,54280100
2025-05-05,45.92,46.94,45.025,46.64,18628200
2025-05-06,45.7,48.02,45.65,47.29,18029100
2025-05-07,47.48,48.18,47.11,47.95,14809000
2025-05-08,48.125,50.785,48.125,50.11,13090500
2025-05-09,50.23,51.27,50.09,50.36,12274600
2025-05-12,53.185,55.06,53.185,55.02,13204500
2025-05-13,55.185,58.685,54.86,58.17,20820300
2025-05-14,59.61,59.85,57.71,58.5,13394000
2025-05-15,57.145,57.88,56.46,57.01,11546500
2025-05-16,56.49,58.12,56.48,57.66,7034800
2025-05-19,56.18,58.49,56.08,58.33,7197400
2025-05-20,58.445,58.65,57.03,57.34,5689700
2025-05-21,56.55,57.01,55.19,55.44,10101700
2025-05-22,55.6,59.08,55.6,58.35,12529800
2025-05-23,56.415,59.095,55.88,58.74,9695900
2025-05-27,60.05,62.66,59.85,62.15,12008400
2025-05-28,62.515,62.515,61.33,61.81,6605900
2025-05-29,62.27,63.11,61.675,62.16,7504100
2025-05-30,61.72,62.09,60.885,61.75,11486800
2025-06-02,60.36,61.888,59.9,61.76,6094200
2025-06-03,63.725,63.8,62.01,63.51,7697600
2025-06-04,63.72,64.07,62.55,63.86,7559300
2025-06-05,63.62,64.9,63.15,63.6,8155100
2025-06-06,64.54,65.22,63.483,64.99,7824500
2025-06-09,65.45,66.46,64.775,65.84,7128100
2025-06-10,65.48,65.685,63.99,64.48,9971000
2025-06-11,64.91,65.45,63.78,64.06,6419800
2025-06-12,63.6,65.32,63.31,63.85,5193900
2025-06-13,62.21,62.991,61.345,61.57,7035100
2025-06-16,62.73,65.18,62.66,64.82,6561700
2025-06-17,64.045,64.54,63.06,63.32,5408200
2025-06-18,63.06,63.91,61.34,63.09,8344500
2025-06-20,63.54,64.3,63.0,63.59,6941900
2025-06-23,62.995,63.99,61.87,63.62,6018700
2025-06-24,64.61,65.72,64.3,65.34,6303200
2025-06-25,65.765,65.765,64.33,64.81,5395900
2025-06-26,64.88,65.205,63.801,65.11,5097200
2025-06-27,65.38,67.01,65.08,66.63,9854300
2025-06-30,67.14,68.4,67.06,67.93,5628600
2025-07-01,67.74,68.93,66.875,68.27,7204200
2025-07-02,68.17,70.09,68.0,69.22,7032700
2025-07-03,69.665,69.7,68.58,69.23,4369300
2025-07-07,68.71,70.27,67.73,69.41,7545000
2025-07-08,70.215,70.98,67.701,67.84,6872900
2025-07-09,68.32,69.04,67.45,69.01,5340800
2025-07-10,68.95,69.23,67.8,68.76,4163500
2025-07-11,67.8,68.56,64.85,65.14,12851600
2025-07-14,66.73,69.84,66.4,68.68,11130900
2025-07-15,67.98,68.22,65.96,66.01,6706100
2025-07-16,66.53,69.1,66.262,69.03,8209900
2025-07-17,69.82,71.52,69.615,70.73,7795300
2025-07-18,72.01,73.25,71.17,72.82,10786400
2025-07-21,78.61,79.44,76.8,78.08,49143500
2025-07-22,78.46,79.585,78.26,79.27,139479500
2025-07-23,79.81,80.36,78.45,79.7,13249800
2025-07-24,79.445,81.13,79.31,79.77,9377500
2025-07-25,79.755,81.08,78.93,80.74,6348700
2025-07-28,81.2,82.18,80.365,80.57,9578700
2025-07-29,79.7,81.06,77.64,78.18,10632000
2025-07-30,77.705,78.75,77.049,77.59,7352200
2025-07-31,76.78,78.08,76.0,77.26,6769800
2025-08-01,75.0,75.22,72.985,74.03,8235300
2025-08-04,75.02,76.63,74.42,76.12,6082200
2025-08-05,75.98,76.1,74.01,75.29,7207400
2025-08-06,75.33,76.88,75.33,76.13,6488700
2025-08-07,76.125,77.37,76.0,76.85,14968800
2025-08-08,82.125,82.5,73.2,73.39,22800800
2025-08-11,74.08,74.758,72.39,73.03,10172000
2025-08-12,73.58,75.5,73.58,74.54,7048000
2025-08-13,74.765,77.063,74.758,76.95,8084300
2025-08-14,76.17,76.54,74.47,76.04,6560300
2025-08-15,76.19,76.88,75.23,75.8,6691800
2025-08-18,76.0,77.46,75.76,76.73,6781400
2025-08-19,76.85,77.25,74.04,74.3,5387000
2025-08-20,73.58,74.28,71.45,74.18,7093100
2025-08-21,73.72,74.15,72.51,74.09,6961900
2025-08-22,73.55,79.385,73.47,79.12,12035300
2025-08-25,78.39,80.32,78.39,79.08,6549300
2025-08-26,78.46,79.01,77.73,78.78,5128300
2025-08-27,78.58,79.685,78.44,79.39,4027600
2025-08-28,79.98,81.39,79.756,80.78,5019600
2025-08-29,80.8,82.25,79.14,79.64,6205700
2025-09-02,76.81,77.1,75.185,76.23,6813700
2025-09-03,76.3,76.375,75.34,75.79,4975000
2025-09-04,75.73,75.96,73.72,75.75,4804900
2025-09-05,76.3,77.075,73.69,74.94,4785800
2025-09-08,75.05,75.98,74.885,75.82,5191500
2025-09-09,75.63,76.67,75.0,75.51,4162300
2025-09-10,75.795,76.79,73.05,73.75,5756300
2025-09-11,73.94,74.77,73.446,74.23,4196700
2025-09-12,73.6,74.215,72.845,72.87,4621300
2025-09-15,73.33,75.2,73.1,74.63,6474800
2025-09-16,74.56,75.96,73.801,75.78,5512200
2025-09-17,75.88,77.25,74.53,75.71,5296900
2025-09-18,76.2,78.3,75.76,77.37,5443800
2025-09-19,77.7,77.71,76.17,77.03,7600300
