date,open,high,low,close,volume
2025-03-14,150.5237,153.3494,149.8762,152.123,1251100
2025-03-17,151.4263,154.3501,151.3282,154.1637,1127000
2025-03-18,153.7516,154.9584,153.212,154.3305,1332200
2025-03-19,154.4188,155.3705,153.575,154.5365,1455500
2025-03-20,154.8407,155.5078,153.938,154.9093,1412700
2025-03-21,153.9871,155.2037,153.1335,153.7909,3071600
2025-03-24,154.1048,154.7425,152.1033,152.8784,1952500
2025-03-25,153.2022,153.5554,151.8286,152.8588,1836600
2025-03-26,153.4376,155.9297,153.261,155.6844,1708800
2025-03-27,155.9886,156.0376,153.3984,154.6739,2500800
2025-03-28,154.6346,155.1154,152.3388,152.8195,1492600
2025-03-31,151.2694,155.1546,150.7101,154.3893,3510600
2025-04-01,154.5659,155.9886,153.7516,155.9199,1573800
2025-04-02,155.5471,155.9984,154.3599,155.2429,1585400
2025-04-03,155.2037,158.7553,154.9093,158.4021,2615300
2025-04-04,154.2422,156.3123,144.5094,145.0392,4704300
2025-04-07,141.9095,144.9608,138.3382,142.194,4579500
2025-04-08,145.6377,145.7751,137.4257,138.711,4221000
2025-04-09,137.6514,144.843,136.1012,142.7042,4063800
2025-04-10,141.2423,144.3525,138.7993,142.7532,4604500
2025-04-11,142.5962,143.2144,139.7706,142.2627,3002500
2025-04-14,144.2249,144.2249,141.7917,143.2438,3432000
2025-04-15,143.9306,144.3132,141.5661,141.9585,2599300
2025-04-16,142.2627,142.7238,139.1133,139.8786,1952700
2025-04-17,140.0355,142.1645,139.2016,140.6046,1768300
2025-04-21,140.4378,140.4378,136.4054,137.8574,1708200
2025-04-22,139.3487,142.3804,138.6325,142.3117,1670800
2025-04-23,142.8023,145.5691,142.5374,143.4008,2301000
2025-04-24,143.6461,145.0491,142.0665,144.794,2079800
2025-04-25,144.5781,145.991,143.5578,144.5193,1770400
2025-04-28,144.5291,145.2747,143.6559,144.9608,2218800
2025-04-29,143.8325,145.2355,142.6257,144.9019,2339600
2025-04-30,144.7057,148.6988,142.1547,147.6,3349500
2025-05-01,146.2559,146.6385,144.3034,145.7947,2734600
2025-05-02,146.6189,147.6687,144.6468,146.3245,1972000
2025-05-05,146.6875,146.7464,143.6264,143.8129,2308500
2025-05-06,143.6264,145.6672,142.8023,145.4807,2097000
2025-05-07,145.3532,147.9238,144.951,146.6581,1416000
2025-05-08,146.8935,147.0505,144.9705,145.1864,1410900
2025-05-09,145.4611,146.1577,143.7245,144.3525,1068500
2025-05-12,144.5683,145.5102,143.3125,144.0287,1552700
