date,open,high,low,close,volume
2025-03-14,275.84,279.38,272.48,278.97,526200
2025-03-17,278.47,287.32,278.47,285.27,416600
2025-03-18,282.72,285.54,281.92,282.58,323500
2025-03-19,283.5,289.09,282.3,285.83,455900
2025-03-20,283.11,288.71,283.11,285.01,499300
2025-03-21,282.5,290.44,280.25,289.99,1471900
2025-03-24,294.33,301.77,293.86,297.41,512000
2025-03-25,297.39,299.49,289.47,291.02,348900
2025-03-26,292.05,292.11,285.75,288.02,319900
2025-03-27,286.24,287.66,282.81,285.14,236500
2025-03-28,285.14,285.52,277.37,280.79,289700
2025-03-31,278.0,283.55,273.66,282.56,539100
2025-04-01,280.96,284.85,279.32,283.07,359300
2025-04-02,279.06,289.93,279.06,287.57,319100
2025-04-03,270.49,270.54,238.1,238.5,1372200
2025-04-04,222.24,227.11,208.35,223.49,1846500
2025-04-07,216.65,231.39,210.76,223.49,1091800
2025-04-08,231.94,232.54,209.38,213.54,878300
2025-04-09,213.02,247.52,205.73,243.77,1527800
2025-04-10,234.36,237.17,219.22,223.37,999000
2025-04-11,221.15,229.92,216.86,225.44,1103900
2025-04-14,233.77,235.09,226.63,231.77,694400
2025-04-15,229.52,234.0,227.69,228.11,619000
2025-04-16,224.64,227.93,220.34,224.76,748700
2025-04-17,226.7,229.31,224.09,226.73,391100
2025-04-21,221.56,224.61,217.33,222.05,443400
2025-04-22,226.36,228.89,222.69,227.2,582600
2025-04-23,237.89,248.05,233.52,234.48,507400
2025-04-24,237.0,246.21,236.75,244.08,411100
2025-04-25,243.19,247.96,241.47,246.24,530200
2025-04-28,246.0,250.33,239.45,243.49,1094500
2025-04-29,262.11,265.05,251.94,256.05,1599800
2025-04-30,246.18,251.29,243.53,250.32,762600
2025-05-01,251.58,253.24,248.46,249.64,507800
2025-05-02,254.69,259.04,251.94,255.95,525800
2025-05-05,252.47,255.55,250.6,250.7,426400
2025-05-06,246.87,251.77,246.0,250.85,521600
2025-05-07,252.41,259.84,251.86,257.28,822600
2025-05-08,261.37,266.65,258.51,265.37,711000
2025-05-09,267.67,268.58,264.64,266.71,700800
2025-05-12,289.93,302.79,289.92,300.11,1726700
2025-05-13,300.75,305.29,300.37,302.38,846800
2025-05-14,301.14,301.72,295.47,299.27,577700
2025-05-15,297.02,299.21,296.06,298.35,442100
2025-05-16,297.94,301.14,295.09,300.62,410000
2025-05-19,293.44,298.42,293.44,297.82,404600
2025-05-20,295.78,298.43,295.31,296.97,370200
2025-05-21,293.32,296.97,286.96,287.92,574200
2025-05-22,287.38,290.22,286.48,288.36,353100
2025-05-23,280.48,285.25,278.51,284.21,325300
2025-05-27,290.16,295.32,286.92,295.01,415300
2025-05-28,295.29,297.01,290.38,290.8,409500
2025-05-29,292.55,295.44,288.4,292.5,414700
2025-05-30,289.93,290.56,283.92,289.77,656100
2025-06-02,287.67,288.17,282.03,285.96,503700
2025-06-03,286.28,292.18,282.74,291.99,641500
2025-06-04,294.13,294.47,290.88,291.03,352700
2025-06-05,293.0,295.07,288.4,291.24,468900
2025-06-06,295.99,297.87,293.56,295.36,299500
2025-06-09,298.76,300.67,296.26,298.63,341700
2025-06-10,298.63,300.59,296.11,299.56,398500
2025-06-11,301.67,301.67,291.77,292.82,384200
2025-06-12,290.03,293.39,290.0,292.68,295900
2025-06-13,287.13,288.6,282.65,283.61,309700
2025-06-16,288.07,293.85,287.34,293.06,379000
2025-06-17,290.76,295.84,289.11,289.36,570200
2025-06-18,289.89,296.73,289.08,291.73,571200
2025-06-20,295.1,295.74,290.6,294.04,777900
2025-06-23,291.5,296.57,288.53,296.25,411700
2025-06-24,300.0,302.44,296.91,298.94,541600
2025-06-25,300.79,303.19,298.83,303.05,284900
2025-06-26,303.43,308.66,302.82,308.32,443200
2025-06-27,310.22,313.16,306.55,309.26,893900
2025-06-30,311.57,311.57,306.28,308.36,783800
2025-07-01,307.54,320.99,307.54,315.48,452000
2025-07-02,315.48,321.42,312.62,320.39,428800
2025-07-03,323.53,326.64,318.5,323.72,257500
2025-07-07,320.53,324.33,316.7,317.11,420400
2025-07-08,320.4,323.98,318.05,323.06,372900
2025-07-09,323.06,325.38,316.55,321.78,361000
2025-07-10,326.27,335.85,325.14,330.35,477600
2025-07-11,326.02,329.86,324.14,327.14,417500
2025-07-14,325.19,329.56,319.39,322.83,378700
2025-07-15,325.22,325.93,317.46,319.55,297500
2025-07-16,321.21,321.21,312.69,319.47,297900
2025-07-17,320.55,331.3,320.55,329.9,393400
2025-07-18,331.7,332.68,328.6,331.73,426600
2025-07-21,332.16,334.0,328.27,328.38,371900
2025-07-22,328.1,330.15,324.46,328.1,434700
2025-07-23,331.0,337.07,328.58,336.77,368400
2025-07-24,334.71,336.06,333.0,333.4,317800
2025-07-25,334.16,336.15,329.4,335.69,298300
2025-07-28,337.8,337.8,334.37,334.69,303200
2025-07-29,337.26,338.2,330.68,331.6,236900
2025-07-30,333.62,337.71,329.83,332.39,368000
2025-07-31,334.44,352.66,329.21,339.02,1351200
2025-08-01,329.71,336.95,321.95,335.24,976400
2025-08-04,337.86,342.41,337.02,341.36,1032600
2025-08-05,350.64,350.64,300.75,302.6,2001700
2025-08-06,303.01,309.08,299.48,308.31,1127500
2025-08-07,313.05,320.0,308.07,316.01,786100
2025-08-08,319.03,323.75,316.31,317.66,612500
2025-08-11,317.95,320.85,310.62,312.45,535600
2025-08-12,315.82,328.57,311.76,328.14,628400
2025-08-13,329.65,338.17,329.25,337.8,539200
2025-08-14,334.92,337.49,326.16,327.71,604800
2025-08-15,327.98,328.32,316.21,317.9,523900
2025-08-18,318.67,322.08,317.0,317.48,360200
2025-08-19,316.98,321.69,311.39,312.06,542800
2025-08-20,310.24,310.52,302.83,304.74,652100
2025-08-21,304.27,309.98,302.71,308.51,392800
2025-08-22,310.33,324.26,310.33,322.79,495400
2025-08-25,321.74,322.89,319.51,319.55,311500
2025-08-26,319.87,324.13,318.18,320.58,619200
2025-08-27,319.54,322.05,318.31,321.43,395200
2025-08-28,323.36,324.83,321.91,322.0,261800
2025-08-29,321.66,321.66,315.83,317.09,440900
2025-09-02,310.71,313.18,305.43,307.07,732000
2025-09-03,307.23,308.35,303.55,305.71,350300
2025-09-04,307.0,312.06,305.0,311.25,418400
2025-09-05,315.27,315.35,307.42,313.8,454900
2025-09-08,313.84,318.2,311.28,313.8,603000
2025-09-09,312.57,313.57,309.67,312.17,447500
2025-09-10,311.96,316.22,305.0,306.19,636700
2025-09-11,306.19,316.52,303.48,316.01,407400
2025-09-12,314.25,315.99,311.29,312.65,517000
2025-09-15,314.76,323.93,313.01,320.91,486300
2025-09-16,319.68,322.14,316.96,318.41,495300
2025-09-17,318.39,322.28,312.81,317.32,539100
2025-09-18,321.84,325.24,321.28,322.88,479400
2025-09-19,323.02,323.02,315.57,318.54,630500
2025-09-22,316.47,318.5,315.06,315.41,382600
2025-09-23,317.74,322.8,312.66,314.05,470500
2025-09-24,314.0,315.5,307.08,308.48,282500
2025-09-25,304.6,306.0,299.25,301.97,396300
2025-09-26,301.58,303.25,297.03,299.77,479800
2025-09-29,302.75,303.78,296.7,296.92,482300
2025-09-30,294.93,298.71,292.09,297.16,500700
2025-10-01,295.31,297.32,290.56,291.79,537300
2025-10-02,294.0,296.77,291.51,295.85,450100
2025-10-03,299.11,311.44,298.4,305.01,452300
2025-10-06,308.08,309.08,298.96,301.94,558200
2025-10-07,303.61,304.1,295.93,296.64,476800
2025-10-08,300.74,308.55,298.01,307.28,577800
2025-10-09,307.19,308.27,294.79,298.79,645500
2025-10-10,299.41,300.95,275.76,275.89,995900
2025-10-13,280.39,286.71,278.45,281.96,568900
2025-10-14,277.0,291.0,277.0,288.99,510600
2025-10-15,292.69,295.74,287.87,293.35,582700
2025-10-16,294.99,297.49,288.88,293.93,423200
2025-10-17,292.92,295.42,290.69,293.31,413000
2025-10-20,297.1,304.74,297.1,301.45,383700
2025-10-21,301.09,308.63,301.09,306.21,370100
2025-10-22,305.78,307.13,299.21,302.63,399100
2025-10-23,302.77,314.39,302.77,313.89,747500
2025-10-24,318.48,320.88,308.47,308.82,601000
2025-10-27,311.93,314.58,309.3,310.57,975400
2025-10-28,293.5,293.5,259.01,274.31,3140900
2025-10-29,274.89,277.0,268.73,270.77,1087500
2025-10-30,267.84,268.3,260.45,261.37,943700
2025-10-31,264.53,272.08,261.49,269.25,659300
2025-11-03,270.65,276.04,268.79,270.58,826600
2025-11-04,265.34,268.71,260.14,260.35,886400
2025-11-05,261.5,268.76,257.51,266.27,1083800
2025-11-06,265.77,267.98,256.79,258.24,530000
2025-11-07,255.8,259.76,252.14,259.54,777800
2025-11-10,264.75,264.97,256.6,260.63,658100
2025-11-11,258.02,261.49,254.74,255.17,482100
2025-11-12,256.97,260.26,255.42,255.69,576500
2025-11-13,255.0,257.5,240.91,241.57,971100
2025-11-14,238.01,243.49,237.12,240.56,825900
2025-11-17,238.94,239.87,231.13,232.71,629000
2025-11-18,231.09,234.0,227.53,230.9,882900
2025-11-19,230.73,234.05,229.81,230.93,721400
2025-11-20,236.52,238.09,227.19,228.4,1011400
2025-11-21,232.18,242.81,229.75,240.95,1141600
2025-11-24,241.79,246.01,240.92,242.45,930100
2025-11-25,242.89,250.65,242.7,249.31,671200
2025-11-26,248.51,252.32,248.21,250.5,507700
2025-11-28,251.95,254.97,251.2,252.75,206400
2025-12-01,249.1,254.23,248.34,251.29,475800
2025-12-02,253.49,255.28,252.02,253.37,486200
2025-12-03,254.65,259.58,252.86,259.34,593500
2025-12-04,259.87,264.24,259.6,263.05,507800
2025-12-05,261.39,267.82,261.39,264.81,525100
2025-12-08,265.19,267.37,261.63,264.41,466800
2025-12-09,263.34,267.33,261.71,265.24,311700
2025-12-10,265.35,274.17,263.9,271.3,457900
2025-12-11,269.45,273.68,268.0,273.54,601700
2025-12-12,273.63,274.27,265.97,268.39,543200
2025-12-15,272.45,273.0,263.1,265.29,586000
2025-12-16,265.61,267.54,261.08,261.17,454300
2025-12-17,261.6,266.09,253.2,254.27,543300
2025-12-18,258.38,259.09,249.58,252.71,705900
2025-12-19,252.71,256.8,251.17,251.65,1326400
2025-12-22,254.01,255.03,248.2,249.38,710800
2025-12-23,248.12,250.55,245.47,246.76,526000
2025-12-24,247.67,247.67,244.44,245.9,374200
2025-12-26,245.9,246.55,243.69,246.27,622400
2025-12-29,246.07,247.25,241.8,245.74,563900
2025-12-30,244.62,247.04,243.32,246.74,492400
2025-12-31,246.78,246.96,242.64,242.82,376600
2026-01-02,246.33,252.46,246.13,248.3,485600
2026-01-05,249.15,257.07,249.15,252.64,810300
2026-01-06,251.31,258.08,251.31,257.61,585600
2026-01-07,257.4,257.41,246.27,246.96,721200
2026-01-08,245.0,255.32,243.97,254.64,701600
2026-01-09,254.66,260.41,252.03,259.48,667800
2026-01-12,259.3,265.19,257.02,264.43,766200
2026-01-13,265.57,268.0,261.26,261.44,740900
2026-01-14,260.73,264.79,260.1,262.51,535300
2026-01-15,262.7,264.18,254.8,258.85,760100
2026-01-16,257.17,258.57,251.1,251.21,644800
2026-01-20,243.51,249.74,238.0,238.71,709100
2026-01-21,242.31,246.07,239.18,242.98,712600
2026-01-22,247.03,248.78,243.62,246.83,619800
2026-01-23,245.77,246.29,238.82,240.54,412800
2026-01-26,240.39,244.99,240.01,243.51,434200
2026-01-27,243.71,244.35,238.44,238.56,586900
2026-01-28,240.49,240.81,234.52,236.23,484400
2026-01-29,236.18,240.17,234.0,237.96,740700
2026-01-30,235.59,237.14,232.59,234.98,558800
2026-02-02,234.21,246.55,233.68,242.01,877800
2026-02-03,242.01,244.47,230.94,233.16,1006600
2026-02-04,234.77,250.0,234.42,245.25,1228400
2026-02-05,243.21,245.51,238.89,241.08,908800
2026-02-06,244.31,252.31,243.63,251.4,669900
2026-02-09,251.21,258.64,250.8,257.79,701900
2026-02-10,258.55,259.79,255.16,256.57,935700
2026-02-11,259.82,264.36,250.31,252.5,1095500
2026-02-12,293.64,303.4,273.19,274.15,1985500
2026-02-13,278.68,280.32,261.06,264.62,983000
2026-02-17,261.98,265.19,258.14,260.76,744800
2026-02-18,260.85,263.41,249.15,252.52,913900
2026-02-19,251.51,254.33,247.06,251.74,636800
2026-02-20,249.98,261.84,247.54,255.41,849800
2026-02-23,252.32,253.2,230.0,231.32,1195400
2026-02-24,234.99,241.2,234.0,235.83,998700
2026-02-25,238.39,240.09,232.4,239.01,768000
2026-02-26,239.98,239.98,232.63,235.03,806000
2026-02-27,231.2,232.69,222.61,223.96,967900
2026-03-02,216.2,224.95,215.33,223.92,926100
2026-03-03,215.98,229.79,214.87,225.38,805800
2026-03-04,229.43,233.56,227.86,231.42,861100
2026-03-05,228.29,236.5,227.95,229.67,841400
2026-03-06,223.55,227.02,218.15,219.65,1000200
2026-03-09,215.0,216.46,206.92,213.78,880900
2026-03-10,213.78,218.05,208.82,212.47,712600
2026-03-11,213.19,215.56,210.04,213.67,583300
2026-03-12,209.82,211.95,203.7,204.05,849300
2026-03-13,207.45,207.65,201.64,202.72,755500
2026-03-16,206.61,208.35,202.62,203.97,590500
2026-03-17,206.24,211.5,206.01,209.06,552800
2026-03-18,207.32,213.89,207.3,207.51,614800
2026-03-19,205.0,208.71,202.5,206.19,593300
2026-03-20,203.91,206.0,200.445,203.62,1491417
