date,open,high,low,close,volume
2025-03-14,157.0452,159.1151,156.03,158.9475,2778700
2025-03-17,159.8839,163.4422,159.4601,162.8015,1982900
2025-03-18,162.7522,163.0479,160.8991,162.0721,1879300
2025-03-19,161.6778,162.555,160.5049,161.4018,1667200
2025-03-20,161.4807,161.7862,159.9233,160.8203,2026600
2025-03-21,160.5443,160.702,158.6025,160.6921,2886900
2025-03-24,159.943,163.107,159.3812,160.8301,1817400
2025-03-25,160.9681,161.9932,157.952,158.987,1583800
2025-03-26,158.849,161.1258,158.3758,160.4852,2078200
2025-03-27,160.909,163.038,159.3418,162.6536,1590500
2025-03-28,161.6482,163.0282,160.4852,160.771,1550300
2025-03-31,160.7809,162.5353,159.2629,162.2889,3137000
2025-04-01,161.5694,163.3436,159.0757,159.5882,2735000
2025-04-02,159.2038,161.3032,158.4941,161.1554,2027200
2025-04-03,161.2638,163.9547,156.9762,157.3212,3275500
2025-04-04,153.763,155.4287,149.0121,149.5542,3612000
2025-04-07,145.306,151.1904,141.7872,146.9619,4263200
2025-04-08,150.2639,151.1214,140.3481,142.3392,3267300
2025-04-09,139.1358,152.0775,137.6967,151.3481,5051900
2025-04-10,150.4511,150.4511,140.0031,144.892,3527300
2025-04-11,144.5372,147.5927,142.7334,147.297,2850500
2025-04-14,149.2881,150.1456,145.8185,148.6671,3249900
2025-04-15,149.2585,149.2881,146.1339,147.0802,2785200
2025-04-16,146.8929,147.9673,143.7092,144.6554,2390100
2025-04-17,145.1187,147.8786,144.6555,146.5381,4239800
2025-04-21,147.0326,147.0326,143.6997,145.2326,2654900
2025-04-22,146.3897,149.0798,146.182,148.338,2832800
2025-04-23,150.2665,152.0764,148.9512,149.2479,2093100
2025-04-24,149.2083,150.8995,146.3699,150.6226,2147400
2025-04-25,150.3753,152.2247,148.8424,151.7797,3543600
2025-04-28,151.661,153.0753,150.7709,151.8786,1873400
2025-04-29,151.6016,154.4994,150.5731,153.7181,2065100
2025-04-30,154.0049,155.4686,152.0764,154.6774,2926200
2025-05-01,154.8258,155.6862,150.6226,153.9357,1930300
2025-05-02,156.7444,158.2081,154.9543,155.706,2654700
2025-05-05,155.4686,156.5565,153.8664,156.3191,3888600
2025-05-06,157.9213,157.9213,147.349,148.2193,4124400
2025-05-07,150.0094,154.895,149.3468,154.2719,4453800
2025-05-08,153.7675,160.374,153.3126,159.9091,5580100
2025-05-09,159.6322,160.6509,157.3279,157.5158,4243100
2025-05-12,159.2564,162.7772,158.9103,160.1366,3453700
2025-05-13,158.9498,161.1157,158.2971,158.6432,3336700
2025-05-14,158.2378,158.8806,152.7489,153.2137,3473400
2025-05-15,154.5192,158.6433,154.1038,158.5839,3536200
2025-05-16,159.5828,161.4421,158.4356,161.2443,2391700
2025-05-19,160.1366,162.3717,159.7707,162.1344,2077400
2025-05-20,161.541,163.0344,161.3729,161.8476,1780700
2025-05-21,161.0267,162.7574,159.5235,159.6619,2916800
2025-05-22,158.4949,160.819,157.8817,160.1861,2913700
2025-05-23,158.7817,161.2641,158.3762,160.7894,2732200
2025-05-27,162.1937,165.0519,162.0256,164.4288,2323100
2025-05-28,164.3299,164.8145,162.708,163.5783,1723700
2025-05-29,164.0926,165.942,163.2915,165.2991,2450400
2025-05-30,165.0815,167.9199,163.5189,166.7727,5467800
2025-06-02,165.9716,167.6134,164.4288,167.554,2550100
2025-06-03,167.2276,170.3331,166.7826,168.4243,3149000
2025-06-04,168.8694,169.3737,166.2189,166.7332,3086400
2025-06-05,167.5243,167.9892,166.3277,166.7529,2774000
2025-06-06,167.7123,169.6309,167.5046,168.2859,1505400
2025-06-09,166.9606,167.6331,160.4333,162.797,3583000
2025-06-10,162.4212,165.5167,162.4212,165.2596,2741100
2025-06-11,165.4178,166.1991,163.1333,164.4981,2473700
2025-06-12,164.6563,166.9705,163.697,166.9606,2334600
2025-06-13,163.1431,165.5365,161.7091,162.5201,2973500
2025-06-16,164.0035,164.9332,161.4717,162.5695,2472900
2025-06-17,162.0553,162.5201,159.1279,159.8894,2199300
2025-06-18,155.3598,156.3587,152.8379,153.3522,4662400
2025-06-20,153.8566,155.9631,153.2928,155.4389,3296100
2025-06-23,155.0433,156.7147,154.2719,155.6071,2392700
2025-06-24,155.7455,156.9026,152.561,156.0323,4554500
